dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Squirrel,reliability_gt,0:0,0,0,431,0.434495210647583,4.550326347351074,0.44860708713531494,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.432931423187256,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.008208291605114937,0.006685658358037472,0.009730924852192402,0.0015161269111558795,0.0013921215431764722,0.001568807172589004,0.0009820574196055532,0.0038526058197021484,0.004069477319717407,0.23387650121055986,0.0038195379722259014,0.014803278437121118,-0.1468160766257772,-0.1251112239040073,0.02423444429725493,0.6311792135238647,0.13192620873451233,0.2462473064661026,0.8770719766616821,1.4344450235366821,1.4025901556015015,1.1461668014526367,-0.5147556662559509,0.1764688938856125,0.3004719913005829,0.06657472997903824,-0.8428031206130981,0.665360689163208,0.03695043921470642,0.4267365634441376,0.7594653367996216,2.6924211978912354,2.5047082901000977,2.2257587909698486,-0.1867082417011261,0.5969977378845215,0.22690197825431824,0.06575804203748703,0.9946786165237427
Squirrel,reliability_gt,1:0,1,0,485,0.4399038553237915,4.588934898376465,0.444764643907547,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.943979263305664,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00834134966135025,0.006643214263021946,0.010039485059678555,0.0015079370932653546,0.0017266145441681147,0.0016107071423903108,0.0010358416475355625,0.004027575254440308,0.004145979881286621,0.27015618494490584,0.07083760540148772,0.03587764946141162,-0.1587485522743872,0.1655063300069391,0.0417551732801671,0.6360888481140137,0.10635851323604584,0.12404417246580124,0.9046603441238403,1.4273475408554077,2.01938796043396,1.1444947719573975,-0.5964747071266174,0.17092938721179962,0.3048224151134491,0.06575748324394226,-0.85218346118927,0.6768679618835449,0.03564533218741417,0.2260734885931015,0.8155986070632935,2.6837656497955322,3.7339537143707275,2.2232320308685303,-0.34076592326164246,0.5953097343444824,0.1770716905593872,0.02201485075056553,0.993722140789032
Squirrel,reliability_gt,2:0,2,0,194,0.4453125298023224,4.122693061828613,0.4063400328159332,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.632357120513916,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.007186599774286151,0.006686035543680191,0.007687164004892111,0.0008204070618376136,0.0006589384865947068,0.0007911803550086915,0.0007541545783169568,0.0032727420330047607,0.0035663247108459473,0.17124981366094844,0.16182178057558655,-0.07783148627377497,-0.011473109135944303,0.11597015146022427,0.15083868294705796,0.6463070511817932,0.16787949204444885,0.2459540069103241,0.9057684540748596,1.4010175466537476,1.873793601989746,1.2898061275482178,-0.6177684664726257,0.2075679898262024,0.3790825307369232,0.062470342963933945,-0.9238712787628174,0.6699846982955933,0.036566708236932755,0.4002526104450226,0.8118377923965454,2.5944671630859375,3.368504762649536,2.517141819000244,-0.3116656243801117,0.6226294040679932,0.29919227957725525,0.09165539592504501,0.9996991157531738
Squirrel,reliability_gt,3:0,3,0,46,0.42067310214042664,2.6347410678863525,0.409221887588501,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.333678722381592,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006643093889579177,0.0066797202453017235,0.00660646753385663,0.00013127831334713846,0.00013298445264808834,0.00018735750927589834,0.00018986752547789365,0.002267897129058838,0.003100097179412842,0.2364695914776154,0.040885338577234996,-0.0309790097113653,-0.20540144782520373,0.14322253737605745,0.02139750403867445,0.663784384727478,0.13525822758674622,0.1690586507320404,0.8522895574569702,1.2714595794677734,0.8475403785705566,0.8859085440635681,-0.6181800365447998,0.2971239686012268,0.4758789539337158,0.06780945509672165,-0.9729883074760437,0.6355894207954407,0.034825313836336136,0.3067321479320526,0.721426248550415,2.245795249938965,1.2192018032073975,1.704007625579834,-0.2633717656135559,0.6919794082641602,0.2356911450624466,0.031385160982608795,0.9831528067588806
Squirrel,reliability_gt,4:0,4,0,149,0.4242788553237915,4.05366849899292,0.44764646887779236,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.899932384490967,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006946612847968936,0.0066765607334673405,0.0072166649624705315,0.0005621467716991901,0.0003997956227976829,0.0006032509845681489,0.0005106517346575856,0.002800554037094116,0.0034343302249908447,0.31785479258364974,-0.020275052979823665,0.23138924232903016,-0.2370465683452566,0.20015518609507946,-0.07710902452566887,0.6179344058036804,0.08728128671646118,0.27874258160591125,0.9250155091285706,1.2512660026550293,1.4249738454818726,0.8659650683403015,-0.6086230874061584,0.21927139163017273,0.36564770340919495,0.05614469200372696,-0.9420106410980225,0.6563161611557007,0.03847784176468849,0.474200040102005,0.9411667585372925,2.2832605838775635,2.484299898147583,1.6757854223251343,-0.27523553371429443,0.5795526504516602,0.13608473539352417,0.0832851454615593,0.9088642597198486
Squirrel,reliability_gt,5:0,5,0,308,0.442307710647583,4.378671646118164,0.4265129566192627,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.472645044326782,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.007700559915974736,0.006635305006057024,0.008765814825892448,0.0011499399552121758,0.0011068019084632397,0.0011699649039655924,0.0009115731809288263,0.003631502389907837,0.0038116872310638428,-0.02839008797809241,0.04259955065773477,-0.14129194045146193,-0.05673937920097984,0.276011276274517,-0.03600015774908612,0.6288999319076538,0.09508316218852997,0.2443263828754425,0.8839529752731323,1.3772584199905396,1.705153465270996,1.0306767225265503,-0.5588349103927612,0.20184670388698578,0.3329088091850281,0.0652908906340599,-0.9002987742424011,0.6536646485328674,0.04197867214679718,0.3022368252277374,0.8447204828262329,2.5526702404022217,3.0773980617523193,1.9960625171661377,-0.21737106144428253,0.6041351556777954,0.14818765223026276,0.18641594052314758,0.9231854677200317
Squirrel,reliability_gt,6:0,6,0,285,0.44411060214042664,4.3042731285095215,0.4130643606185913,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.061824083328247,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.0074794781394302845,0.006638772785663605,0.008320183493196964,0.0009688583086244762,0.0007967238780111074,0.0011129423510283232,0.0008860222296789289,0.003576427698135376,0.0036731064319610596,0.10957083290646927,0.005930867356070257,-0.061805791161174115,-0.2219058306280189,0.010497651627785997,0.004157785047032341,0.640278697013855,0.1249857097864151,0.18758997321128845,0.8897868990898132,1.466450572013855,1.9870021343231201,1.1497148275375366,-0.6259095072746277,0.18671244382858276,0.3340117335319519,0.055681563913822174,-0.9078291058540344,0.6580672860145569,0.03727630898356438,0.3706881105899811,0.7861863374710083,2.7461886405944824,3.6399924755096436,2.243748188018799,-0.34398987889289856,0.6224901676177979,0.21269510686397552,0.00449182465672493,0.9933874607086182
Squirrel,reliability_gt,7:0,7,0,280,0.4248798191547394,4.601203918457031,0.4457252621650696,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.803780794143677,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.007925802376121283,0.006738424301147461,0.009113180451095104,0.001180930994451046,0.0010806587524712086,0.0013436275767162442,0.001070127123966813,0.003952234983444214,0.0039581358432769775,0.21766103627211075,0.05940867742286697,0.021962999295228255,-0.1441259185026996,0.1107771807713112,0.03915636817304116,0.6649492979049683,0.12459564954042435,0.22715483605861664,0.9073580503463745,1.5038316249847412,1.6570760011672974,1.130269169807434,-0.6799589395523071,0.20067110657691956,0.34000101685523987,0.061925459653139114,-0.9083797931671143,0.6524368524551392,0.03845895454287529,0.40247976779937744,0.8173839449882507,2.8069920539855957,2.9741508960723877,2.198612928390503,-0.4515381157398224,0.6774618029594421,0.2107323408126831,0.05182991549372673,0.9973322153091431
Squirrel,reliability_gt,8:0,8,0,288,0.43930289149284363,4.417149543762207,0.43419787287712097,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.966261148452759,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006928127259016037,0.006702701095491648,0.007153553422540426,0.0006844563758932054,0.0006560321780852973,0.0007715215906500816,0.000625140848569572,0.0033330321311950684,0.0034589171409606934,0.03478808323889931,0.012924794479441063,-0.06675233696019753,-0.1915531093919177,0.15042916787641283,-0.006873845619689378,0.6363481283187866,0.12624914944171906,0.2655411660671234,0.9006768465042114,1.509838581085205,1.8959168195724487,1.0898058414459229,-0.6426812410354614,0.20576255023479462,0.35021451115608215,0.06758163124322891,-0.8954248428344727,0.6576804518699646,0.029462674632668495,0.49778297543525696,0.8041308522224426,2.8139145374298096,3.4416191577911377,2.112030029296875,-0.3899376392364502,0.6150157451629639,0.22303561866283417,0.033299364149570465,0.9972227811813354
Squirrel,reliability_gt,9:0,9,0,53,0.43870192766189575,2.8358054161071777,0.3967339098453522,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.4163920879364014,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006635599071159959,0.0066866688430309296,0.006584529299288988,0.00016085109382402152,0.00015048429486341774,0.00021158803428988904,0.00021348046720959246,0.002484530210494995,0.003233969211578369,0.19348910689440027,0.030975122307833773,-0.03875058877307272,-0.1633116318214854,0.11599130387364548,0.01778281509041652,0.6365896463394165,0.16185453534126282,0.21663960814476013,0.8595563769340515,1.2259337902069092,1.1227914094924927,0.9224714040756226,-0.6427221298217773,0.29241588711738586,0.46737489104270935,0.06263550370931625,-0.9762665629386902,0.642346203327179,0.034249380230903625,0.3989320397377014,0.7408944964408875,2.159451723098755,1.7782080173492432,1.7823072671890259,-0.3091776371002197,0.630833089351654,0.2894596755504608,0.03434717282652855,0.9782182574272156
