dataset,model,gate_mean,gate_std,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Actor,gate_gt,0.4711790829896927,0.07492874711751937,2.1776419639587403,1.3605786442756653,1.0229641377925873,-0.3508543998003006
Actor,local_only_gt,nan,nan,1.7306266188621522,1.1116848945617677,1.7306266188621522,0.04550432069227099
Actor,reliability_gt,0.4594582736492157,0.04014036171138287,2.1803316950798033,1.1443867325782775,1.1375692188739777,-0.2967498660087585
Chameleon,gate_gt,0.5516771644353866,0.14826077446341515,2.1475573062896727,0.9963767051696777,1.2349473357200622,-0.4804020255804062
Chameleon,local_only_gt,nan,nan,1.640650224685669,0.9452700674533844,1.640650224685669,0.05723092816770077
Chameleon,reliability_gt,0.5393067300319672,0.1483922317624092,2.189640486240387,1.2305269837379456,1.3628911256790162,-0.42318404614925387
Citeseer,gate_gt,0.6067368865013123,0.1303130641579628,3.092315602302551,1.2319484055042267,1.7701083779335023,-0.4871005147695541
Citeseer,local_only_gt,nan,nan,3.0790390968322754,1.1988790690898896,3.0790390968322754,0.0176823815330863
Citeseer,reliability_gt,0.5835284531116486,0.11775418892502784,2.955865502357483,1.2642039775848388,1.675130170583725,-0.44266981482505796
Cora,gate_gt,0.6260915100574493,0.11862532272934914,2.798019027709961,1.0491810083389281,1.6956909537315368,-0.4836737722158432
Cora,local_only_gt,nan,nan,3.0413639545440674,0.9636636257171631,3.0413639545440674,-0.010515513271093369
Cora,reliability_gt,0.6319999158382416,0.1265789672732353,2.851376485824585,0.9851007282733917,1.7686334013938905,-0.4831729352474213
Pubmed,gate_gt,0.6385601818561554,0.16283225491642953,2.933119702339172,1.3720154762268066,1.896942126750946,-0.376944899559021
Pubmed,local_only_gt,nan,nan,3.03015296459198,1.154810357093811,3.03015296459198,-0.0012014496140182018
Pubmed,reliability_gt,0.6313392221927643,0.18426069617271423,3.2050047397613524,1.5316413283348083,2.1111376881599426,-0.3238807298243046
Squirrel,gate_gt,0.5431800007820129,0.14656486958265305,1.5464690327644348,1.7381595611572265,1.2230579257011414,-0.661133199930191
Squirrel,local_only_gt,nan,nan,1.2119081497192383,1.0031053602695466,1.2119081497192383,-0.09757662788033486
Squirrel,reliability_gt,0.640235960483551,0.12614719346165656,1.386884868144989,1.5936225771903991,1.0655279278755188,-0.6105908691883087
