dataset,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Cora,PyG-GCN - custom GCN,10,0.0033000051975250245,-0.0009125853472017622,0.007512595742251811,6,1,3,0.11014110470004648
Cora,Local-only GT - PyG-GCN,10,-0.07230001091957092,-0.0823888193504615,-0.06221120248868034,0,0,10,5.736431705864311e-08
Cora,Reliability-GT - Gate-GT,10,0.0016000032424926757,-0.015910257642853816,0.019110264127839165,5,0,5,0.8408410005693955
Citeseer,PyG-GCN - custom GCN,10,0.00889999270439148,-0.0036746091749730522,0.021474594583756012,8,0,2,0.1438190268848439
Citeseer,Local-only GT - PyG-GCN,10,-0.04429998993873596,-0.05459522196064485,-0.034004757916827076,0,0,10,4.476486484920668e-06
Citeseer,Reliability-GT - Gate-GT,10,-0.006099998950958252,-0.025657307206732267,0.013457309304815764,4,0,6,0.4983064593968648
Pubmed,PyG-GCN - custom GCN,10,0.004499989748001099,0.00047799310482406036,0.008521986391178137,6,3,1,0.03218238569116354
Pubmed,Local-only GT - PyG-GCN,10,-0.03389999270439148,-0.046875162366796896,-0.020924823041986063,0,0,10,0.00022616758715529708
Pubmed,Reliability-GT - Gate-GT,10,0.003099995851516724,-0.00909353283407471,0.015293524537108156,4,1,5,0.5793053623241586
Chameleon,PyG-GCN - custom GCN,10,-0.22061404585838318,-0.23929632742595972,-0.20193176429080664,0,0,10,6.9834054878749e-10
Chameleon,Local-only GT - PyG-GCN,10,0.17565789818763733,0.1565236772068757,0.19479211916839895,10,0,0,6.5126014997217866e-09
Chameleon,Reliability-GT - Gate-GT,10,-0.0013157904148101806,-0.014507521841903086,0.011875941012282726,5,0,5,0.8265252753369332
Squirrel,PyG-GCN - custom GCN,10,-0.1796349674463272,-0.1920000090169515,-0.1672699258757029,0,0,10,1.1006863790726605e-10
Squirrel,Local-only GT - PyG-GCN,10,0.1454370766878128,0.13008419054813436,0.16078996282749125,10,0,0,4.935280668530437e-09
Squirrel,Reliability-GT - Gate-GT,10,0.008165231347084046,-0.005502811564081911,0.021833274258250004,7,0,3,0.20955356699642272
Actor,PyG-GCN - custom GCN,10,0.009671047329902649,-0.0009481157182485416,0.02029021037805384,8,0,2,0.06945946028580735
Actor,Local-only GT - PyG-GCN,10,0.06138158738613129,0.05298597629333387,0.06977719847892871,10,0,0,4.816877384115959e-08
Actor,Reliability-GT - Gate-GT,10,-0.007434201240539551,-0.010223340559862362,-0.004645061921216739,0,0,10,0.000195296798896314
