dataset,model,n,test_acc_mean,test_acc_std
Actor,gate_gt,10,0.3592105358839035,0.008476381483899249
Actor,gcn,10,0.2744736969470978,0.013199934462697321
Actor,gcn_pyg,10,0.2841447442770004,0.010274335576806508
Actor,local_only_gt,10,0.34552633166313174,0.005741425702586297
Actor,reliability_gt,10,0.35177633464336394,0.006919166980898388
Chameleon,gate_gt,10,0.5813596546649933,0.020975965594946848
Chameleon,gcn,10,0.6473684310913086,0.022208747665046172
Chameleon,gcn_pyg,10,0.4267543852329254,0.01832682823459245
Chameleon,local_only_gt,10,0.6024122834205627,0.0208287161354021
Chameleon,reliability_gt,10,0.5800438642501831,0.011149756234473852
Citeseer,gate_gt,10,0.6272000312805176,0.01928108158972217
Citeseer,gcn,10,0.6842000365257264,0.01739999391567476
Citeseer,gcn_pyg,10,0.6931000292301178,0.004742363815947974
Citeseer,local_only_gt,10,0.6488000392913819,0.013392534870350152
Citeseer,reliability_gt,10,0.6211000323295593,0.011157512636526083
Cora,gate_gt,10,0.6986000299453735,0.019820193548695807
Cora,gcn,10,0.8088000416755676,0.004975947294705665
Cora,gcn_pyg,10,0.8121000468730927,0.0028792316492396715
Cora,local_only_gt,10,0.7398000359535217,0.011399995862409664
Cora,reliability_gt,10,0.7002000331878662,0.007332124589963013
Pubmed,gate_gt,10,0.7309000313282012,0.010113857458749563
Pubmed,gcn,10,0.7642000377178192,0.0028213459419158217
Pubmed,gcn_pyg,10,0.7687000274658203,0.0031320887373493126
Pubmed,local_only_gt,10,0.7348000347614289,0.017599994418302112
Pubmed,reliability_gt,10,0.734000027179718,0.012938320911557406
Squirrel,gate_gt,10,0.41911621689796447,0.015036308356471377
Squirrel,gcn,10,0.4687800109386444,0.013814158952819955
Squirrel,gcn_pyg,10,0.2891450434923172,0.016864198381395253
Squirrel,local_only_gt,10,0.43458212018013,0.019725142127345937
Squirrel,reliability_gt,10,0.42728144824504855,0.018611150273831357
