graph_type,comparison,left_model,right_model,n,left_mean,right_mean,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_pvalue
heterophily,gate encoded - static,gate_gt_encoded,gate_gt,10,0.8419047772884369,0.8411111295223236,0.0007936477661132813,0.03180110557188221,-0.021955492722796937,0.0235427882550235,5,0,5,0.9388233353321764
heterophily,qk encoded - static,qk_gt_encoded,qk_gt,10,0.8188889026641846,0.8203174769878387,-0.0014285743236541748,0.0315110324634585,-0.02397020901121199,0.02111306036390364,5,0,5,0.8891612424640325
heterophily,reliability encoded - static,reliability_gt_encoded,reliability_gt,10,0.855396842956543,0.8636508107185363,-0.008253967761993409,0.03538096521032247,-0.033563985565730786,0.017056050041743966,3,0,7,0.47947485643179144
heterophily,static reliability - static gate,reliability_gt,gate_gt,10,0.8636508107185363,0.8411111295223236,0.022539681196212767,0.039380157859785894,-0.005631186687696077,0.05071054908012161,8,0,2,0.10374050541193963
heterophily,encoded reliability - encoded gate,reliability_gt_encoded,gate_gt_encoded,10,0.855396842956543,0.8419047772884369,0.013492065668106078,0.03299356686678415,-0.010110110243236041,0.0370942415794482,6,0,4,0.22816410014021887
homophily,gate encoded - static,gate_gt_encoded,gate_gt,10,0.9706349313259125,0.9685714423656464,0.002063488960266113,0.007777966941852802,-0.003500533406137299,0.007627511326669525,6,1,3,0.42322003449930157
homophily,qk encoded - static,qk_gt_encoded,qk_gt,10,0.9206349372863769,0.9255555689334869,-0.004920631647109985,0.020970669962468817,-0.019922145227964295,0.010080881933744327,5,0,5,0.4769993062053589
homophily,reliability encoded - static,reliability_gt_encoded,reliability_gt,10,0.9668254137039185,0.9682539880275727,-0.0014285743236541748,0.006876272770539648,-0.006347563537519288,0.0034904148902109387,5,0,5,0.5276368401909621
homophily,static reliability - static gate,reliability_gt,gate_gt,10,0.9682539880275727,0.9685714423656464,-0.00031745433807373047,0.006642255435422538,-0.005069037635141832,0.004434128958994371,3,1,6,0.8832023973041668
homophily,encoded reliability - encoded gate,reliability_gt_encoded,gate_gt_encoded,10,0.9668254137039185,0.9706349313259125,-0.0038095176219940185,0.004439412686335731,-0.006985282145696532,-0.0006337530982915051,2,2,6,0.02385679912489984
noisy,gate encoded - static,gate_gt_encoded,gate_gt,10,0.5898412823677063,0.6071428656578064,-0.0173015832901001,0.02877110655945405,-0.037883193060331985,0.0032800264801317834,2,0,8,0.08965205384916017
noisy,qk encoded - static,qk_gt_encoded,qk_gt,10,0.6012698531150817,0.596666669845581,0.004603183269500733,0.025091299187953053,-0.013346050884821112,0.02255241742382258,5,0,5,0.5760523862317977
noisy,reliability encoded - static,reliability_gt_encoded,reliability_gt,10,0.5920634984970092,0.6117460429668427,-0.019682544469833373,0.030817093160867545,-0.04172776488494601,0.002362675945279266,3,0,7,0.07415640335605168
noisy,static reliability - static gate,reliability_gt,gate_gt,10,0.6117460429668427,0.6071428656578064,0.004603177309036255,0.04179859513959529,-0.025297736384683897,0.03450409100275641,6,0,4,0.7356567320207263
noisy,encoded reliability - encoded gate,reliability_gt_encoded,gate_gt_encoded,10,0.5920634984970092,0.5898412823677063,0.0022222161293029784,0.027125877890529563,-0.01718246795068377,0.021626900209289725,6,1,3,0.801415941478368
