dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,0:0,0,0,193,0.48521965742111206,0.4850563406944275,0.4020183783045077,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582187652587891,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.729140043258667,0.7565522193908691,0.02120641991496086,0.6866392493247986,0.7749984860420227,0.7910394668579102,0.05759793892502785,0.0999940037727356,0.14111009280987258,-0.2996499429325239,0.39694165934316433,-0.18326234995738194,-0.10513229953894337
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,1:0,1,0,56,0.46970438957214355,0.4679078757762909,0.36601049787129647,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,14.207783937454224,0.5379074811935425,0.02109556272625923,0.4999982416629791,0.550000011920929,0.9163224101066589,0.07596445828676224,0.10000000149011612,-0.5414490301892919,-0.1718369261044602,0.093133688789436,-0.8092970588632524,-0.845644551938795
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,2:0,2,0,176,0.49175241589546204,0.4822799265384674,0.39375126503778474,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323575973510742,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.797842741012573,0.7472342848777771,0.035210855305194855,0.675002932548523,0.7749994993209839,0.626101553440094,0.0689563900232315,0.09999793767929077,-0.3431374312345378,-0.08516932969506834,0.11151694065569746,-0.3749702558745579,-0.4064447341837083
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,3:0,3,0,152,0.48685285449028015,0.4711742699146271,0.38602217332978084,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009182453155518,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,22.348570108413696,0.7444778680801392,0.03754188120365143,0.6750016212463379,0.7749981880187988,0.5896612405776978,0.07078753411769867,0.09999781847000122,-0.46090235326623097,-0.03485576599345513,0.08242568593683333,-0.498792299633334,-0.5328230977884472
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.701762914657593,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878422737121582,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.540714979171753,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,6:0,6,0,136,0.48325982689857483,0.4698677062988281,0.38075486270289194,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569334030151367,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.388597011566162,0.7540816068649292,0.02657207101583481,0.6752213835716248,0.7749971151351929,0.6616010069847107,0.06101670116186142,0.0999884381890297,-0.44632283127384226,0.048525151459371606,0.006636849352960563,-0.3221218967288065,-0.37863937333694664
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,7:0,7,0,188,0.47934019565582275,0.4677445590496063,0.3893563366319061,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.8572416305542,0.759296715259552,0.018071705475449562,0.7015283703804016,0.7749999761581421,0.7344531416893005,0.06437988579273224,0.09999984502792358,-0.18798784343404,-0.10721243075221128,0.14374850493582095,-0.3982874938811283,-0.3766933365365423
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.38100266456604,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008157193660736084,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.452968120574951,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
