dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:0,0,0,172,0.48146334290504456,0.47787031531333923,0.38395066216274787,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582187652587891,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,19.53292465209961,0.7622653245925903,0.012750250287353992,0.7427105903625488,0.7749998569488525,0.8133845329284668,0.05068404972553253,0.09999947994947433,-0.32503663837022867,0.005673352170799396,-0.07646639560019748,-0.16960548074053997,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,1:0,1,0,58,0.4721541702747345,0.47019433975219727,0.36269711371189295,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,9.5367431640625e-07,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,11.16431736946106,0.526081919670105,0.023919111117720604,0.5006157159805298,0.550000011920929,0.9748100638389587,0.05239780992269516,0.10000000149011612,-0.19634250229140288,0.29470853931647684,-0.23474244201394462,0.02602525794816403,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,2:0,2,0,199,0.4958353638648987,0.4878327548503876,0.3982118821093542,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323456764221191,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.564212560653687,0.7624273896217346,0.012572902254760265,0.7497402429580688,0.7749999165534973,0.8084585070610046,0.05042913928627968,0.09999972581863403,-0.19789472258429514,-0.026267421470277767,-0.05025447677168023,-0.17401940405883343,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,3:0,3,0,197,0.486526221036911,0.47346070408821106,0.39456009814256493,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009122848510742,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.799145698547363,0.7617511749267578,0.013306989334523678,0.7432506680488586,0.7749999761581421,0.759592592716217,0.051717836409807205,0.09999998658895493,-0.3537094790237335,-0.015393602171988739,-0.06412960107774378,-0.3129580703657532,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.024901866912842,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878243923187256,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.879456281661987,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,6:0,6,0,179,0.4855462908744812,0.47182753682136536,0.3844328494651725,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569274425506592,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.576719045639038,0.7592374682426453,0.016544269397854805,0.7237525582313538,0.7749996781349182,0.6729153394699097,0.05479762330651283,0.09999869018793106,-0.369060418581622,0.1202891126884475,-0.17587074409869613,-0.247489135509163,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,7:0,7,0,188,0.48097336292266846,0.47231748700141907,0.3920511580197446,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.007629871368408203,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.739905834197998,0.749919593334198,0.00735718896612525,0.7263550162315369,0.7559273838996887,0.6584519147872925,0.01611677184700966,0.03263628110289574,-0.3524690984699461,0.0125166871128053,-0.09543143590051421,-0.3099092232824735,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.852898120880127,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.00815725326538086,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.818889617919922,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
