dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,0:0,0,0,193,0.48211660981178284,0.4817899763584137,0.3931280023259977,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.0075817108154296875,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,25.114365577697754,0.7667252421379089,0.011161073110997677,0.7495073080062866,0.7749999761581421,0.8875820636749268,0.06844297051429749,0.10000000149011612,-0.07366351057850168,-0.054542375030030024,0.02592760742532253,-0.06373804452903696,-0.0010750487736016483
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.534390449523926,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,2:0,2,0,171,0.49158909916877747,0.48734280467033386,0.3968586207571312,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323337554931641,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.087834358215332,0.7651735544204712,0.01581922173500061,0.6904995441436768,0.7749999761581421,0.8208751678466797,0.07692956179380417,0.10000000149011612,-0.09244679355831684,0.017776959275847725,-0.03913513716553896,-0.06331514602792676,-0.5905952894888962
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,3:0,3,0,195,0.487669438123703,0.47395068407058716,0.39792263877625283,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009182453155518,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.25667381286621,0.7668277025222778,0.011128397658467293,0.7491490840911865,0.7749999761581421,0.8878568410873413,0.06897896528244019,0.10000000149011612,-0.21650591574520442,-0.023781028151355573,-0.03861180984862986,-0.19830171282299902,-0.16800402836726586
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.513574838638306,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878363132476807,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.356157302856445,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,6:0,6,0,184,0.4844030737876892,0.4760738015174866,0.3921791209389932,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569393634796143,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.756137132644653,0.755042314529419,0.02437465637922287,0.6754348874092102,0.774998664855957,0.6652464866638184,0.05772741511464119,0.09999477863311768,-0.38471334545330044,0.11161898098612741,-0.16689204269922922,-0.2317624016731958,0.0664474182995276
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,7:0,7,0,194,0.4817899763584137,0.4732973873615265,0.3890873225900765,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.113147497177124,0.7631573677062988,0.01510870736092329,0.7212439775466919,0.7749993205070496,0.7830174565315247,0.06959423422813416,0.09999721497297287,-0.09850860048962036,0.03969989172660019,-0.05186912583409402,-0.07915225625179508,-0.14952644310961946
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,4.687335968017578,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008157312870025635,129801,34948,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.844306468963623,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
