dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:0,0,0,193,0.4861995577812195,0.48538297414779663,0.3915850865725779,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582426071166992,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.510032892227173,0.7623724341392517,0.012621566653251648,0.7497509717941284,0.7749940752983093,0.7481991648674011,0.05047913268208504,0.09997622668743134,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,9.5367431640625e-07,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.61176609992981,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,2:0,2,0,125,0.49109911918640137,0.48130002617836,0.3763805934149599,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.0063228607177734375,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,21.85185217857361,0.7623715400695801,0.012620612978935242,0.7497508525848389,0.774992048740387,0.7502018809318542,0.05048326030373573,0.09996827691793442,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,3:0,3,0,198,0.48734280467033386,0.4716642200946808,0.39683777810294746,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.00900888442993164,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.83119559288025,0.7529658675193787,0.0032406498212367296,0.7497251629829407,0.7562065124511719,0.7432533502578735,0.012935261242091656,0.024827351793646812,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.492821216583252,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878482341766357,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.3125,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569453239440918,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.686375379562378,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,7:0,7,0,115,0.4770537316799164,0.4651314616203308,0.373389936802644,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,17.99002170562744,0.7501443028450012,0.0007446313975378871,0.749399721622467,0.7508889436721802,0.6826000213623047,0.0026756147854030132,0.003739613341167569,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.387684106826782,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008156657218933105,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.678573369979858,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
