dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:0,0,0,194,0.48309651017189026,0.47836026549339294,0.38912196737988747,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582664489746094,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,21.82814598083496,0.7675731778144836,0.011382720433175564,0.7397306561470032,0.7749999165534973,0.862123429775238,0.07496136426925659,0.09999974071979523,-0.2322156946688501,-0.07088476244353772,-0.014897819091059163,-0.21853751078421857,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,1:0,1,0,197,0.48097336292266846,0.48260655999183655,0.3909905694879997,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,20.843239784240723,0.5393640398979187,0.016299836337566376,0.4999394714832306,0.550000011920929,0.9685355424880981,0.07904893904924393,0.10000000149011612,-0.2970213554569689,-0.051292196215602964,-0.03963514410113135,-0.24713777377971474,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,2:0,2,0,136,0.49175241589546204,0.481136679649353,0.3811392000337997,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006322979927062988,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,20.526455879211426,0.7632238864898682,0.01230098307132721,0.7449030876159668,0.7749985456466675,0.7910460829734802,0.05667192488908768,0.0999942198395729,-0.26127281391348695,0.043632173002215245,-0.06673833478822665,-0.28811685269585224,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,3:0,3,0,176,0.4845663905143738,0.469541072845459,0.39387360892428375,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009182453155518,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.80269765853882,0.7411972284317017,0.022051233798265457,0.677871823310852,0.7565777897834778,0.6102986931800842,0.027555838227272034,0.09617310762405396,-0.2893893018793232,-0.08595411890998743,-0.026904966576932216,-0.27846410270648597,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.5774266719818115,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878720760345459,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.600645303726196,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,6:0,6,0,183,0.4834231436252594,0.47558385133743286,0.3950522390594062,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569155216217041,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,20.907089471817017,0.7573908567428589,0.022242452949285507,0.6757009029388428,0.7749997973442078,0.6831552982330322,0.05707235634326935,0.09999916702508926,-0.34771550675202606,0.2008542071053645,-0.21812048772871048,-0.17120023485633587,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,7:0,7,0,193,0.4791768789291382,0.46856117248535156,0.3928560936138219,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,20.91472864151001,0.7610371708869934,0.014118988998234272,0.7389118671417236,0.7749999761581421,0.6793935298919678,0.052445974200963974,0.09999992698431015,-0.35517019779244297,0.12978355891665452,-0.17196033461707755,-0.26773664536466235,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.78158164024353,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008157610893249512,129801,25348,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.68932318687439,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
