dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,0:0,0,0,177,0.481136679649353,0.47885024547576904,0.39096992089204097,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,19.25615406036377,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.835679054260254,0.5,0.0,0.5,0.5,0.5,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,2:0,2,0,158,0.4909358024597168,0.482443243265152,0.3804316452825824,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,1.430511474609375e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,18.440784692764282,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,3:0,3,0,-1,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.8457183837890625,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,4:0,4,0,-1,0.47460395097732544,0.46104851365089417,0.3662063745885871,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.902792930603027,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,5:0,5,0,-1,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.736557722091675,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,6:0,6,0,-1,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.947443008422852,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,7:0,7,0,62,0.4773803651332855,0.4726441204547882,0.37546934365882967,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,11.342704772949219,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,8:0,8,0,-1,0.4657847285270691,0.45843541622161865,0.33805710629572494,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,9.5367431640625e-07,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.79271125793457,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,9:0,9,0,-1,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,1.1920928955078125e-06,94853,0,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.90759539604187,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
