dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:0,0,0,182,0.48097336292266846,0.47574716806411743,0.38326632505037295,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007581472396850586,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.565211534500122,0.7589520812034607,0.017087040469050407,0.7099634408950806,0.7749934196472168,0.7363057136535645,0.05354795232415199,0.09997374564409256,-0.011804373562259536,0.003163296369775906,-0.003490397928932129,-0.004946926935172561,-0.2550643313417763
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.178132057189941,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,2:0,2,0,153,0.4909358024597168,0.4845663905143738,0.3765647511360043,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.00632321834564209,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.786527395248413,0.7667922973632812,0.011625366285443306,0.749462366104126,0.7749993801116943,0.8405461311340332,0.06824441254138947,0.09999753534793854,-0.004278850789572391,-0.008292228880131172,0.002075332514363218,-0.0002403271380067662,-0.5463287663602232
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,3:0,3,0,181,0.4870161712169647,0.47182753682136536,0.39538461373954803,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009122848510742,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.601537942886353,0.7640812993049622,0.011758514679968357,0.7494645714759827,0.7749990224838257,0.8252873420715332,0.0572388581931591,0.09999684244394302,0.002470764048843497,0.007516313061836456,-0.005738642155435367,0.006386959571042222,0.003029296279026667
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.612537860870361,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878363132476807,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.697320222854614,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569155216217041,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.370682954788208,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,7:0,7,0,194,0.4803200960159302,0.4742773175239563,0.38884291414336036,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076291561126708984,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.419676303863525,0.7642729878425598,0.01244228146970272,0.7458372712135315,0.7749985456466675,0.7872521281242371,0.06035672128200531,0.09999425709247589,-0.0013410359466303173,-0.0005482998726956096,-0.00016710185495966165,0.01054443311071998,-0.09684009563443197
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.470412731170654,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008156955242156982,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.590709209442139,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
