dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:0,0,0,182,0.48358646035194397,0.4732973873615265,0.3915380594939387,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.0075817108154296875,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,24.42201042175293,0.7623763084411621,0.012613076716661453,0.7497631907463074,0.7749893665313721,0.7515267729759216,0.050458136945962906,0.09995735436677933,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,1:0,1,0,152,0.47934019565582275,0.4827698767185211,0.3829277590105299,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.626324892044067,0.5249999761581421,0.025000227615237236,0.4999995529651642,0.550000011920929,0.7428407669067383,0.05001550540328026,0.10000000149011612,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,2:0,2,0,56,0.48734280467033386,0.4700310230255127,0.35970401819591047,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323456764221191,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,14.000756740570068,0.7500389814376831,0.0002838839718606323,0.7497552037239075,0.7503229975700378,0.7476938962936401,0.0011599658755585551,0.0013303159503266215,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,3:0,3,0,180,0.48750612139701843,0.47035765647888184,0.3929582549476538,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009182453155518,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.491159200668335,0.752136766910553,0.00239929324015975,0.7497374415397644,0.7545360922813416,0.7464681267738342,0.009584054350852966,0.018146593123674393,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,4:0,4,0,-1,0.47476726770401,0.461865097284317,0.36672727757641654,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.472701549530029,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,5:0,5,0,-1,0.46758124232292175,0.4754205346107483,0.3702136541774089,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878541946411133,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.456708908081055,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,6:0,6,0,180,0.48472970724105835,0.4731340706348419,0.38584370772297916,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569274425506592,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.420467138290405,0.762366771697998,0.012618495151400566,0.7497482299804688,0.774985134601593,0.7495336532592773,0.05047198757529259,0.09994059801101685,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,7:0,7,0,194,0.4822799265384674,0.4711742699146271,0.38669011030619943,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,23.34055757522583,0.7508968114852905,0.0015303184045478702,0.7493663430213928,0.7524269223213196,0.6834216713905334,0.005688080098479986,0.009721013717353344,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,8:0,8,0,-1,0.4672546088695526,0.45908868312835693,0.33754919465897515,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.5849151611328125,0.9995002150535583,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,9:0,9,0,-1,0.4657847285270691,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008156955242156982,129801,26372,94853,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.143164396286011,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
