dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:0,0,0,30,0.4657847285270691,0.470684289932251,0.3644254617705665,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582426071166992,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,9.77524995803833,0.7385989427566528,0.036272965371608734,0.6751362681388855,0.7681966423988342,0.5610386729240417,0.06200038269162178,0.09982430934906006,0.37189698200889476,-0.09586841788209338,0.14547453211422828,0.2873557461335658,0.3478711178889878
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,9.5367431640625e-07,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.755929231643677,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,2:0,2,0,9,0.4822799265384674,0.4700310230255127,0.3471994143600781,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323695182800293,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.038929224014282,0.7399587631225586,0.010361304506659508,0.7219760417938232,0.7500218152999878,0.4230193495750427,0.013884133659303188,0.03796226903796196,0.5560197869269831,-0.07742205356121958,0.0882097440503528,0.5287704253124057,0.5902781032873217
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,3:0,3,0,7,0.46545809507369995,0.46431487798690796,0.36103736396927066,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009008944034576416,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.8648622035980225,0.745745837688446,0.0018576729344204068,0.7417728304862976,0.7496063709259033,0.1400793045759201,0.0066659837029874325,0.011942822486162186,0.7073810627239641,0.037020297543561266,0.021360264767369127,0.7747927992584321,0.8536945730491711
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,4:0,4,0,93,0.4768904149532318,0.4615384638309479,0.3664539599204546,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,12.380749940872192,0.97771155834198,0.03998645395040512,0.8999999761581421,1.0,0.7524574398994446,0.023475810885429382,0.10000000149011612,-0.05988091712600575,-0.10774733858736243,0.11190291632293832,-0.032693720419169764,-0.05239854663250726
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,5:0,5,0,5,0.46823450922966003,0.4752572178840637,0.37010710381330825,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878601551055908,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.117028713226318,0.7491153478622437,0.000678079784847796,0.7478670477867126,0.7498841881752014,0.3803556263446808,0.0019853494595736265,0.0038489208091050386,0.5358256269301452,-0.19414866323159607,0.147330974618155,0.2511160336541621,0.3395810765648905
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569393634796143,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.136253833770752,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,7:0,7,0,65,0.47084760665893555,0.46055853366851807,0.35451630495993813,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,12.066549062728882,0.7593413591384888,0.019278505817055702,0.6754873991012573,0.7749999761581421,0.7427032589912415,0.05486927926540375,0.10000000149011612,-0.4668952983657945,-0.10002636615451437,0.029196419120599455,-0.05548692311812994,-0.2125863587013529
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,8:0,8,0,13,0.4683978259563446,0.4602319002151489,0.3393808535633045,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.178314208984375,0.9994856119155884,0.0008731133420951664,0.9961387515068054,0.9999962449073792,0.6611105799674988,0.0008712172857485712,0.004689861088991165,-0.8158282012596555,0.10383625541622761,-0.2598103922971944,-0.42926226698560094,-0.6217558823656996
Amazon-ratings,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,9:0,9,0,2,0.4661113917827606,0.45957863330841064,0.3541947822484208,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.00815737247467041,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.256694793701172,0.7497513294219971,0.00014288141392171383,0.7495418787002563,0.7499067187309265,0.5178472399711609,0.0009742514230310917,0.0013827371876686811,0.14798332443363266,-0.26777028504627637,0.191828136285459,-0.1889096156224768,-0.1443191872677672
