dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:0,0,0,28,0.46545809507369995,0.4700310230255127,0.36449112147398244,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582187652587891,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,9.556571960449219,0.7362836003303528,0.03574829176068306,0.6754117012023926,0.76496422290802,0.5445117950439453,0.05819357559084892,0.09946999698877335,0.19046608193660058,-0.0774582414622757,0.08346368424469458,0.20971369814177968,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.923713207244873,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,2:0,2,0,8,0.482443243265152,0.4715009033679962,0.3481804469067881,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006322979927062988,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.861240863800049,0.7436391115188599,0.00649608438834548,0.7333166599273682,0.750020444393158,0.45099779963493347,0.00901386234909296,0.02304154820740223,0.3504385204171863,-0.2671699596839052,0.23328619447109114,0.14415316787476048,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,3:0,3,0,7,0.46594804525375366,0.46480482816696167,0.3621330130437946,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009361267089844,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.789354085922241,0.7451498508453369,0.002384964609518647,0.7409126162528992,0.7485550045967102,0.12199363857507706,0.007466478738933802,0.013067207299172878,0.26442720780914375,-0.3204789852905732,0.24621736667577115,0.08896602421455131,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,4:0,4,0,39,0.475910484790802,0.46104851365089417,0.3658549936994138,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,9.64777398109436,0.9814695715904236,0.03685420751571655,0.9000023603439331,1.0,0.7907142043113708,0.020070329308509827,0.09999988228082657,-0.10787615953030115,0.00814291941700932,0.0014126285066020313,0.0023707362786477937,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,5:0,5,0,5,0.46823450922966003,0.4752572178840637,0.37010710381330825,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.00787806510925293,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.499955654144287,0.7489882111549377,0.0008374422905035317,0.7476990818977356,0.7498180270195007,0.3761455714702606,0.0021491895895451307,0.004076364915817976,0.24888724594076558,-0.27194072422978716,0.20149733876434534,0.05098124975216422,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569751262664795,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.924639940261841,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,7:0,7,0,29,0.4688878059387207,0.4581087529659271,0.3517054242711357,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,8.796325445175171,0.7491928935050964,0.008707882836461067,0.7376425266265869,0.7591899633407593,0.5020697116851807,0.022135259583592415,0.03676803037524223,-0.1415375256802303,0.33455259732948966,-0.18871478819734688,0.0035806274586970962,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,8:0,8,0,0,0.4677445590496063,0.4594153165817261,0.3377476786619892,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.074260234832764,0.9995259046554565,9.628808584238868e-06,0.9995022416114807,0.9995359778404236,0.5089230537414551,0.0009651981526985765,0.0009969784878194332,-0.01607380408648183,-0.27004913581692236,0.14599367732077012,-0.08381956452323625,nan
Amazon-ratings,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,9:0,9,0,2,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008157134056091309,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.369380950927734,0.7497488856315613,0.0001567366416566074,0.7495394349098206,0.7499061822891235,0.520171046257019,0.0009743025293573737,0.00138669868465513,0.11090484700408089,-0.2541862215716539,0.15448522551717514,0.03523600990705457,nan
