dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:0,0,0,3,0.4651314616203308,0.4726441204547882,0.36804644708992745,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007581472396850586,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.445383310317993,0.7497362494468689,0.00022730909404344857,0.7494031190872192,0.7499725222587585,0.5411027669906616,0.0009624045342206955,0.0016150455921888351,0.17237041552365104,-0.18743399899847668,0.13660606293966585,0.09373918051858482,-0.06092183653618254
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.7749552726745605,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,2:0,2,0,9,0.4829331934452057,0.4698677062988281,0.34725377161261356,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323456764221191,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.934152603149414,0.7399892807006836,0.010241017676889896,0.7213132381439209,0.7500231862068176,0.41505715250968933,0.013860298320651054,0.038836587220430374,0.3377575638289347,-0.22791695261645517,0.2055650041460242,0.14346945480186615,-0.25589556919940903
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,3:0,3,0,9,0.46545809507369995,0.4661113917827606,0.36325795490092966,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009003639221191,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.07903265953064,0.7370743751525879,0.008960014209151268,0.7215218544006348,0.7480405569076538,0.06939671188592911,0.018115241080522537,0.038556814193725586,0.2608015790963295,-0.2863552840115645,0.2251180797335914,0.09013492165937295,-0.013617835987934219
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,4:0,4,0,49,0.4760738015174866,0.4608851969242096,0.36603261373809876,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,9.572270393371582,0.981715977191925,0.03684378042817116,0.8999999761581421,1.0,0.7833464741706848,0.018996963277459145,0.10000000149011612,-0.11536850110815434,-2.5540642508945956e-05,0.010366022743687342,-0.010943669206296813,-0.0505539726673728
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,5:0,5,0,5,0.46823450922966003,0.4752572178840637,0.37010710381330825,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878601551055908,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.691266059875488,0.7491164803504944,0.0006830792408436537,0.747846782207489,0.7498695254325867,0.3818487823009491,0.001980498433113098,0.0038778928574174643,0.22834825962858077,-0.2547900222277346,0.18991869591303856,0.053154376260024415,-0.17573647736270867
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569393634796143,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.786258935928345,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,7:0,7,0,18,0.46921443939208984,0.4599052667617798,0.35367553230511783,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.650507688522339,0.7446190714836121,0.005630281288176775,0.7343667149543762,0.7500280141830444,0.505797803401947,0.007322900462895632,0.021010035648941994,-0.005672864198742686,0.011580457732151588,-0.0016091370253018989,0.003732491116998606,-0.8170736466707615
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,8:0,8,0,86,0.4679078757762909,0.45794543623924255,0.33814679908688644,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,13.59890604019165,0.9814280271530151,0.03678685426712036,0.9000005125999451,1.0,0.617415189743042,0.02091016247868538,0.10000000149011612,-0.06386299466894918,-0.025034642358003803,0.008770287761468444,-0.01780527467021563,-0.0289155162333995
Amazon-ratings,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,9:0,9,0,2,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008157014846801758,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.265398263931274,0.7497513294219971,0.00014360714703798294,0.7495390772819519,0.7499063014984131,0.517951250076294,0.0009742168476805091,0.0013873528223484755,0.09429173435907622,-0.23478348806108806,0.14379359004331455,0.02883037769325002,-0.31339984174344243
