dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,0:0,0,0,4,0.4651314616203308,0.4728074371814728,0.3685433291789677,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.0075817108154296875,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.116883277893066,0.7497135400772095,0.00024207237584050745,0.7494713068008423,0.7499555349349976,0.5303167104721069,0.0010057386243715882,0.0015013105003163218,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.649465322494507,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,2:0,2,0,12,0.48325982689857483,0.47035765647888184,0.3485242597345505,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.00632321834564209,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.886248350143433,0.7420841455459595,0.007938195019960403,0.7341459393501282,0.7500223517417908,0.45083028078079224,0.011060249991714954,0.021940862759947777,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,3:0,3,0,13,0.46643802523612976,0.4656214118003845,0.36226332270694267,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009003639221191,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.980827569961548,0.7365462779998779,0.01105761993676424,0.7254888415336609,0.7476040720939636,0.0867646187543869,0.018691446632146835,0.03332925960421562,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,4:0,4,0,6,0.47558385133743286,0.461865097284317,0.36687001248341294,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.468494176864624,0.9997194409370422,0.00023078358208294958,0.9994885921478271,0.9999502301216125,0.6487926244735718,0.0006329506286419928,0.0010150036541745067,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,5:0,5,0,7,0.46823450922966003,0.4752572178840637,0.37010710381330825,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878363132476807,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.536299228668213,0.7490290403366089,0.0007615669164806604,0.7482675313949585,0.749790608882904,0.3723105490207672,0.002102077240124345,0.0032870068680495024,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569334030151367,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.747759103775024,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,7:0,7,0,32,0.4688878059387207,0.4592519998550415,0.352980265042936,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,8.731097936630249,0.7486717700958252,0.006720465142279863,0.7419512867927551,0.7553921937942505,0.5038991570472717,0.01622490957379341,0.021600084379315376,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,8:0,8,0,0,0.46758124232292175,0.4592519998550415,0.3376484535026508,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.890560150146484,0.9995182752609253,2.421817725917208e-06,0.9995160102844238,0.9995208382606506,0.5062629580497742,0.0009753393824212253,0.00097851047758013,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,9:0,9,0,2,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.00815737247467041,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.08298659324646,0.7497573494911194,9.307198342867196e-05,0.7496641874313354,0.749850332736969,0.5107576251029968,0.0009759543463587761,0.0011643876787275076,nan,nan,nan,nan,nan
