dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:0,0,0,4,0.4651314616203308,0.4728074371814728,0.3685433291789677,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582426071166992,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.135297536849976,0.749727725982666,0.00022859290766064078,0.7493709921836853,0.7499539852142334,0.533451497554779,0.0009839993435889482,0.001667248085141182,0.24026646211737426,-0.26333932067654797,0.1878404938322197,0.14596929468181252,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.759063482284546,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,2:0,2,0,11,0.4829331934452057,0.4710109233856201,0.3478731062508349,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323575973510742,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.7384419441223145,0.7427735924720764,0.007525753229856491,0.7293046116828918,0.7500197887420654,0.4410896599292755,0.010170629248023033,0.028339583426713943,0.35211382352301474,-0.2619330685784477,0.2302779355861842,0.14128454751892663,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,3:0,3,0,53,0.46660134196281433,0.46219173073768616,0.3594267028188035,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.009009063243865967,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,10.50589632987976,0.7237896919250488,0.032183028757572174,0.6750041246414185,0.7499288320541382,0.32270628213882446,0.035313986241817474,0.09999445825815201,0.05698949812745143,0.1011426946174356,-0.09384889523305313,0.12183859293741897,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,4:0,4,0,61,0.47623714804649353,0.46170178055763245,0.36689745949878616,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,11.221888542175293,0.9805046319961548,0.03785586357116699,0.8999999761581421,1.0,0.7557762861251831,0.019971242174506187,0.10000000149011612,-0.09504380844343085,-0.014881415514407826,0.011848133413808186,-0.00019114957185643533,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,5:0,5,0,7,0.46823450922966003,0.4754205346107483,0.37019740665549317,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878482341766357,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.5436084270477295,0.7489614486694336,0.0008739602635614574,0.7473621964454651,0.7498124241828918,0.3737577497959137,0.0021899892017245293,0.00454347487539053,0.27870705051071387,-0.2735296303039537,0.21182662910702968,0.07028928370097051,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569214820861816,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.8566131591796875,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,7:0,7,0,36,0.4693777561187744,0.4594153165817261,0.35333044990613327,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,8.87855577468872,0.7453873753547668,0.008557748980820179,0.724689781665802,0.7545313239097595,0.5023953318595886,0.01645304635167122,0.0337948352098465,-0.035742435308384356,0.25232341012356746,-0.13970978012593788,-0.006983462881738917,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,8:0,8,0,25,0.4679078757762909,0.4594153165817261,0.33774347719896525,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.868693113327026,0.9926639795303345,0.012199037708342075,0.9505356550216675,1.0,0.43292585015296936,0.007816759869456291,0.049900807440280914,-0.03969573966446537,-0.04668354699422262,0.04784434294589685,-0.05006533323445162,nan
Amazon-ratings,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,9:0,9,0,3,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.00815725326538086,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.096756219863892,0.7497395277023315,0.00016344687901437283,0.7494797706604004,0.749902606010437,0.5160784125328064,0.0009920839220285416,0.0014883903786540031,0.16489690241797061,-0.3409498298166013,0.20996001279738766,0.056876981090777885,nan
