dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:0,0,0,4,0.4651314616203308,0.4728074371814728,0.3685433291789677,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007581949234008789,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.2539963722229,0.7497384548187256,0.00019841031462419778,0.7494638562202454,0.7499493360519409,0.5271160006523132,0.0009780887048691511,0.0015140986070036888,0.7032102095538404,0.044252808835905474,0.04317331420098658,0.8306562175093475,0.9042436301793931
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.583111524581909,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,2:0,2,0,12,0.48325982689857483,0.4705209732055664,0.348567466699378,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323337554931641,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.880589008331299,0.7417562007904053,0.008267839439213276,0.730751633644104,0.7500234842300415,0.3771452307701111,0.011590274050831795,0.026407470926642418,0.46040274554191196,0.3815046609038988,-0.31079739752159025,0.6473578562440351,0.7064180532816977
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,3:0,3,0,10,0.46545809507369995,0.4641515612602234,0.3608659750138581,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.00900876522064209,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.567564010620117,0.7455200552940369,0.0021154836285859346,0.7426530718803406,0.7499253153800964,0.1621556431055069,0.00692650955170393,0.010775061324238777,0.6887465773128959,0.1648213693833081,-0.07437967037201079,0.8055850007938443,0.8902139947238845
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,4:0,4,0,34,0.4760738015174866,0.46072185039520264,0.36564478999467787,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,8.76954960823059,0.9821109175682068,0.033352162688970566,0.901990532875061,1.0,0.6712878346443176,0.018124371767044067,0.09805204719305038,0.3760513757968223,-0.4273415247713488,0.4651884947417304,0.13465608881985497,0.1975453486828494
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,5:0,5,0,7,0.46823450922966003,0.4752572178840637,0.37010710381330825,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878243923187256,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.516770124435425,0.7491192817687988,0.0006331222248263657,0.7481221556663513,0.7499308586120605,0.37868431210517883,0.0019846749491989613,0.00349345407448709,0.4917288412253153,-0.024240884217671455,0.008236765198405407,-0.08853871722823754,0.07531860110431621
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569393634796143,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.8009538650512695,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,7:0,7,0,96,0.4698677062988281,0.4602319002151489,0.3540264031870681,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.0076296329498291016,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,14.134264707565308,0.7604382038116455,0.017393238842487335,0.6758644580841064,0.7749999761581421,0.7714346051216125,0.05325819551944733,0.10000000149011612,-0.40368925058276806,-0.09951469606713804,0.03358705239588769,-0.01458964509951719,-0.1592481911531791
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,8:0,8,0,49,0.46856117248535156,0.45908868312835693,0.3380096077701214,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,10.397128582000732,0.9994661211967468,0.0012803772697225213,0.9802603125572205,1.0,0.773480236530304,0.000760523253120482,0.020400425419211388,-0.44580954858955263,-0.21375101601026483,0.09935382599941905,-0.40289481687923817,-0.5028618167499826
Amazon-ratings,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,9:0,9,0,4,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.00815737247467041,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.391093730926514,0.7497232556343079,0.00020954848150722682,0.7494434118270874,0.7499497532844543,0.5218517184257507,0.0010049856500700116,0.001548104453831911,0.552753171020275,0.4165687528002724,-0.1609919325607877,-0.03758241280321819,0.23237318591532077
