dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,0:0,0,0,4,0.4651314616203308,0.4728074371814728,0.3685433291789677,0.75,0.46480482816696167,0.4721541702747345,0.36761957772344717,0.007582187652587891,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.211179971694946,0.7497355341911316,0.0001999981323024258,0.7494774460792542,0.7499526143074036,0.5268757939338684,0.0009821931598708034,0.0014917276566848159,-0.0035835808632334546,-0.010514559878678829,0.010279297057396067,0.0014263641390070353,-0.15148802235787803
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,1:0,1,0,-1,0.4683978259563446,0.46545809507369995,0.3548809397282084,0.5,0.4683978259563446,0.46545809507369995,0.3548809397282084,1.1920928955078125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.731128454208374,0.5,0.0,0.5,0.5,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,2:0,2,0,12,0.4829331934452057,0.4705209732055664,0.3490462343850341,0.75,0.4817899763584137,0.4710109233856201,0.3460809830277698,0.006323099136352539,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,7.051191329956055,0.7416508793830872,0.008317445404827595,0.7302111983299255,0.7500230669975281,0.37822091579437256,0.011726811528205872,0.027118468657135963,0.00436510505616463,-0.000739779239394737,0.004736031274180533,0.0037267329844422304,-0.7438347972222186
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,3:0,3,0,11,0.46545809507369995,0.46447819471359253,0.3622431935357746,0.75,0.46382492780685425,0.4662747085094452,0.3622570808077768,0.00900888442993164,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.810344219207764,0.743552565574646,0.003822459140792489,0.7376006245613098,0.7492383718490601,0.11084476858377457,0.009573797695338726,0.017413334921002388,0.0015837977987650717,0.006340497097067626,-0.00019632676640553528,0.007072641756185335,-0.45476202732776577
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,4:0,4,0,6,0.4752572178840637,0.46170178055763245,0.36682407447185006,1.0,0.47460395097732544,0.46104851365089417,0.3662063745885871,0.7956439256668091,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.52012038230896,0.9997221827507019,0.000212203391129151,0.99941086769104,0.9999468922615051,0.6389614939689636,0.0006401911377906799,0.0011176945408806205,-0.005944076612928163,-0.00047271957197195545,0.001435607258662588,0.0017082186276313781,-0.8833235960704708
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,5:0,5,0,7,0.46823450922966003,0.4754205346107483,0.3702047993823019,0.75,0.46807119250297546,0.4754205346107483,0.37029015207250593,0.007878541946411133,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.686423063278198,0.7491490840911865,0.000623381114564836,0.7481813430786133,0.7499122619628906,0.3842940926551819,0.0019371042726561427,0.0034119372721761465,0.00303866032363722,0.0019636836999931827,0.004992253428966521,0.007220639439749602,-0.7100537598950135
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,6:0,6,0,-1,0.4731340706348419,0.46268168091773987,0.36259460177519187,0.75,0.4732973873615265,0.4625183641910553,0.36250299606514413,0.010569095611572266,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,5.567814588546753,0.7497500777244568,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000000474974513,0.0009999999310821295,nan,nan,nan,nan,nan
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,7:0,7,0,38,0.46921443939208984,0.4592519998550415,0.3534521415561522,0.75,0.46660134196281433,0.4620284140110016,0.3558932162056562,0.00762939453125,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,9.057765007019043,0.7516909837722778,0.011194984428584576,0.7182532548904419,0.7631021738052368,0.5301275253295898,0.029789403080940247,0.05241263657808304,-0.0076254485676364725,0.004283788383979467,0.001429273192528242,-0.003857107958253251,-0.3706726252719143
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,8:0,8,0,27,0.4679078757762909,0.45745548605918884,0.336198350898498,1.0,0.4657847285270691,0.45843541622161865,0.33805710629572494,0.5577315092086792,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,8.213945150375366,0.9997352361679077,0.00044272240484133363,0.9961094856262207,0.9999998211860657,0.7536458969116211,0.0005231520044617355,0.004712170455604792,-0.0034771618513029985,-0.008346882467851525,0.0020618763009155315,-0.008922974043540548,-0.052849352375266063
Amazon-ratings,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,9:0,9,0,3,0.4661113917827606,0.45957863330841064,0.35420503004008286,0.75,0.4661113917827606,0.45957863330841064,0.35420933708059404,0.008156955242156982,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,6.0449395179748535,0.7497475743293762,0.00013672876229975373,0.7495776414871216,0.7499033808708191,0.5139495134353638,0.0009842518484219909,0.0013202362461015582,-6.1180022373051174e-06,-0.009340519471393777,0.01269296568070278,0.006882630887013657,-0.5375504230347276
