dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:0,0,0,52,0.6220000386238098,0.6020000576972961,0.5550507423759189,0.75,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.008175205439329147,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,2.7132256031036377,0.7499479055404663,0.0003625861427281052,0.7495853304862976,0.750310480594635,0.6933640837669373,0.0013058360200375319,0.001383718685247004,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:1,0,1,-1,0.6220000386238098,0.5950000286102295,0.565095159145434,1.0,0.6260000467300415,0.5960000157356262,0.565795415817199,0.1990116834640503,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.032588005065918,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:2,0,2,-1,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.75,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.010266780853271484,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0204930305480957,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:3,0,3,2,0.6420000195503235,0.6210000514984131,0.5479949488285273,0.5,0.628000020980835,0.6260000467300415,0.587137769763138,1.430511474609375e-06,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.046222448348999,0.5000152587890625,2.961795689770952e-05,0.4999856650829315,0.5000448822975159,0.5134351253509521,0.0010465782834216952,0.001089865225367248,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:4,0,4,-1,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.75,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.0021114349365234375,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0303575992584229,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:5,0,5,-1,0.64000004529953,0.6260000467300415,0.5917953284684744,0.75,0.64000004529953,0.6260000467300415,0.5917953284684744,0.009046554565429688,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9865598678588867,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:6,0,6,-1,0.6540000438690186,0.6330000162124634,0.5971953818102534,1.0,0.6540000438690186,0.6310000419616699,0.593235041983185,0.13470053672790527,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9766480922698975,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:7,0,7,45,0.6300000548362732,0.6100000143051147,0.5809398537239506,0.75,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.015830516815185547,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.7577478885650635,0.7498997449874878,0.00012401760614011437,0.7497757077217102,0.7500237226486206,0.6976293325424194,0.0005640523158945143,0.0009480177541263402,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:8,0,8,-1,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.75,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.012400627136230469,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0090301036834717,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:9,0,9,-1,0.6220000386238098,0.5860000252723694,0.5522747050163891,0.75,0.6220000386238098,0.5860000252723694,0.5522496032123732,0.005382537841796875,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.019397258758545,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
