dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:0,0,0,52,0.6220000386238098,0.6000000238418579,0.5526115449353877,0.75,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.008175063878297806,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,2.9105496406555176,0.7499634027481079,0.00035592171479947865,0.749607503414154,0.7503193020820618,0.700229287147522,0.0012939309235662222,0.0013935305178165436,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:1,0,1,-1,0.6220000386238098,0.5950000286102295,0.565095159145434,1.0,0.6260000467300415,0.5960000157356262,0.565795415817199,0.1990116834640503,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.013707160949707,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:2,0,2,-1,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.75,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.010266542434692383,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0360918045043945,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:3,0,3,2,0.6420000195503235,0.6210000514984131,0.5479949488285273,0.5,0.628000020980835,0.6260000467300415,0.587137769763138,2.384185791015625e-06,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0592248439788818,0.5000150799751282,3.0041988793527707e-05,0.4999850392341614,0.500045120716095,0.513230562210083,0.001047565951012075,0.0010909822303801775,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:4,0,4,-1,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.75,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.0021114349365234375,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0448486804962158,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:5,0,5,-1,0.64000004529953,0.6260000467300415,0.5917953284684744,0.75,0.64000004529953,0.6260000467300415,0.5917953284684744,0.009046435356140137,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0126824378967285,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:6,0,6,-1,0.6540000438690186,0.6330000162124634,0.5971953818102534,1.0,0.6540000438690186,0.6310000419616699,0.593235041983185,0.13470053672790527,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0256731510162354,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:7,0,7,45,0.6300000548362732,0.6100000143051147,0.5809398537239506,0.75,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.015830278396606445,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.767446517944336,0.7498967051506042,0.00012549418897833675,0.7497711181640625,0.7500221133232117,0.6988341212272644,0.0005593367386609316,0.000957295298576355,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:8,0,8,-1,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.75,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.01240074634552002,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9931647777557373,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:9,0,9,-1,0.6220000386238098,0.5860000252723694,0.5522747050163891,0.75,0.6220000386238098,0.5860000252723694,0.5522496032123732,0.005382180213928223,347658,26372,312710,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.0561518669128418,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
