dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:0,0,0,-1,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.75,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.00817493349313736,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.8343706130981445,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:1,0,1,26,0.6260000467300415,0.5960000157356262,0.565795415817199,1.0,0.6260000467300415,0.5960000157356262,0.565795415817199,0.1990116834640503,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.3533344268798828,0.9994304180145264,0.0005675200372934341,0.9986108541488647,0.9999949336051941,0.6623303890228271,0.0009783494751900434,0.0022189633455127478,-0.07834612302414323,0.03985639856971366,-0.06591371364050476,0.09939815100783397,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:2,0,2,22,0.6480000019073486,0.6300000548362732,0.5855010928656645,0.75,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.010266542434692383,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.2563996315002441,0.7488207817077637,0.0006305311690084636,0.7481743097305298,0.7495589852333069,0.3181536793708801,0.002548112068325281,0.0035648990888148546,-0.0533384417425205,0.005694462843693808,-0.03671020322905134,-0.009389912143436005,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:3,0,3,-1,0.628000020980835,0.6260000467300415,0.587137769763138,0.5,0.628000020980835,0.6260000467300415,0.587137769763138,1.430511474609375e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9082467555999756,0.5,0.0,0.5,0.5,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:4,0,4,6,0.6340000033378601,0.6420000195503235,0.6050924100785886,0.75,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.0021114349365234375,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.001251459121704,0.7478528618812561,0.00028420021408237517,0.7468581199645996,0.7486154437065125,0.19591595232486725,0.0038637458346784115,0.005216061137616634,0.11237354325039778,-0.03875835748298452,0.10604362591186312,-0.1140167673465891,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:5,0,5,-1,0.64000004529953,0.6260000467300415,0.5917953284684744,0.75,0.64000004529953,0.6260000467300415,0.5917953284684744,0.009046435356140137,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.930640459060669,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:6,0,6,-1,0.6540000438690186,0.6330000162124634,0.5971953818102534,1.0,0.6540000438690186,0.6310000419616699,0.593235041983185,0.13470053672790527,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9185950756072998,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:7,0,7,-1,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.75,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.015830278396606445,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9189226627349854,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:8,0,8,86,0.6420000195503235,0.6070000529289246,0.5769665988666163,0.75,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.012400388717651367,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,2.1614933013916016,0.7267736792564392,0.03248629346489906,0.67500239610672,0.7497563362121582,0.26580342650413513,0.03209041804075241,0.0999971404671669,-0.175177153736676,0.027669211795716474,-0.12374480115284621,0.10151502927487452,nan
Citeseer,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:9,0,9,4,0.6240000128746033,0.5850000381469727,0.5515266831935421,0.75,0.6220000386238098,0.5860000252723694,0.5522496032123732,0.005382418632507324,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.992351770401001,0.7490541338920593,0.00022786624322179705,0.748818576335907,0.7494512796401978,0.3163039982318878,0.002151480643078685,0.002506638877093792,-0.19062065299774678,0.0702912054774185,-0.15404960312007515,0.1253426406081256,nan
