dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:0,0,0,-1,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.75,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.008175168186426163,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.4713084697723389,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:1,0,1,31,0.6260000467300415,0.5960000157356262,0.565795415817199,1.0,0.6260000467300415,0.5960000157356262,0.565795415817199,0.1990116834640503,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9803297519683838,0.999403715133667,0.0005973303341306746,0.9984444975852966,0.9999979138374329,0.665485143661499,0.0010141521925106645,0.0024549306835979223,-0.08074581067568988,0.04765710355676237,-0.07014619179444082,0.07651888044316679,0.12259911476328463
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:2,0,2,26,0.6480000019073486,0.6300000548362732,0.5855137651065977,0.75,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.010266780853271484,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.1811530590057373,0.7487719655036926,0.0005984878516755998,0.747664213180542,0.7495183348655701,0.30946627259254456,0.002643163315951824,0.004327042493969202,-0.01201755483288411,0.011242363737519044,-0.031243728931117726,0.017083498346950405,-0.5969350419243197
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:3,0,3,18,0.6300000548362732,0.625,0.5872076953539108,0.5,0.628000020980835,0.6260000467300415,0.587137769763138,2.384185791015625e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.1845097541809082,0.506589412689209,0.007155115716159344,0.4992758631706238,0.5160512924194336,0.6216794848442078,0.014653253369033337,0.032312214374542236,-0.02362786768706847,-0.0008562913858736,-0.019474897920891774,0.006366057638289934,-0.2808505470067336
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:4,0,4,6,0.6340000033378601,0.6410000324249268,0.6041275441879908,0.75,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.0021114349365234375,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9984557628631592,0.7483540773391724,0.00024194284924305975,0.7474051713943481,0.7491590976715088,0.2328435480594635,0.003169521689414978,0.004482960794121027,0.10164766261026253,-0.030121092460057227,0.10326076098678535,-0.11328338408200897,0.48945691276692826
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:5,0,5,-1,0.64000004529953,0.6260000467300415,0.5917953284684744,0.75,0.64000004529953,0.6260000467300415,0.5917953284684744,0.009046435356140137,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.8853380680084229,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:6,0,6,-1,0.6540000438690186,0.6330000162124634,0.5971953818102534,1.0,0.6540000438690186,0.6310000419616699,0.593235041983185,0.13470053672790527,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9212884902954102,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:7,0,7,-1,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.75,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.015830516815185547,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9290196895599365,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:8,0,8,94,0.6420000195503235,0.6080000400543213,0.5778497554592353,0.75,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.01240086555480957,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,2.2406115531921387,0.7259396314620972,0.032858386635780334,0.6750003695487976,0.7498831152915955,0.2624569237232208,0.0330180898308754,0.09999959915876389,-0.17619842944924968,0.031073785428671372,-0.12433340595344984,0.10165647662377508,0.003723724807065792
Citeseer,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:9,0,9,4,0.6240000128746033,0.5850000381469727,0.5515266831935421,0.75,0.6220000386238098,0.5860000252723694,0.5522496032123732,0.005382180213928223,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9790809154510498,0.7491666674613953,0.00021743301476817578,0.74883633852005,0.7495501637458801,0.33598873019218445,0.001980247674509883,0.0024823483545333147,-0.11052347254331134,0.04055695540470023,-0.08781884776163794,0.08483755126488142,-0.006462925184611131
