dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:0,0,0,-1,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.75,0.6180000305175781,0.5790000557899475,0.5462366876641663,0.008174937218427658,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.5195097923278809,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:1,0,1,8,0.6240000128746033,0.5940000414848328,0.5641703884675645,1.0,0.6260000467300415,0.5960000157356262,0.565795415817199,0.1990116834640503,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.7592165470123291,0.9995447993278503,0.00010883031063713133,0.9994136691093445,0.9996923804283142,0.5197164416313171,0.0009364773286506534,0.001130116288550198,0.47049846056034544,-0.2955245495500441,0.7196097791673715,0.016966407387434462,0.2571576729153548
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:2,0,2,44,0.6480000019073486,0.6300000548362732,0.5855137651065977,0.75,0.6460000276565552,0.6300000548362732,0.5855047263006402,0.010266304016113281,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.1378538608551025,0.7475354075431824,0.0014567815233021975,0.7439293265342712,0.7489896416664124,0.23382385075092316,0.004546916112303734,0.009698483161628246,-0.7517801890277126,0.4460875552594961,-0.8388461776383745,0.46285723796817746,0.02118984258671472
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:3,0,3,-1,0.628000020980835,0.6260000467300415,0.587137769763138,0.5,0.628000020980835,0.6260000467300415,0.587137769763138,1.9073486328125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.6174478530883789,0.5,0.0,0.5,0.5,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:4,0,4,63,0.6460000276565552,0.6430000066757202,0.6041623049345362,0.75,0.6320000290870667,0.6410000324249268,0.6041275441879908,0.0021115541458129883,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,1.2519145011901855,0.7032414078712463,0.032523415982723236,0.6749999523162842,0.7498162984848022,0.10729387402534485,0.06286672502756119,0.10000000149011612,-0.5268528862021206,0.011533615656776937,-0.4423611268790696,-0.12253733260816312,-0.3851302960206714
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:5,0,5,-1,0.64000004529953,0.6260000467300415,0.5917953284684744,0.75,0.64000004529953,0.6260000467300415,0.5917953284684744,0.009046435356140137,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.6456623077392578,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:6,0,6,-1,0.6540000438690186,0.6330000162124634,0.5971953818102534,1.0,0.6540000438690186,0.6310000419616699,0.593235041983185,0.13470053672790527,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.6765346527099609,0.9994999766349792,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:7,0,7,-1,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.75,0.6220000386238098,0.6150000095367432,0.5771593006784234,0.01583075523376465,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.6333615779876709,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:8,0,8,34,0.64000004529953,0.6070000529289246,0.5769890077016175,0.75,0.6380000114440918,0.6070000529289246,0.5769890077016175,0.012400507926940918,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.9542169570922852,0.7494112253189087,0.00018963082402478904,0.7489727735519409,0.7496835589408875,0.39622271060943604,0.0016232392517849803,0.0023522204719483852,-0.7800662084175158,-0.03589925677801303,-0.7830388347963337,-0.30192908661872425,-0.710593797816247
Citeseer,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:9,0,9,5,0.6240000128746033,0.5850000381469727,0.5515266831935421,0.75,0.6220000386238098,0.5860000252723694,0.5522496032123732,0.0053822994232177734,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,0.6810154914855957,0.7492659091949463,0.00014576509420294315,0.7489632368087769,0.7494895458221436,0.3523801267147064,0.0018298199865967035,0.0022963525261729956,-0.693499725906042,0.4831893371063501,-0.7903222644285182,0.49844775398545216,0.09355098065089627
