dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:0,0,0,51,0.7160000205039978,0.6810000538825989,0.668731462387946,0.75,0.6940000057220459,0.6710000038146973,0.6614026367274272,0.011388242244720459,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,5.1420676708221436,0.7493332624435425,0.0008916562655940652,0.7467918395996094,0.7500184774398804,0.5656798481941223,0.0013749607605859637,0.005048436112701893,-0.06422881458063166,-0.00857134171838581,-0.08921621538164458,0.09407609122140387,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:1,0,1,-1,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.75,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.005598783493041992,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.371873617172241,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:2,0,2,31,0.7080000042915344,0.690000057220459,0.6578717550483751,1.0,0.6940000057220459,0.6810000538825989,0.6722098036701866,0.07946205139160156,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,3.5241811275482178,0.9995810985565186,0.00016607063298579305,0.9993282556533813,0.999751627445221,0.5393940210342407,0.0008762553334236145,0.001228639273904264,-0.003529687514831558,0.0006721570478499676,-0.017902530032359476,0.00893656697625452,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:3,0,3,1,0.7100000381469727,0.7050000429153442,0.680529954655982,0.75,0.6980000138282776,0.7050000429153442,0.6867519617472313,0.009493589401245117,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.445815324783325,0.7497531771659851,4.453304791240953e-05,0.7496961951255798,0.7497997879981995,0.5031290054321289,0.0009915645932778716,0.0011043298291042447,-0.0040116864232684485,0.0036466303472477645,0.039945172128647906,0.02488416234334145,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:4,0,4,20,0.7280000448226929,0.7250000238418579,0.7096577925872198,0.75,0.6960000395774841,0.6850000619888306,0.6627744374910067,0.015389561653137207,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,3.109713315963745,0.7498509287834167,0.0001612815831322223,0.7496272921562195,0.7500123381614685,0.6346710920333862,0.0006806591409258544,0.001230307505466044,0.009882262446795782,-0.013243361798242419,0.012633999973458107,-0.05009028050440348,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:5,0,5,-1,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.75,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.006742000579833984,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3788251876831055,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:6,0,6,-1,0.718000054359436,0.6970000267028809,0.6771366980693064,0.75,0.718000054359436,0.6970000267028809,0.6771366980693064,0.006781816482543945,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.431521415710449,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:7,0,7,-1,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.75,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.012313604354858398,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.402332305908203,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:8,0,8,-1,0.6980000138282776,0.687000036239624,0.6677240448133566,0.75,0.6980000138282776,0.687000036239624,0.6676673351939816,0.005573153495788574,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.353585720062256,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:9,0,9,-1,0.706000030040741,0.690000057220459,0.670887593107613,1.0,0.706000030040741,0.6910000443458557,0.6715832504643721,0.04955637454986572,202443,34948,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.4038777351379395,0.9995000958442688,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
