dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:0,0,0,51,0.7160000205039978,0.6810000538825989,0.668731462387946,0.75,0.6940000057220459,0.6710000038146973,0.6614026367274272,0.011388182640075684,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,5.271381616592407,0.7497767210006714,0.00022586777049582452,0.7495508193969727,0.7500025629997253,0.5788925886154175,0.0008082969579845667,0.0012836939422413707,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:1,0,1,-1,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.75,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.005599021911621094,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3660130500793457,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:2,0,2,149,0.7380000352859497,0.7200000286102295,0.7017904422594408,1.0,0.6940000057220459,0.6810000538825989,0.6722098036701866,0.07946205139160156,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,7.381867408752441,0.9997689723968506,0.0002278449246659875,0.9995412826538086,0.9999969601631165,0.7289786338806152,0.0004974369658157229,0.0009384541190229356,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:3,0,3,1,0.7100000381469727,0.7050000429153442,0.680529954655982,0.75,0.6980000138282776,0.7050000429153442,0.6867519617472313,0.009493589401245117,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.477022647857666,0.7497535347938538,3.59292134817224e-05,0.7497175931930542,0.7497894763946533,0.5027574896812439,0.0009916763519868255,0.001063522300682962,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:4,0,4,20,0.7280000448226929,0.7240000367164612,0.7090174868829167,0.75,0.6960000395774841,0.6850000619888306,0.6627744374910067,0.015389561653137207,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,3.105468273162842,0.7498310208320618,0.00011837008059956133,0.7497127056121826,0.7499494552612305,0.5679543614387512,0.0007991187740117311,0.0010722827864810824,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:5,0,5,-1,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.75,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.006741523742675781,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3810226917266846,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:6,0,6,-1,0.718000054359436,0.6970000267028809,0.6771366980693064,0.75,0.718000054359436,0.6970000267028809,0.6771366980693064,0.006782054901123047,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.372685670852661,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:7,0,7,-1,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.75,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.012313604354858398,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.4212162494659424,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:8,0,8,-1,0.6980000138282776,0.687000036239624,0.6677240448133566,0.75,0.6980000138282776,0.687000036239624,0.6676673351939816,0.005573391914367676,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3731284141540527,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:9,0,9,-1,0.706000030040741,0.690000057220459,0.670887593107613,1.0,0.706000030040741,0.6910000443458557,0.6715832504643721,0.049556612968444824,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3389036655426025,0.9995000958442688,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
