dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:0,0,0,51,0.7120000123977661,0.6780000329017639,0.6665851855919106,0.75,0.6940000057220459,0.6710000038146973,0.6614026367274272,0.011388242244720459,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,5.248486757278442,0.7493228912353516,0.0010157821234315634,0.7450978755950928,0.750008761882782,0.5459645390510559,0.0015088060172274709,0.007733292877674103,-0.08792162120227864,-0.013869085162620021,-0.08229255311467626,0.09131902633260987,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:1,0,1,-1,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.75,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.005599021911621094,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.384860038757324,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:2,0,2,32,0.7080000042915344,0.6960000395774841,0.666207915206423,1.0,0.6940000057220459,0.6810000538825989,0.6722098036701866,0.07946205139160156,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,3.5487427711486816,0.9995729923248291,8.705676009412855e-05,0.9994219541549683,0.9996680021286011,0.5288588404655457,0.0008978984551504254,0.0011085666483268142,0.0012016229199167143,0.05177612259528896,-0.03005805670416608,0.021674356459240495,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:3,0,3,1,0.7100000381469727,0.7050000429153442,0.680529954655982,0.75,0.6980000138282776,0.7050000429153442,0.6867519617472313,0.009493350982666016,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.4776623249053955,0.7497542500495911,2.8170516088721342e-05,0.7497143149375916,0.7497844696044922,0.5027291178703308,0.0009907962521538138,0.0010697745019569993,0.04867899445092912,-0.016054994086235275,0.06128518597825735,-0.03466419361638959,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:4,0,4,20,0.7280000448226929,0.7240000367164612,0.7090174868829167,0.75,0.6960000395774841,0.6850000619888306,0.6627744374910067,0.015389800071716309,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,3.106172800064087,0.7498310804367065,0.0001232306385645643,0.7496718168258667,0.7499586343765259,0.5701709389686584,0.0007965653203427792,0.0011494439095258713,-0.048765998463522954,-0.028366807101175073,0.008894272023429385,-0.0869401436480891,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:5,0,5,-1,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.75,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.0067424774169921875,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3368144035339355,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:6,0,6,-1,0.718000054359436,0.6970000267028809,0.6771366980693064,0.75,0.718000054359436,0.6970000267028809,0.6771366980693064,0.006781816482543945,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.4703123569488525,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:7,0,7,-1,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.75,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.012313604354858398,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.404062032699585,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:8,0,8,-1,0.6980000138282776,0.687000036239624,0.6677240448133566,0.75,0.6980000138282776,0.687000036239624,0.6676673351939816,0.005573391914367676,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.388885259628296,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:9,0,9,-1,0.706000030040741,0.690000057220459,0.670887593107613,1.0,0.706000030040741,0.6910000443458557,0.6715832504643721,0.04955589771270752,202443,25348,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.418074131011963,0.9995000958442688,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
