dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:0,0,0,51,0.7160000205039978,0.6800000071525574,0.6683113442021472,0.75,0.6940000057220459,0.6710000038146973,0.6614026367274272,0.011388182640075684,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,5.247445344924927,0.7497363090515137,0.0002795309410430491,0.7491816878318787,0.7500177025794983,0.5805820822715759,0.0008788574486970901,0.0018732590833678842,-0.013617275686111097,0.005705715575175922,-0.010750093646045462,-0.009172852119291862,0.8119679492978997
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:1,0,1,-1,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.75,0.7000000476837158,0.6940000057220459,0.6822242138957179,0.005598545074462891,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.415179491043091,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:2,0,2,32,0.7080000042915344,0.7010000348091125,0.6723459400097512,1.0,0.6940000057220459,0.6810000538825989,0.6722098036701866,0.07946205139160156,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.1644155979156494,0.999563992023468,9.271987073589116e-05,0.999417245388031,0.999734103679657,0.5255715847015381,0.0009094731649383903,0.001110121258534491,0.003084485703785696,-0.021559638523943228,0.010316597514047041,-0.00924760927930779,-0.18579654194808082
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:3,0,3,1,0.7100000381469727,0.7050000429153442,0.680529954655982,0.75,0.6980000138282776,0.7050000429153442,0.6867519617472313,0.009493827819824219,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.206021547317505,0.7497522234916687,3.125954754068516e-05,0.7497143149375916,0.7497909665107727,0.5018601417541504,0.0009945613564923406,0.0010697360849007964,-0.01283549392033944,0.02908613503577818,-0.013372680757335368,0.026751334245173012,0.7289176611883543
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:4,0,4,20,0.7280000448226929,0.7240000367164612,0.7090174868829167,0.75,0.6960000395774841,0.6850000619888306,0.6627744374910067,0.015389323234558105,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.965061664581299,0.7498142719268799,9.007701009977609e-05,0.749682605266571,0.7499340176582336,0.5458636283874512,0.0008525497978553176,0.00112894584890455,0.022183789819104925,-0.01462382772938441,0.014240838512299464,0.011243010665748171,-0.05731653826463289
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:5,0,5,-1,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.75,0.7220000624656677,0.6780000329017639,0.6638151433438585,0.006742238998413086,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.237499475479126,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:6,0,6,-1,0.718000054359436,0.6970000267028809,0.6771366980693064,0.75,0.718000054359436,0.6970000267028809,0.6771366980693064,0.006781816482543945,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,1.772432804107666,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:7,0,7,-1,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.75,0.6980000138282776,0.6710000038146973,0.6558558185286297,0.012313604354858398,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,1.1250214576721191,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:8,0,8,-1,0.6980000138282776,0.687000036239624,0.6677240448133566,0.75,0.6980000138282776,0.687000036239624,0.6676673351939816,0.005573153495788574,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.3780953884124756,0.7497499585151672,0.0,0.749750018119812,0.749750018119812,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
Cora,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:9,0,9,-1,0.706000030040741,0.690000057220459,0.670887593107613,1.0,0.706000030040741,0.6910000443458557,0.6715832504643721,0.04955613613128662,202443,26372,167495,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,2.439061403274536,0.9995000958442688,0.0,0.999500036239624,0.999500036239624,0.5,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,nan,nan
