dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:0,0,0,-1,0.7460000514984131,0.7500000596046448,0.7559387893146875,1.0,0.7460000514984131,0.7500000596046448,0.7559387893146875,0.008956432342529297,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.041104793548584,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:1,0,1,-1,0.7280000448226929,0.7330000400543213,0.732449787867056,0.75,0.7280000448226929,0.7330000400543213,0.732449787867056,0.0012422800064086914,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.184502601623535,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:2,0,2,-1,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.75,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.003749459981918335,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.2006406784057617,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:3,0,3,-1,0.7460000514984131,0.7440000176429749,0.746963931547549,1.0,0.7460000514984131,0.7440000176429749,0.746963931547549,0.01790463924407959,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.2326462268829346,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:4,0,4,28,0.734000027179718,0.7140000462532043,0.7190188757234082,0.75,0.7300000190734863,0.7150000333786011,0.7198294979209621,0.0015285015106201172,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.216994047164917,0.7449033856391907,0.019393902271986008,0.6750007271766663,0.7532489895820618,0.7603128552436829,0.015214516781270504,0.09999901056289673,-0.10633316793489055,-0.11753344456157373,-0.1421716085080698,-0.19288658781831894,-0.21550322132812677
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:5,0,5,-1,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.75,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.0067967697978019714,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.2326407432556152,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:6,0,6,-1,0.7520000338554382,0.7320000529289246,0.736614336940613,1.0,0.7520000338554382,0.7320000529289246,0.736614336940613,0.0064144134521484375,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1966190338134766,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:7,0,7,-1,0.7380000352859497,0.7050000429153442,0.7059890109890109,1.0,0.7380000352859497,0.7050000429153442,0.7059890109890109,0.01578700542449951,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1889750957489014,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:8,0,8,32,0.7480000257492065,0.718000054359436,0.7246048571291546,0.75,0.7380000352859497,0.7190000414848328,0.7275294560407829,0.0023366212844848633,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.2925407886505127,0.7596250772476196,0.033177778124809265,0.6750946640968323,0.7749952673912048,0.8549790978431702,0.09648001194000244,0.09998855739831924,-0.19975829138933307,-0.08193518996525578,-0.18789621269089887,0.020484775669188025,-0.11074477661483581
Pubmed,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:9,0,9,59,0.7400000095367432,0.7470000386238098,0.7483157462779069,1.0,0.734000027179718,0.7460000514984131,0.7455482034964388,0.014341771602630615,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,4.178875923156738,0.9397156238555908,0.0432906337082386,0.8999999761581421,1.0,0.19327032566070557,0.06031828001141548,0.10000000149011612,0.3989188148026976,0.6466861194301317,0.36789193017552585,0.34391889963538935,0.5861249370541408
