dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:0,0,0,-1,0.7460000514984131,0.7500000596046448,0.7559387893146875,1.0,0.7460000514984131,0.7500000596046448,0.7559387893146875,0.008956372737884521,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.9430062770843506,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:1,0,1,-1,0.7280000448226929,0.7330000400543213,0.732449787867056,0.75,0.7280000448226929,0.7330000400543213,0.732449787867056,0.0012421607971191406,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.05245041847229,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:2,0,2,-1,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.75,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.0037495791912078857,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1645009517669678,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:3,0,3,-1,0.7460000514984131,0.7440000176429749,0.746963931547549,1.0,0.7460000514984131,0.7440000176429749,0.746963931547549,0.01790463924407959,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1288583278656006,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:4,0,4,21,0.734000027179718,0.7150000333786011,0.7198294979209621,0.75,0.7300000190734863,0.7150000333786011,0.7198294979209621,0.0015285015106201172,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.888399124145508,0.7434636950492859,0.018191149458289146,0.6835386157035828,0.7500383853912354,0.6996575593948364,0.009093238040804863,0.08872491866350174,0.05157764556961707,-0.017140850699593105,0.011852569589991507,-0.095343639648283,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:5,0,5,-1,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.75,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.006796777248382568,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1684935092926025,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:6,0,6,-1,0.7520000338554382,0.7320000529289246,0.736614336940613,1.0,0.7520000338554382,0.7320000529289246,0.736614336940613,0.0064144134521484375,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1121506690979004,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:7,0,7,-1,0.7380000352859497,0.7050000429153442,0.7059890109890109,1.0,0.7380000352859497,0.7050000429153442,0.7059890109890109,0.015787243843078613,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.11173677444458,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:8,0,8,42,0.7480000257492065,0.718000054359436,0.7246227213466959,0.75,0.7380000352859497,0.7190000414848328,0.7275294560407829,0.0023365020751953125,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.5004260540008545,0.7585901021957397,0.034978050738573074,0.6750022768974304,0.7749913334846497,0.836020827293396,0.0999482050538063,0.09999781101942062,-0.2132880447731059,-0.07141302966065873,-0.18803924693687013,0.0023703195327745854,nan
Pubmed,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:9,0,9,-1,0.734000027179718,0.7460000514984131,0.7455482034964388,1.0,0.734000027179718,0.7460000514984131,0.7455482034964388,0.01434171199798584,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.124511241912842,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
