dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:0,0,0,-1,0.7460000514984131,0.7500000596046448,0.7559387893146875,1.0,0.7460000514984131,0.7500000596046448,0.7559387893146875,0.00895625352859497,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.0500540733337402,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:1,0,1,-1,0.7280000448226929,0.7330000400543213,0.732449787867056,0.75,0.7280000448226929,0.7330000400543213,0.732449787867056,0.0012423992156982422,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.156269073486328,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:2,0,2,-1,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.75,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.0037496238946914673,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.135483741760254,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:3,0,3,-1,0.7460000514984131,0.7440000176429749,0.746963931547549,1.0,0.7460000514984131,0.7440000176429749,0.746963931547549,0.01790463924407959,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.2141366004943848,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:4,0,4,17,0.7320000529289246,0.7150000333786011,0.7198294979209621,0.75,0.7300000190734863,0.7150000333786011,0.7198294979209621,0.001528620719909668,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.8031821250915527,0.7462119460105896,0.00658430065959692,0.7310931086540222,0.7500218152999878,0.6617682576179504,0.005446481518447399,0.026026321575045586,-0.7812414175170871,-0.41059609832942995,-0.7889399076086088,-0.4136495922415884,-0.7763576454843939
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:5,0,5,-1,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.75,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.00679672509431839,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1646218299865723,0.7497501373291016,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:6,0,6,-1,0.7520000338554382,0.7320000529289246,0.736614336940613,1.0,0.7520000338554382,0.7320000529289246,0.736614336940613,0.006414473056793213,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.1205403804779053,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:7,0,7,-1,0.7380000352859497,0.7050000429153442,0.7059890109890109,1.0,0.7380000352859497,0.7050000429153442,0.7059890109890109,0.015787243843078613,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.180068254470825,0.9995002746582031,0.0,0.999500036239624,0.999500036239624,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:8,0,8,45,0.7440000176429749,0.718000054359436,0.724592498188536,0.75,0.7380000352859497,0.7190000414848328,0.7275294560407829,0.0023366212844848633,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,3.6957216262817383,0.7713398337364197,0.0177500918507576,0.6752517819404602,0.7749993205070496,0.9634110927581787,0.09997369349002838,0.09999729692935944,-0.1815056355152058,-0.13889140995747407,-0.17328140701660288,-0.6304154599276663,-0.5197770558518641
Pubmed,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:9,0,9,16,0.7360000610351562,0.7450000643730164,0.7450907507869533,1.0,0.734000027179718,0.7460000514984131,0.7455482034964388,0.014341771602630615,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.6999495029449463,0.9773532152175903,0.021817801520228386,0.9405062198638916,0.999998152256012,0.21687127649784088,0.023178821429610252,0.059830453246831894,-0.828892298948115,0.1356201815966033,-0.858477654525883,-0.5699263835726645,-0.7577896997439204
