dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,0:0,0,0,180,0.8400706052780151,0.8295093178749084,0.7795404593776536,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178524971008301,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.611035585403442,0.7455909848213196,0.02598472684621811,0.6750001907348633,0.7749999761581421,0.7285600304603577,0.031172530725598335,0.09999997913837433,0.7077175786810613,-0.14718766084461712,0.5399150749031111,0.20174235904018195,0.43710607537878704
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,1:0,1,0,192,0.8409532308578491,0.8395693302154541,0.7970464377308222,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154637336730957,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.72948145866394,0.7446825504302979,0.027407824993133545,0.6750001907348633,0.7749999761581421,0.6974319815635681,0.03600102663040161,0.10000000149011612,0.7049132180765195,-0.20292993744265644,0.5907491972471746,0.1919505335060499,0.42370258026231394
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,2:0,2,0,196,0.8351279497146606,0.8367455005645752,0.7917651782041787,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304593801498413,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.733414649963379,0.7433640360832214,0.026797570288181305,0.6750000715255737,0.774999737739563,0.6067885756492615,0.033030178397893906,0.09999990463256836,0.7057578465741494,-0.22267681363459388,0.6145155974677265,0.27104537634974274,0.47507202820452177
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,3:0,3,0,196,0.8444836735725403,0.8404517769813538,0.7985973038769719,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963888645172119,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.7134034633636475,0.745201051235199,0.0246562622487545,0.6750000715255737,0.7749991416931152,0.7030624747276306,0.026998870074748993,0.09999991953372955,0.7014573305322075,-0.15224327734865212,0.5289670714040068,0.20641546817059614,0.4340114325847123
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,4:0,4,0,170,0.8398940563201904,0.8296858072280884,0.77863751097905,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028592586517333984,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.741456747055054,0.7449907064437866,0.02492540329694748,0.675000011920929,0.7749995589256287,0.6316543221473694,0.02877393178641796,0.09999996423721313,0.7003877607959754,-0.14855257927587082,0.5253014558043363,0.222029496859038,0.44425070228509467
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,5:0,5,0,198,0.8381288647651672,0.8438051342964172,0.7956897567136435,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.7013328075408936,0.7443552613258362,0.026536524295806885,0.6749999523162842,0.7749999761581421,0.8032950162887573,0.02775498852133751,0.10000000149011612,0.6939477659560335,-0.19794070318157803,0.5541885644397282,0.23400872590653915,0.4409228443330487
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,6:0,6,0,199,0.8386583924293518,0.8374514579772949,0.7936815617863884,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412675857543945,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.761515140533447,0.7434753179550171,0.026111159473657608,0.6750002503395081,0.7749963998794556,0.7849376797676086,0.026489727199077606,0.09999966621398926,0.7144561588037626,-0.13083046558206501,0.5906997868037772,0.2487016633298771,0.48709703988616165
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,7:0,7,0,168,0.834774911403656,0.8310977816581726,0.7892291221397117,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.03100728988647461,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.729398250579834,0.7448987364768982,0.025073174387216568,0.675000011920929,0.7749999761581421,0.5325542092323303,0.027156326919794083,0.10000000149011612,0.6880948450341872,-0.13342526897879667,0.5798401216596243,0.2106036381147711,0.4502968311602752
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,8:0,8,0,188,0.8427184224128723,0.8321567177772522,0.7893143483153677,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.735008478164673,0.497735857963562,0.02955119125545025,0.44999998807907104,0.5499820709228516,0.5002063512802124,0.046260010451078415,0.10000000149011612,0.6962686624570087,-0.03961923093195545,0.559461501159649,0.16648507426979192,0.44928516191728
Roman-empire,hidden_mixing_finetune_combined,hidden_mixing_finetune,combined,undirected,9:0,9,0,192,0.8423653841018677,0.8339216113090515,0.7881011785738621,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753806114196777,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.6998841762542725,0.971650242805481,0.03969109430909157,0.8999999761581421,1.0,0.2026776224374771,0.028468219563364983,0.10000000149011612,0.7426604561963669,0.03545163083402658,0.6730461905654316,0.3207648760107411,0.6157858485103499
