dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,0:0,0,0,178,0.8349514603614807,0.8229791522026062,0.7714302087582452,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178524971008301,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.536188840866089,0.749771773815155,0.0006557134911417961,0.7414872646331787,0.7500509023666382,0.7357699871063232,0.0008378630154766142,0.013310498557984829,-0.16971939035824368,-0.09188775100059594,-0.14259253279109085,-0.14669097156660704,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,1:0,1,0,167,0.8342453241348267,0.8303917646408081,0.7829612206208227,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154756546020508,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.6813037395477295,0.7503427863121033,0.0009451550431549549,0.7496650218963623,0.7566972970962524,0.8592677116394043,0.0022891766857355833,0.02697327733039856,-0.07991368939410126,-0.0013747585430734237,-0.017293260056729196,-0.1065764118691169,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,2:0,2,0,197,0.8289496898651123,0.8259795308113098,0.7793403151697113,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304617643356323,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.7933948040008545,0.7495187520980835,0.0013000682229176164,0.7426214218139648,0.7501740455627441,0.7030690908432007,0.0015664426609873772,0.011323138140141964,-0.009381169503437457,-0.01303578768416945,0.1350521398333914,0.06567893752841546,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,3:0,3,0,129,0.833892285823822,0.8226261734962463,0.7757060412144263,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963888645172119,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.373455047607422,0.7499481439590454,0.00022476074809674174,0.749402642250061,0.7501692771911621,0.7318337559700012,0.0008988375775516033,0.0016285274177789688,-0.016601792521611206,-0.024204878633597986,0.04511187089826705,-0.03784855664734567,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,4:0,4,0,190,0.8331862092018127,0.8277444243431091,0.7766886977984987,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.02859354019165039,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.640395402908325,0.7494711875915527,0.002089745132252574,0.7309426665306091,0.7506324648857117,0.6482229828834534,0.0027273339219391346,0.02555733732879162,-0.18145713495622365,-0.051743394380157244,-0.11690982337250658,-0.08753583591188004,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,5:0,5,0,164,0.8303618431091309,0.8356865048408508,0.7843167804667714,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.709280490875244,0.7484839558601379,0.0025736461393535137,0.7385856509208679,0.7500067949295044,0.6228792667388916,0.002556559629738331,0.016467804089188576,0.03309741601110846,-0.03310640733086432,0.17227050624491594,0.09572310687643286,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412580490112305,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.1853060722351074,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,7:0,7,0,72,0.8245366215705872,0.8215672373771667,0.7697459076296354,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006813049316406,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.5253705978393555,0.7498724460601807,0.00012543013144750148,0.7497377991676331,0.7499983310699463,0.621184229850769,0.0006763771525584161,0.0010238038375973701,-0.13171880951440357,-0.12215350441456922,-0.06771075564985855,0.08686489163100529,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,5.7220458984375e-06,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.2093207836151123,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_combined_constant,hidden_mixing_finetune,combined_constant,undirected,9:0,9,0,88,0.827360987663269,0.8143310546875,0.764187860417787,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753806114196777,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.085368394851685,0.9503452181816101,0.04965941235423088,0.9000546932220459,1.0,0.49982935190200806,0.04965505003929138,0.09994532912969589,0.17218542238783247,-0.17583595669288377,0.2420855893586825,0.2561019955988412,nan
