dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,0:0,0,0,178,0.833892285823822,0.8215672373771667,0.7681946947374922,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.031785011291503906,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.43243932723999,0.7485448718070984,0.0069120172411203384,0.6767908930778503,0.7548675537109375,0.606489896774292,0.004632401745766401,0.09761225432157516,-0.1496860820121394,0.008207492343011194,-0.1324001908311119,-0.10498720571098903,-0.21024792920111546
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,1:0,1,0,189,0.8351279497146606,0.8293328285217285,0.7769053562022684,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615487575531006,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.633104085922241,0.7532771825790405,0.004268018063157797,0.7472619414329529,0.7747842669487,0.831898033618927,0.014540308155119419,0.09913861006498337,-0.07725898327018797,-0.02737832599017877,-0.0064122301082782255,-0.011636340629248766,-0.1845876787481757
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,2:0,2,0,196,0.8289496898651123,0.8236851096153259,0.7776561445793045,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304629564285278,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.71710467338562,0.7494149804115295,0.005885331891477108,0.6793639659881592,0.7530374526977539,0.7555354237556458,0.005741798784583807,0.09418579190969467,0.013444933310192546,-0.036160052517239055,0.030387986596774077,-0.026046606028401337,-0.26399624870353694
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,3:0,3,0,178,0.8342453241348267,0.8245675563812256,0.7758016094553429,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639124870300293,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.6765735149383545,0.749748170375824,0.004106747917830944,0.6810842156410217,0.7531956434249878,0.7531898021697998,0.004151929635554552,0.09188868850469589,-0.006968955495407958,0.012109582734077404,0.012458194692605378,-0.03578702840526772,-0.07215706216391482
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,4:0,4,0,193,0.8328331708908081,0.8240380883216858,0.7714131711146524,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028594017028808594,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.665106534957886,0.7479844093322754,0.008213506080210209,0.6753916144371033,0.7549132108688354,0.5939411520957947,0.008447559550404549,0.09947822988033295,-0.032505835532610605,-0.08189100705929628,0.0026723428176226747,-0.008986969875323268,-0.08672389851446664
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,5:0,5,0,162,0.8321270942687988,0.8339216113090515,0.7803818938078702,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.661178112030029,0.7487367987632751,0.003239553654566407,0.7042876482009888,0.750005304813385,0.6562546491622925,0.0019678152166306973,0.061002910137176514,-0.09591504513218069,0.03232732432245479,-0.036189456719573326,-0.05338677147564185,-0.2595560323014395
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.188995599746704,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,7:0,7,0,151,0.8259487748146057,0.8233321309089661,0.7762553879172422,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006336212158203,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.689147710800171,0.7493289709091187,0.0026593832299113274,0.696713387966156,0.7500218152999878,0.6781415343284607,0.0013263743603602052,0.07132727652788162,-0.17689008410181098,-0.045771143310879656,-0.10234515612821439,0.018090002645021003,-0.15669818140255345
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,6.67572021484375e-06,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.1810495853424072,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_combined_shuffled,hidden_mixing_finetune,combined_shuffled,undirected,9:0,9,0,172,0.8291261792182922,0.8182138800621033,0.7691307054235282,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753796577453613,130646,34948,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.753140449523926,0.9503011703491211,0.04981011152267456,0.9000003337860107,1.0,0.4999794065952301,0.049699343740940094,0.09999968111515045,0.03570355120047404,-0.023327396838802264,0.039496249286820155,0.04013975788291297,-0.026876031207042204
