dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,0:0,0,0,178,0.8342453241348267,0.8228026628494263,0.7703219992589864,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178524971008301,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.466105937957764,0.7499166131019592,0.00015698614879511297,0.7497595548629761,0.7500734925270081,0.7312942743301392,0.0006652956362813711,0.0009779686806723475,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,1:0,1,0,178,0.8349514603614807,0.8328626751899719,0.7833329622958625,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154756546020508,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.64037013053894,0.7499086856842041,0.00016027888341341168,0.7497484087944031,0.7500689625740051,0.7107844352722168,0.0007016180898062885,0.0010030962293967605,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,2:0,2,0,197,0.8291261792182922,0.8250970244407654,0.7794368083205843,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304623603820801,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.589886903762817,0.7500234842300415,0.00026733471895568073,0.7497562766075134,0.7502909898757935,0.7294020652770996,0.0011870214948430657,0.0013971992302685976,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,3:0,3,0,129,0.8340688347816467,0.8219202160835266,0.7745655290427855,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963864803314209,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.227531671524048,0.7499245405197144,0.00017313742137048393,0.7497515082359314,0.7500978112220764,0.7315784692764282,0.0007285137544386089,0.0009966077050194144,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,4:0,4,0,190,0.8331862092018127,0.8250970244407654,0.7737423077588598,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.6943135261535645,0.7506365776062012,0.0008863757248036563,0.7497503161430359,0.7515230774879456,0.7491957545280457,0.0035671661607921124,0.006134955212473869,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,5:0,5,0,163,0.8307148814201355,0.8332156538963318,0.7824536221115231,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043865203857422,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.699348211288452,0.7498977780342102,0.00014971951895859092,0.7497477531433105,0.7500471472740173,0.7449683547019958,0.0006001187721267343,0.0010044622467830777,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,6:0,6,0,199,0.8319505453109741,0.8296858072280884,0.7817342859166339,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.596792221069336,0.7500629425048828,0.00028820702573284507,0.749774694442749,0.750351071357727,0.7373479008674622,0.0012945083435624838,0.0016451062401756644,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,7:0,7,0,72,0.8240070343017578,0.8220967054367065,0.7721913869079328,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006336212158203,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.144851922988892,0.7498307228088379,1.674568011367228e-05,0.749813973903656,0.749847412109375,0.5457194447517395,0.0008267661323770881,0.0008672475814819336,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.660691022872925,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_constant_reliability,hidden_mixing_finetune,constant_reliability,undirected,9:0,9,0,191,0.8308914303779602,0.820861279964447,0.7719585045910736,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753796577453613,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.956979751586914,0.9495905041694641,0.049564655870199203,0.9000255465507507,0.999154806137085,0.18300959467887878,0.05065382644534111,0.09997447580099106,nan,nan,nan,nan,nan
