dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,0:0,0,0,178,0.8328331708908081,0.8215672373771667,0.7692978917817457,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178548812866211,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.3041112422943115,0.7499520182609558,0.00013503061200026423,0.7495425343513489,0.7500598430633545,0.7564762234687805,0.0005794031894765794,0.0013812892138957977,-0.23934320328820996,-0.109893294368293,-0.13601998790821504,-0.06639059269792236,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,1:0,1,0,186,0.833892285823822,0.8302152752876282,0.7806980951638347,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615499496459961,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.509334087371826,0.7493900060653687,0.002283572219312191,0.7347354888916016,0.7503529787063599,0.8192077875137329,0.0014509089523926377,0.020982451736927032,0.05591368938620628,-0.003710787411290546,0.21495468406672202,0.10569868156097328,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,2:0,2,0,195,0.8289496898651123,0.8245675563812256,0.7780124931841549,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304611682891846,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.557495832443237,0.7486986517906189,0.005521352402865887,0.6889234781265259,0.7500708699226379,0.6966641545295715,0.0022617338690906763,0.08144621551036835,0.03968971737208773,-0.010096741002019268,0.08813384764140722,-0.027659545342992746,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,3:0,3,0,189,0.834774911403656,0.8247440457344055,0.7815712410002463,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639601707458496,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.561168432235718,0.7492831349372864,0.003465538378804922,0.7189515829086304,0.7507290840148926,0.6909067034721375,0.003155000042170286,0.04141028970479965,0.018700310740709564,0.005402803245752977,0.10019558387514696,-0.006415712692436581,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,4:0,4,0,170,0.8324801325798035,0.8254500031471252,0.7750298923878843,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.513516187667847,0.7485157251358032,0.0046377284452319145,0.7122186422348022,0.7501545548439026,0.6831632256507874,0.002664525993168354,0.05039964243769646,-0.06684095051335169,-0.051045574456664834,-0.04490718219055908,-0.04256777294106983,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,5:0,5,0,183,0.8308914303779602,0.8356865048408508,0.7855608671179122,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.613433599472046,0.7458052039146423,0.010793227702379227,0.6966958045959473,0.7500414848327637,0.6086830496788025,0.00604504719376564,0.0711890235543251,0.1896500742150807,-0.038406104884011805,0.2885185613661927,0.1553968728820502,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,6:0,6,0,199,0.8324801325798035,0.8296858072280884,0.782574502493468,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412580490112305,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.609541893005371,0.7501489520072937,0.0007750523509457707,0.7462237477302551,0.7507159113883972,0.8256813287734985,0.0021051065996289253,0.005990314297378063,0.04590057824204539,-0.015353213749516266,0.17442117937010032,0.07773180548352762,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,7:0,7,0,151,0.8259487748146057,0.8238615989685059,0.776661931225266,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.597964286804199,0.7476887106895447,0.006386883091181517,0.7000858783721924,0.750023365020752,0.6247692704200745,0.0034672606270760298,0.06661181896924973,-0.22871642505691334,-0.08799780632489163,-0.10823075367536156,-0.010640183473801731,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,5.7220458984375e-06,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.212932825088501,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_feature_only,hidden_mixing_finetune,feature_only,undirected,9:0,9,0,170,0.8291261792182922,0.8166254758834839,0.7686092147446447,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753796577453613,130646,25348,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.537524223327637,0.9500041604042053,0.049947481602430344,0.9000000357627869,0.9999576210975647,0.3965776264667511,0.0500885508954525,0.09999995678663254,0.09996473713144222,-0.1004976103487068,0.13219587704720737,0.12526857144472422,nan
