dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,0:0,0,0,-1,0.8247131109237671,0.816448986530304,0.7619091228836823,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,3.814697265625e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.291285753250122,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,1:0,1,0,199,0.8344218730926514,0.8319802284240723,0.7859538757328094,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,4.76837158203125e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.349026441574097,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,2:0,2,0,57,0.8264783620834351,0.8205082416534424,0.7703546609110266,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,4.76837158203125e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.477100849151611,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,3:0,3,0,197,0.833892285823822,0.823508620262146,0.7779196375427729,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,3.814697265625e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.425137281417847,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,4:0,4,0,185,0.8342453241348267,0.8289798498153687,0.7779162099659285,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,3.814697265625e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.3571600914001465,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,5:0,5,0,165,0.8319505453109741,0.8367455005645752,0.7864563388208483,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,4.76837158203125e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.42918062210083,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,6:0,6,0,81,0.8307148814201355,0.8231556415557861,0.7702294896016463,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,4.76837158203125e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.365215301513672,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,7:0,7,0,126,0.8271844387054443,0.8238615989685059,0.775925167831836,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,4.76837158203125e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.913327217102051,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,5.7220458984375e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.273151159286499,0.5,0.0,0.5,0.5,0.5,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_fixed,hidden_mixing_finetune,fixed,undirected,9:0,9,0,86,0.8264783620834351,0.8095657825469971,0.7558364926740972,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,3.814697265625e-06,95698,0,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.209510564804077,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
