dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,0:0,0,0,191,0.8395410180091858,0.8286268711090088,0.779293598448921,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.0317842960357666,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.511332988739014,0.7415907979011536,0.027739576995372772,0.6751219630241394,0.774996280670166,0.4014785587787628,0.03353079780936241,0.09998521953821182,0.7517202180586369,-0.16698175942102406,0.5932648748672498,0.23693027144133524,0.48032129488008873
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,1:0,1,0,182,0.8402470946311951,0.8340981006622314,0.7892521744745239,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615487575531006,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.629058122634888,0.7436593770980835,0.02763025462627411,0.6750674247741699,0.7749950885772705,0.5492337942123413,0.036067936569452286,0.09998020529747009,0.7334811802754343,-0.1270128526808573,0.5787309780638109,0.16313626777032475,0.4354765216862292
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,2:0,2,0,193,0.8344218730926514,0.8318037390708923,0.784727607081703,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304635524749756,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.729386329650879,0.7408143877983093,0.027288740500807762,0.6751143932342529,0.774998128414154,0.3565501570701599,0.03264005109667778,0.09999251365661621,0.728867682689672,-0.22386589006935842,0.6066964936873471,0.27952972848452096,0.4858517331967602
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,3:0,3,0,197,0.8418357968330383,0.837274968624115,0.793162582530035,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639124870300293,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.633285045623779,0.7419841289520264,0.028021354228258133,0.6750466823577881,0.7749855518341064,0.5497879385948181,0.03432012349367142,0.09994228184223175,0.7828645141483025,-0.1391606522130849,0.6195794907228497,0.2150578189254888,0.49095205772587247
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,4:0,4,0,190,0.8383053541183472,0.830744743347168,0.7794952133194765,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.02859354019165039,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.625434875488281,0.7440889477729797,0.02540970779955387,0.6751323938369751,0.7749976515769958,0.6724344491958618,0.027518119663000107,0.09999065846204758,0.725731808208101,-0.170191005387823,0.5597148948450137,0.24481741836665946,0.46837028576597306
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,5:0,5,0,196,0.8368932008743286,0.8420402407646179,0.7955479298611974,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.040439605712890625,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.6894001960754395,0.7425676584243774,0.026921605691313744,0.675020694732666,0.7749990224838257,0.7336229681968689,0.028373150154948235,0.09999597072601318,0.7442262540433896,-0.22113424212857777,0.5765620451035546,0.25121809862744954,0.4660804731679455
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,6:0,6,0,157,0.8393645286560059,0.8355100154876709,0.7891545407235048,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.569390535354614,0.7414708137512207,0.027612796053290367,0.6752785444259644,0.7749963998794556,0.576887845993042,0.031979046761989594,0.09998565912246704,0.7531046906332098,-0.20372842348885484,0.6247880523427198,0.2400271676828896,0.4783303471821623
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,7:0,7,0,189,0.8351279497146606,0.8302152752876282,0.7867491574512147,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.601436614990234,0.7419623136520386,0.026492798700928688,0.6750558614730835,0.7749990820884705,0.5560662746429443,0.03006652370095253,0.09999630600214005,0.766128980603614,-0.1546160516175555,0.6010414561668016,0.24467415347072333,0.49578378260469813
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,8:0,8,0,107,0.8386583924293518,0.8293328285217285,0.7845709885259238,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.653444290161133,0.49871310591697693,0.02689201757311821,0.4500117599964142,0.5499189496040344,0.5568201541900635,0.037163037806749344,0.0999765694141388,0.7950785835473186,-0.12397543886198385,0.6277044123700661,0.11933628259250316,0.4387810601453018
Roman-empire,hidden_mixing_finetune_reliability_only,hidden_mixing_finetune,reliability_only,undirected,9:0,9,0,197,0.8425419330596924,0.835157036781311,0.7896142772146315,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753796577453613,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.669527769088745,0.9746755957603455,0.038617365062236786,0.9001253247261047,1.0,0.19752484560012817,0.025458471849560738,0.09987466782331467,0.7902235765943454,0.042662664308743686,0.6746895490533301,0.2566424007248108,0.5916242013992961
