dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,0:0,0,0,-1,0.8243600726127625,0.816448986530304,0.7619091228836823,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178572654724121,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.0002646446228027,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,1:0,1,0,186,0.8342453241348267,0.8298622965812683,0.7798554733569938,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615523338317871,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.621114492416382,0.7514351010322571,0.0026914605405181646,0.7497485876083374,0.760129988193512,0.6931531429290771,0.007095221430063248,0.04061364755034447,0.008484720709412627,0.008603491505637016,0.007718777637265024,-0.002043232273902437,0.1397324819630318
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,2:0,2,0,196,0.8289496898651123,0.8245675563812256,0.7782905912707836,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304647445678711,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.536905765533447,0.7495288252830505,0.005303644575178623,0.6976156234741211,0.7541622519493103,0.7637520432472229,0.006436830852180719,0.06987056136131287,0.001364038505117798,-0.008792307582719039,0.009880689566744937,0.0015138123057341964,-0.2279705330748421
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,3:0,3,0,187,0.8349514603614807,0.8240380883216858,0.7759275297675607,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963864803314209,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.602800130844116,0.7497192025184631,0.0026104142889380455,0.7189438343048096,0.7514770030975342,0.7463909387588501,0.002904776716604829,0.04142668470740318,0.008748686728972336,0.007204243029841839,0.012609222858918403,-0.0021929585939443517,0.07015803532753014
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,4:0,4,0,190,0.8321270942687988,0.8279209136962891,0.7756479361019151,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.602957725524902,0.7504850625991821,0.0026570186018943787,0.6972849369049072,0.755973756313324,0.7103071212768555,0.004540309309959412,0.07033468782901764,0.007498983919823656,-0.019065825473062077,0.009873328814030002,0.007123974671012122,0.08094498588114901
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,5:0,5,0,196,0.8314209580421448,0.8388633728027344,0.789560132885138,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.040438175201416016,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.597158908843994,0.7488237619400024,0.0031366064213216305,0.7160216569900513,0.7500203847885132,0.6512019038200378,0.00184626632835716,0.045337460935115814,0.007841094256368137,0.005571021511542225,-0.0009369508214032219,9.343720313470415e-05,-0.13747496921042096
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.034125328063964844,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.1651575565338135,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,7:0,7,0,188,0.8263018131256104,0.8265089988708496,0.7813138753670912,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006336212158203,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.6452414989471436,0.7498136758804321,0.002535833977162838,0.733673632144928,0.7521647214889526,0.6165907979011536,0.0038451801519840956,0.02186918817460537,-0.008934952796908598,-0.004357873515892116,-0.008869389110706926,-0.0009233787743556242,-0.6564300363956086
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.1694064140319824,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_shuffled_reliability,hidden_mixing_finetune,shuffled_reliability,undirected,9:0,9,0,192,0.8289496898651123,0.8171549439430237,0.7673236613636525,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753806114196777,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.5793657302856445,0.9855004549026489,0.014043805189430714,0.9653530120849609,0.9999510645866394,0.22925885021686554,0.014760340563952923,0.03464711084961891,0.004970217229122932,-0.0030472645284460066,0.0017022161929430954,0.0031548735632273514,-0.024769639708970986
