dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,0:0,0,0,178,0.8342453241348267,0.8222731947898865,0.7694707623120218,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178524971008301,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,8.229947805404663,0.7499143481254578,0.0001583194825798273,0.7497560381889343,0.750072717666626,0.7297753095626831,0.0006682910607196391,0.0009854279924184084,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,1:0,1,0,167,0.833892285823822,0.8310977816581726,0.7840216109246123,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154756546020508,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.433526277542114,0.7498965859413147,0.00014827930135652423,0.7497482299804688,0.7500447630882263,0.7090663313865662,0.0006340363179333508,0.0010034694569185376,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,2:0,2,0,195,0.8289496898651123,0.8240380883216858,0.7799732743688086,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304581880569458,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.497173309326172,0.750058114528656,0.00022569728025700897,0.7498325109481812,0.7502838969230652,0.7499479651451111,0.0010937671177089214,0.0013761514564976096,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,3:0,3,0,188,0.8342453241348267,0.8268619775772095,0.7822761402833954,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639124870300293,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.493252992630005,0.7503540515899658,0.0005979120032861829,0.7497563362121582,0.7509521842002869,0.7486500144004822,0.002442763652652502,0.0038988280575722456,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,4:0,4,0,190,0.8335392475128174,0.8272149562835693,0.7756050064970081,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.453468322753906,0.7505279779434204,0.0007768982904963195,0.7497512698173523,0.7513050436973572,0.7492943406105042,0.00312962313182652,0.005261823534965515,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,5:0,5,0,162,0.8305383920669556,0.8332156538963318,0.7786023002547989,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.040439605712890625,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.489524602890015,0.7498983144760132,0.00015026306209620088,0.7497477531433105,0.7500482797622681,0.7447609901428223,0.0006025219336152077,0.0010044201044365764,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.2136054039001465,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,7:0,7,0,190,0.8255957365036011,0.8266854882240295,0.7814913876982283,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.561196804046631,0.749967098236084,5.939468610449694e-05,0.749907910823822,0.7500266432762146,0.7361263036727905,0.0004376780125312507,0.0006439536227844656,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.1807093620300293,0.5,0.0,0.5,0.5,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_finetune_zero_reliability,hidden_mixing_finetune,zero_reliability,undirected,9:0,9,0,97,0.8271844387054443,0.8148605227470398,0.7651631772625059,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753801345825195,130646,26372,95698,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.181194067001343,0.9503860473632812,0.049605973064899445,0.9007801413536072,0.9999921321868896,0.45611658692359924,0.049654770642519,0.0992199033498764,nan,nan,nan,nan,nan
