dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,0:0,0,0,171,0.8291261792182922,0.8171549439430237,0.7617526639549502,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178548812866211,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.544771671295166,0.7505021095275879,0.03155872970819473,0.675001323223114,0.7749999761581421,0.7363433241844177,0.07005839794874191,0.10000000149011612,0.2833755728393637,0.01776012549728604,0.18711865048579576,0.04338334604674878,0.16830819056446397
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,1:0,1,0,99,0.8317740559577942,0.8328626751899719,0.7783688220946865,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615487575531006,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.625425100326538,0.7459045052528381,0.030612217262387276,0.6761102676391602,0.7749999761581421,0.6597156524658203,0.07748299837112427,0.10000000149011612,0.23548721264345993,0.08728826910170344,0.2543650717738391,0.026095654912692612,0.17947569359284482
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,2:0,2,0,108,0.8250661492347717,0.8229791522026062,0.7721251616782032,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.043045639991760254,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.83750057220459,0.7511352300643921,0.02624063938856125,0.675864577293396,0.7749999761581421,0.6871431469917297,0.0634169727563858,0.10000000149011612,-0.010371044425286887,0.00278325533414696,0.03808210556105051,-0.00025196950260823547,0.0062284137831602115
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,3:0,3,0,51,0.827360987663269,0.8220967054367065,0.7772546206507338,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639005661010742,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.3534343242645264,0.7659517526626587,0.011073414236307144,0.7498706579208374,0.7749999761581421,0.9641436338424683,0.06413403898477554,0.10000000149011612,0.3710151947116083,-0.20303790213862571,0.2712703693233667,-0.2608418289225826,-0.05454196886631457
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,4:0,4,0,120,0.8314209580421448,0.8250970244407654,0.7743340305621405,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.16968035697937,0.7535198330879211,0.02200305461883545,0.6752246618270874,0.7749999761581421,0.6873772740364075,0.05676078051328659,0.10000000149011612,0.4954188714910784,0.07828034673153142,0.34955867616470904,0.1152500780870056,0.34044067970292896
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,5:0,5,0,74,0.8257722854614258,0.830744743347168,0.7811033854002437,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.9169137477874756,0.766111433506012,0.011419910006225109,0.7387887239456177,0.7749999761581421,0.862699031829834,0.06831322610378265,0.10000000149011612,-0.2267217387318316,0.12294700007626286,-0.1577428347686294,-0.5109014974372998,-0.4051525545774069
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,6:0,6,0,51,0.828420102596283,0.8245675563812256,0.7750876259338775,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412580490112305,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.3252575397491455,0.7605769634246826,0.010181891731917858,0.7497377991676331,0.7749990820884705,0.9411830306053162,0.04295143857598305,0.09999628365039825,0.6213873887059223,-0.0054398730102397114,0.45663651475437017,0.05653199667951278,0.34024582001486303
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,7:0,7,0,76,0.8231244087219238,0.8187433481216431,0.769087505327296,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.973405361175537,0.7598363757133484,0.024682246148586273,0.676874041557312,0.7749999761581421,0.835307776927948,0.0752348005771637,0.10000000149011612,0.049351685208877796,0.04834413922792394,0.12194007937356954,-0.015324925286072417,0.0494950205026458
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,8:0,8,0,46,0.8333627581596375,0.821037769317627,0.7751146873993373,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.241530656814575,0.5238709449768066,0.018867170438170433,0.4999241232872009,0.5499959588050842,0.9431269764900208,0.04801241680979729,0.09999187290668488,0.43963763206218287,0.1298241284685481,0.1978100858403724,-0.1536068149552527,0.1274421589890571
Roman-empire,hidden_mixing_frozen_combined,hidden_mixing_frozen,combined,undirected,9:0,9,0,172,0.8250661492347717,0.8069184422492981,0.7520322502144285,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753810882568359,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.657522439956665,0.9990987181663513,0.002927804598584771,0.9716716408729553,1.0,0.833161473274231,0.0010128585854545236,0.028665170073509216,0.026807551355753717,0.05299537817785783,0.1311847938756544,0.051867257301109276,0.09000984881326456
