dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,0:0,0,0,31,0.8252426981925964,0.8155665397644043,0.7600095359555543,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.031785011291503906,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.121610641479492,0.7570299506187439,0.008443226106464863,0.7484522461891174,0.768543541431427,0.6207172870635986,0.03185730427503586,0.07417496293783188,0.10274911460817675,-0.17890995120308692,0.23922597346683125,0.23629090151955276,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,1:0,1,0,93,0.826654851436615,0.8279209136962891,0.777170458720896,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615511417388916,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.3129799365997314,0.7500200867652893,0.024810992181301117,0.6845970153808594,0.7749999165534973,0.7333813905715942,0.06306430697441101,0.10000000149011612,-0.0014266834692592475,0.012759541895261883,0.13656804683237725,0.12428999830994772,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,2:0,2,0,81,0.8240070343017578,0.8201552629470825,0.7721286174034195,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.0430455207824707,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.937300682067871,0.7563608884811401,0.019840793684124947,0.6956589221954346,0.7749996185302734,0.8333078622817993,0.05764457583427429,0.09999991953372955,-0.16727420272713267,-0.028275595274187916,-0.08813551921177626,-0.015741767029808902,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,3:0,3,0,45,0.8255957365036011,0.8213907480239868,0.7760462994923066,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639840126037598,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.8361129760742188,0.7661424875259399,0.008857529610395432,0.7569643259048462,0.7749999761581421,0.999994695186615,0.06457122415304184,0.09999997913837433,-0.18685807050811004,-0.022432300826822786,-0.05822851147816526,0.056516549177072745,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,4:0,4,0,29,0.8240070343017578,0.8176844120025635,0.7642965658511899,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.02859354019165039,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.304248332977295,0.7532907128334045,0.0027017644606530666,0.7506749629974365,0.757713794708252,0.9953432679176331,0.013222415000200272,0.03086281195282936,0.10909444563282754,-0.17856099369406517,0.2368914367530461,0.21911015739453574,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,5:0,5,0,175,0.8254192471504211,0.8318037390708923,0.7824205996637723,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043769836425781,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.764815330505371,0.7625749111175537,0.022351395338773727,0.6867863535881042,0.7749999761581421,0.8758866190910339,0.07944419234991074,0.10000000149011612,-0.18357445977072606,0.053445045551627386,-0.0944617157189338,-0.05159669211895711,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,6:0,6,0,38,0.8282435536384583,0.8233321309089661,0.7725903619665779,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.554884910583496,0.7603968381881714,0.006557652726769447,0.7507386207580566,0.7742296457290649,0.9994977116584778,0.041612569242715836,0.0969187468290329,0.1142059799633257,0.14217927679203762,-0.012255161333603657,-0.1374802401592269,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,7:0,7,0,-1,0.8194174766540527,0.8159195184707642,0.7645749130730715,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006813049316406,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.216796875,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,8:0,8,0,35,0.8314209580421448,0.816448986530304,0.7660016381086191,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.465144157409668,0.5279243588447571,0.012792018242180347,0.5014750957489014,0.5492348074913025,0.9994412064552307,0.05586179345846176,0.09846962988376617,0.08945412236862696,0.10363919953004207,-0.0619776540783492,-0.026524506032578277,nan
Roman-empire,hidden_mixing_frozen_combined_constant,hidden_mixing_frozen,combined_constant,undirected,9:0,9,0,6,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753806114196777,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.564836263656616,0.9999736547470093,2.119023156410549e-05,0.9998934268951416,0.9999919533729553,0.863818347454071,0.00016469680122099817,0.00038472047890536487,0.2725359370611638,-0.0530729295192086,0.32225466827069454,0.18138264268661997,nan
