dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,0:0,0,0,61,0.8259487748146057,0.8148605227470398,0.757759582339579,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.031784772872924805,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.4552106857299805,0.7586910724639893,0.012307874858379364,0.680953323841095,0.7749987840652466,0.9124235510826111,0.03822445869445801,0.09999527782201767,0.10731981826320844,-0.06485957944433934,0.07913354869022385,0.14945986281212026,-0.19309005758263847
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,1:0,1,0,89,0.8271844387054443,0.8286268711090088,0.7785671285056994,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615511417388916,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.312734127044678,0.7500646710395813,0.025411851704120636,0.6755203604698181,0.7749997973442078,0.7453620433807373,0.05086039751768112,0.09999998658895493,-0.0732844311720911,-0.011991586474550352,0.03443153415523749,0.0585465056753427,-0.01601972243388999
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,2:0,2,0,21,0.8224183320999146,0.8203317523002625,0.7724178350940731,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304635524749756,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.501312255859375,0.7492485642433167,0.0020976136438548565,0.737480103969574,0.7500880360603333,0.8240241408348083,0.0015712928725406528,0.01797090284526348,-0.0031035345367353665,-0.005141072131324728,0.0051050734563491155,0.013062646905546748,-0.05790976423514238
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,3:0,3,0,35,0.8255957365036011,0.820861279964447,0.7745614234419714,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639840126037598,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.908670425415039,0.7631252408027649,0.007239896338433027,0.754369854927063,0.7721508741378784,0.9999648332595825,0.05250430107116699,0.08860337734222412,0.10388375050734597,-0.1032787081607494,0.2085712383640039,0.1588711433023043,-0.22570774943684965
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,4:0,4,0,32,0.8238305449485779,0.8166254758834839,0.763070133034507,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.02859354019165039,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.8411412239074707,0.7547706961631775,0.0020177727565169334,0.7492069602012634,0.7581603527069092,0.9664090871810913,0.019465196877717972,0.032643720507621765,0.01785994920456368,-0.05316667906060452,0.06982179015760066,0.0804103330259374,-0.17036535409368267
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,5:0,5,0,29,0.8231244087219238,0.8289798498153687,0.7784371520768656,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043912887573242,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.7093822956085205,0.7526513338088989,0.0020353307481855154,0.750424325466156,0.7552152872085571,0.9944847226142883,0.01067792996764183,0.020887551829218864,0.02326973484493864,-0.026917578619838952,0.048502351721999154,0.04736887893249392,-0.5253160575489967
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,6:0,6,0,38,0.8282435536384583,0.8226261734962463,0.7712903262497063,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.034125328063964844,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.0083134174346924,0.7591295838356018,0.005127324257045984,0.751137375831604,0.7713723182678223,0.999917209148407,0.0365249440073967,0.08548930287361145,0.156448393660854,0.12928496337343495,0.04567511344460866,-0.09380554863590497,-0.11705427038066325
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,7:0,7,0,141,0.8225948810577393,0.8185668587684631,0.766658934870366,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006336212158203,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.708888530731201,0.7590901255607605,0.028998849913477898,0.6752921342849731,0.7749999761581421,0.8334662318229675,0.09006227552890778,0.10000000149011612,-0.12906217459482017,0.005752388226948652,-0.046141453626936314,-0.01953304253863619,-0.03272954335416433
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,8:0,8,0,40,0.8314209580421448,0.8180373907089233,0.7680288398537063,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.104992628097534,0.5253281593322754,0.013378389179706573,0.500045895576477,0.5495458841323853,0.9932669997215271,0.050711601972579956,0.09909180551767349,0.08878407313487281,0.07923503951261439,-0.05748099033022924,0.008221934495694493,-0.0014058492932509648
Roman-empire,hidden_mixing_frozen_combined_shuffled,hidden_mixing_frozen,combined_shuffled,undirected,9:0,9,0,7,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753810882568359,34948,34948,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.2812390327453613,0.9999817609786987,1.9529561541276053e-05,0.9998466372489929,0.9999973773956299,0.8918834924697876,0.00012903611059300601,0.00047726259799674153,0.2401742069366274,-0.03088364215511896,0.29865569819442467,0.16109148557580108,-0.024102638331968684
