dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,0:0,0,0,35,0.8252426981925964,0.8150370121002197,0.7594891832174477,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.031784772872924805,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.5491783618927,0.7573936581611633,0.008258038200438023,0.7491356730461121,0.7656518220901489,0.6505551338195801,0.03227023780345917,0.06261484324932098,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,1:0,1,0,42,0.8254192471504211,0.8259795308113098,0.774470708281649,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615511417388916,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.933425188064575,0.7517971396446228,0.003836034331470728,0.7479610443115234,0.7556331753730774,0.5964366793632507,0.013105879537761211,0.022550659254193306,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,2:0,2,0,52,0.8225948810577393,0.821037769317627,0.772890852511335,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304558038711548,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.201073169708252,0.7586407661437988,0.008661526255309582,0.7499791979789734,0.7673022747039795,0.8364169001579285,0.03474041074514389,0.06921057403087616,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,3:0,3,0,36,0.8255957365036011,0.8212142586708069,0.7753202734968642,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029637932777404785,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.836900472640991,0.7648443579673767,0.0075720446184277534,0.7572723031044006,0.772416353225708,0.9999586343765259,0.059382468461990356,0.08966656774282455,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,4:0,4,0,32,0.8241835832595825,0.8175079226493835,0.7642247646007589,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028592586517333984,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.717303991317749,0.7530488967895508,0.002733861329033971,0.7503148913383484,0.7557826042175293,0.9858132600784302,0.012290218845009804,0.02316155470907688,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,5:0,5,0,32,0.8236539959907532,0.8298622965812683,0.7803920292339291,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.040438175201416016,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.6931467056274414,0.755520761013031,0.0009805031586438417,0.754540205001831,0.7565010786056519,0.9996272921562195,0.02211400493979454,0.026033401489257812,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.034125328063964844,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8172953128814697,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,7:0,7,0,-1,0.8194174766540527,0.8159195184707642,0.7645749130730715,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8733396530151367,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,8:0,8,0,20,0.8308914303779602,0.8166254758834839,0.7677072055516562,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,5.7220458984375e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.3772473335266113,0.5200822949409485,0.011884905397891998,0.5081974267959595,0.531967282295227,0.9986940026283264,0.04022488743066788,0.06398084759712219,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_constant_reliability,hidden_mixing_frozen,constant_reliability,undirected,9:0,9,0,9,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753796577453613,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.0855042934417725,0.9999867677688599,5.971141035843175e-06,0.999980628490448,0.9999925494194031,0.8945807218551636,0.0001206181914312765,0.00014920947432983667,nan,nan,nan,nan,nan
