dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,0:0,0,0,86,0.8261253237724304,0.8180373907089233,0.7630791492331659,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178572654724121,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.943002700805664,0.7577648758888245,0.01604238711297512,0.6997697353363037,0.7749999761581421,0.8376572728157043,0.044792987406253815,0.09999995678663254,0.05226466416508496,-0.02400653382350114,0.10597290809176343,0.11688940180685299,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,1:0,1,0,78,0.8257722854614258,0.8291563391685486,0.7784252752252561,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154756546020508,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.005487442016602,0.7490050792694092,0.024709835648536682,0.6804386377334595,0.7749997973442078,0.7429551482200623,0.04054294526576996,0.09999992698431015,-0.06659420043901518,-0.005409696691169469,0.054343362908033474,0.07004864872019584,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,2:0,2,0,71,0.8240070343017578,0.8205082416534424,0.7717787380091602,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304546117782593,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.813380002975464,0.755976676940918,0.017889773473143578,0.6952654719352722,0.7749993801116943,0.8481442332267761,0.04845518618822098,0.09999759495258331,-0.14795769038091455,-0.028491131277794287,-0.08759832753008721,-0.043464265972656325,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,3:0,3,0,41,0.8254192471504211,0.8206847906112671,0.7746759915505002,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639005661010742,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.957202196121216,0.7628663778305054,0.004743889905512333,0.7579725980758667,0.7707479596138,0.9999719262123108,0.05147005245089531,0.08299233019351959,0.12123010061458485,-0.08122205402214162,0.23343834245627748,0.14923038027495375,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,4:0,4,0,38,0.8240070343017578,0.8171549439430237,0.7628808268126873,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.0375301837921143,0.7523730397224426,0.0018100151792168617,0.7507047057151794,0.756243884563446,0.997701108455658,0.009527170099318027,0.024981655180454254,0.07176886811033742,-0.14070039089388742,0.2154400626228131,0.20356612870544927,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,5:0,5,0,87,0.8238305449485779,0.8309212327003479,0.7810916544674251,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043865203857422,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.20555853843689,0.7658402323722839,0.010375656187534332,0.7497553825378418,0.7749999761581421,0.9614677429199219,0.06480472534894943,0.10000000149011612,-0.21601276067644096,0.08604327804643039,-0.1779037970238258,-0.060229461813472024,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412675857543945,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8574888706207275,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,7:0,7,0,-1,0.8194174766540527,0.8159195184707642,0.7645749130730715,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8935678005218506,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,8:0,8,0,27,0.8312444686889648,0.8159195184707642,0.7658959599943331,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.585423469543457,0.5275711417198181,0.011675902642309666,0.5022535920143127,0.5478203296661377,0.9996848702430725,0.055162228643894196,0.09564129263162613,0.07317947200588762,0.18912052455239248,-0.027254998814836874,-0.0611388497595259,nan
Roman-empire,hidden_mixing_frozen_feature_only,hidden_mixing_frozen,feature_only,undirected,9:0,9,0,9,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753791809082031,34948,25348,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.2140183448791504,0.9999637603759766,5.365930337575264e-05,0.9996670484542847,0.9999947547912598,0.859584629535675,0.00017996857059188187,0.0007682766881771386,0.22624988559214224,-0.017206708977554473,0.3017999913869217,0.1583293877517172,nan
