dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:0,0,0,-1,0.8247131109237671,0.816448986530304,0.7619091228836823,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,4.76837158203125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,0.650062084197998,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,1:0,1,0,-1,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,4.76837158203125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,0.2768998146057129,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,2:0,2,0,-1,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,4.76837158203125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,0.32514190673828125,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,3:0,3,0,-1,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,3.814697265625e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,0.30141115188598633,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,4:0,4,0,-1,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,3.814697265625e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,0.245255708694458,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,5:0,5,0,-1,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,4.76837158203125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,55.609275817871094,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,6:0,6,0,-1,0.827537477016449,0.8245675563812256,0.7713807273014569,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,3.814697265625e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,54.04754281044006,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,7:0,7,0,-1,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,4.76837158203125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,54.32526898384094,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,8:0,8,0,-1,0.827537477016449,0.816272497177124,0.7662028054232481,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,3.814697265625e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,49.94114351272583,0.5,0.0,0.5,0.5,0.5,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,9:0,9,0,-1,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,3.814697265625e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,40.20967888832092,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
