dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,0:0,0,0,56,0.8270079493522644,0.8190963268280029,0.7636151273641283,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.0317845344543457,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.201829433441162,0.7548772096633911,0.015585522167384624,0.6824568510055542,0.7749904990196228,0.7446728944778442,0.03438334912061691,0.0999620109796524,0.6604680331163264,0.21789854723782276,0.45324738291770095,0.16065739693191397,0.491875635623801
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,1:0,1,0,113,0.8301853537559509,0.8295093178749084,0.7781961148828367,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154398918151855,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.905384063720703,0.7502173781394958,0.019146502017974854,0.6830464005470276,0.7749844789505005,0.6765773296356201,0.04197286069393158,0.09997137635946274,0.5152004877533,0.10342579616079668,0.2048006556848974,-0.03114494424941046,0.22519593759526116
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,2:0,2,0,179,0.8263018131256104,0.8228026628494263,0.7749001220287617,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304647445678711,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.637284517288208,0.7553941607475281,0.014357921667397022,0.6877760887145996,0.774998128414154,0.7647011876106262,0.04822834953665733,0.09999741613864899,0.2077504879259192,-0.04555331793801008,0.08596274846139766,0.0975150695155427,0.13588966019367676
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,3:0,3,0,115,0.8310679197311401,0.8229791522026062,0.7789926979350762,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963864803314209,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.946695804595947,0.762553870677948,0.011512555181980133,0.7466575503349304,0.7749999761581421,0.8547878265380859,0.05232604593038559,0.10000000149011612,0.5682012594379662,-0.08443497126936285,0.4043137552801772,-0.06260792813437965,0.20757305245679908
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,4:0,4,0,122,0.8289496898651123,0.8226261734962463,0.7737907795169092,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.0960164070129395,0.7584103941917419,0.015688462182879448,0.6799340844154358,0.7749998569488525,0.7305495142936707,0.047821830958127975,0.09999942779541016,0.6470107782996589,0.06273927683018309,0.36682100653266686,-0.013120770986527521,0.30376362370137927
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,5:0,5,0,136,0.827537477016449,0.832686185836792,0.7832846520298944,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043865203857422,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.497207403182983,0.7626978158950806,0.011071156710386276,0.7373817563056946,0.7749999165534973,0.8764500021934509,0.055156316608190536,0.09999965876340866,0.4535440498722221,-0.06539534131255874,0.3724842124687707,-0.21881283905571394,0.06703301722493063
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,6:0,6,0,124,0.8305383920669556,0.8275679349899292,0.7784432506554311,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.185467958450317,0.75706547498703,0.013068240135908127,0.7090581655502319,0.7748734354972839,0.836794912815094,0.046882014721632004,0.0998023971915245,0.5175037209413448,0.007850861436170723,0.33136227325077316,0.15232160308903805,0.34507027772678117
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,7:0,7,0,167,0.8220652937889099,0.8203317523002625,0.7721347089265729,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031005859375,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.52559757232666,0.7610167860984802,0.017323143780231476,0.6808273196220398,0.7749999761581421,0.8161555528640747,0.06305991858243942,0.10000000149011612,0.09594799421582992,0.010898546169700358,0.0629245265248461,-0.33581455022921064,-0.17161718684021876
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,8:0,8,0,52,0.8342453241348267,0.8206847906112671,0.7737568537847224,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.293148994445801,0.5191388130187988,0.017672885209321976,0.4998973309993744,0.5497519969940186,0.911831259727478,0.03861682489514351,0.09950409829616547,0.6151064416950017,0.054012713330252926,0.3339473312148067,0.07122641281342572,0.33849472973229366
Roman-empire,hidden_mixing_frozen_reliability_only,hidden_mixing_frozen,reliability_only,undirected,9:0,9,0,64,0.8238305449485779,0.8062124848365784,0.7513263975496995,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753810882568359,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.5935795307159424,0.9997687935829163,0.0004898642655462027,0.9977025985717773,1.0,0.8700714707374573,0.0003701270616147667,0.0031002105679363012,0.33829384635363924,-0.19981176088236122,0.28724345532387885,0.16758621782704528,0.2209291508839808
