dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,0:0,0,0,43,0.8250661492347717,0.8148605227470398,0.7590128490778708,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.03178596496582031,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.863682985305786,0.7615787982940674,0.013589439913630486,0.7112088799476624,0.7748720049858093,0.7918305993080139,0.05120803043246269,0.09948805719614029,-0.012582010448119118,0.01030878229673773,-0.011293208925414844,-0.009794297023233811,-0.3337989664520426
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,1:0,1,0,60,0.8271844387054443,0.8256264925003052,0.7747575310933444,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.02615487575531006,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.532851457595825,0.7533073425292969,0.008315873332321644,0.7032811641693115,0.7659787535667419,0.7976997494697571,0.02200710028409958,0.06391524523496628,-0.0011320495806953273,0.016637948545079155,-0.0011691049389103935,-0.010359112137660371,-0.4326944247772497
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,2:0,2,0,58,0.8225948810577393,0.8199787735939026,0.7702841599966053,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304647445678711,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.4651482105255127,0.7567380666732788,0.010147001594305038,0.7034368515014648,0.772057294845581,0.8356419205665588,0.03260628506541252,0.08822935074567795,-0.004061899740779743,0.0007813004197129986,0.0009113633960628724,0.000771170482391328,-0.5369155932715229
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,3:0,3,0,39,0.8257722854614258,0.8206847906112671,0.7743506315835256,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.02963864803314209,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.9331390857696533,0.7637373805046082,0.006510276813060045,0.7558515667915344,0.7707061171531677,0.999958336353302,0.05495467409491539,0.08282508701086044,0.001661869726419972,0.007953919238873819,-0.0003635783576816121,-0.005428145304965993,-0.5753563886676888
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,4:0,4,0,36,0.8243600726127625,0.8176844120025635,0.7645146255660831,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.028593063354492188,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.944967269897461,0.7546048760414124,0.002798063913360238,0.746345579624176,0.7573887705802917,0.9276752471923828,0.020334986969828606,0.029563510790467262,-0.009683215867580683,0.012324116200781636,-0.005546845569559677,-0.001903400582287514,-0.3641852546915894
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,5:0,5,0,44,0.8231244087219238,0.8300387859344482,0.780921744841125,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043865203857422,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.161092758178711,0.7647411823272705,0.010259777307510376,0.7513275146484375,0.7749743461608887,0.9997831583023071,0.05897536128759384,0.09989731758832932,-0.0048474133008413085,0.005926260220150921,-0.003906870732836768,-0.004548417241706624,-0.8791870634515165
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.034125328063964844,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8773131370544434,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,7:0,7,0,-1,0.8194174766540527,0.8159195184707642,0.7645749130730715,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006813049316406,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.9192240238189697,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,8:0,8,0,20,0.8308914303779602,0.8168019652366638,0.7676369758330557,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.514533042907715,0.5196065902709961,0.010665400885045528,0.5064231157302856,0.5326037406921387,0.998927891254425,0.03926386311650276,0.06523476541042328,0.007802225716914781,0.0011217280055838144,0.01110911283233328,0.009856564967245173,0.0028245063997973606
Roman-empire,hidden_mixing_frozen_shuffled_reliability,hidden_mixing_frozen,shuffled_reliability,undirected,9:0,9,0,10,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753806114196777,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.2430663108825684,0.9999920725822449,3.3357375741616124e-06,0.9999781847000122,0.9999967217445374,0.9180413484573364,9.277668868890032e-05,0.00016017122834455222,0.007148618933996913,0.012820975411356041,0.006113714725191794,0.0033256428449733593,0.06561812443663442
