dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,0:0,0,0,33,0.8250661492347717,0.8157430291175842,0.7609756514727322,0.75,0.8247131109237671,0.816448986530304,0.7619091228836823,0.0317842960357666,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.5735530853271484,0.7527182698249817,0.0036258662585169077,0.7490925192832947,0.7563442587852478,0.6476254463195801,0.013701965101063251,0.02540711872279644,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,1:0,1,0,42,0.8254192471504211,0.8259795308113098,0.774470708281649,0.75,0.8245366215705872,0.8258029818534851,0.7738028374145585,0.026154637336730957,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.961397647857666,0.7517117261886597,0.00384549074806273,0.7478663921356201,0.7555573582649231,0.5938453078269958,0.013021641410887241,0.02224762551486492,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,2:0,2,0,52,0.8225948810577393,0.821037769317627,0.772890852511335,0.75,0.8217122554779053,0.8203317523002625,0.7719651923995876,0.04304671287536621,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.209376335144043,0.7586250901222229,0.008639308623969555,0.7499856948852539,0.7672643661499023,0.8441523313522339,0.03464542701840401,0.06905880570411682,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,3:0,3,0,36,0.8255957365036011,0.8215672373771667,0.7756538257219253,0.75,0.8218887448310852,0.8192728161811829,0.7703152809808075,0.029639840126037598,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.8014888763427734,0.764787495136261,0.007473930716514587,0.7573134899139404,0.772261381149292,0.9999591708183289,0.05915486812591553,0.08904679119586945,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,4:0,4,0,32,0.8241835832595825,0.8173314332962036,0.7640233046961306,0.75,0.8227713704109192,0.8178609013557434,0.7634181802931068,0.02859354019165039,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.7293612957000732,0.7529995441436768,0.0026626416947692633,0.7503370046615601,0.7556623220443726,0.985808253288269,0.012099703773856163,0.02268105186522007,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,5:0,5,0,32,0.8234774470329285,0.8298622965812683,0.7803920292339291,0.75,0.8220652937889099,0.8266854882240295,0.7752697004652309,0.04043769836425781,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.717538833618164,0.755420446395874,0.0009264611871913075,0.7544941306114197,0.7563470602035522,0.9996148347854614,0.021714571863412857,0.025418585166335106,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,6:0,6,0,-1,0.8278905153274536,0.8247440457344055,0.7716186102517075,0.75,0.827537477016449,0.8245675563812256,0.7713807273014569,0.03412628173828125,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.8853020668029785,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,7:0,7,0,-1,0.8194174766540527,0.8159195184707642,0.7645749130730715,0.75,0.8190644383430481,0.8153900504112244,0.7636305294176009,0.031006336212158203,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,1.9051613807678223,0.749750018119812,0.0,0.749750018119812,0.749750018119812,0.5,0.0010000001639127731,0.0009999999310821295,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,8:0,8,0,20,0.8308914303779602,0.8166254758834839,0.7677072055516562,0.5,0.827537477016449,0.816272497177124,0.7662028054232481,4.76837158203125e-06,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.4134654998779297,0.5200924873352051,0.01188795454800129,0.5082045793533325,0.5319804549217224,0.9986905455589294,0.0402454175055027,0.06400730460882187,nan,nan,nan,nan,nan
Roman-empire,hidden_mixing_frozen_zero_reliability,hidden_mixing_frozen,zero_reliability,undirected,9:0,9,0,9,0.8234774470329285,0.8060359954833984,0.7509335840608551,1.0,0.8234774470329285,0.8060359954833984,0.7509335840608551,0.7753791809082031,34948,26372,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.113246202468872,0.9999867677688599,6.08375012234319e-06,0.9999804496765137,0.9999926090240479,0.8944490551948547,0.0001208027679240331,0.00014983517758082598,nan,nan,nan,nan,nan
