dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,hidden_mixing_frozen,feature_only - fixed,10,0.0010412991046905517,-0.0001226266443646578,0.002205224853745761,7,1,2,0.07366556546963189
Roman-empire,hidden_mixing_frozen,reliability_only - fixed,10,0.003582775592803955,0.002417936338529005,0.004747614847078905,10,0,0,6.626494938695021e-05
Roman-empire,hidden_mixing_frozen,combined - fixed,10,0.0033533334732055663,0.0015618847206514887,0.005144782225759644,9,1,0,0.002192226548793469
Roman-empire,hidden_mixing_frozen,shuffled_reliability - fixed,10,0.00037062764167785647,-0.0005580073393349571,0.00129926262269067,5,1,4,0.3901297427453565
Roman-empire,hidden_mixing_frozen,constant_reliability - fixed,10,0.00052947998046875,-0.0003672336527080016,0.0014261936136455017,7,1,2,0.21443028625754526
Roman-empire,hidden_mixing_frozen,zero_reliability - fixed,10,0.0006177306175231933,-0.0002513941534659839,0.0014868553885123705,7,1,2,0.1423343350004224
Roman-empire,hidden_mixing_frozen,combined_shuffled - fixed,10,0.0006883144378662109,-0.0006616144940879425,0.0020382433698203643,5,2,3,0.27843725076283726
Roman-empire,hidden_mixing_frozen,combined_constant - fixed,10,0.0007589221000671387,-0.0005917982222598458,0.0021096424223941233,5,1,4,0.23558609199122588
Roman-empire,hidden_mixing_frozen,reliability_only - feature_only,10,0.0025414764881134034,0.0012264403984592071,0.0038565125777675997,10,0,0,0.0017920986618764495
Roman-empire,hidden_mixing_frozen,true reliability - shuffled reliability,10,0.0032121479511260987,0.0022273300617159774,0.00419696584053622,10,0,0,4.1985188880753986e-05
Roman-empire,hidden_mixing_frozen,true reliability - constant reliability,10,0.0030532956123352053,0.0019852215989110467,0.004121369625759364,10,0,0,0.00011584416825557051
Roman-empire,hidden_mixing_frozen,true reliability - zero reliability,10,0.0029650449752807615,0.0018760355152684079,0.004054054435293115,10,0,0,0.00016686400366152653
Roman-empire,hidden_mixing_frozen,combined - feature_only,10,0.0023120343685150146,0.0003566139790062168,0.0042674547580238125,7,0,3,0.02542542183339279
Roman-empire,hidden_mixing_frozen,combined - combined_shuffled,10,0.0026650190353393554,0.0009927690593515533,0.0043372690113271575,10,0,0,0.005702400054763886
Roman-empire,hidden_mixing_frozen,combined - combined_constant,10,0.0025944113731384277,0.0008178011856659849,0.00437102156061087,9,0,1,0.009179073342907587
Roman-empire,hidden_mixing_finetune,feature_only - fixed,10,0.0017649054527282715,-0.0008713740023188817,0.004401184907775425,5,2,3,0.1642131079085043
Roman-empire,hidden_mixing_finetune,reliability_only - fixed,10,0.010377687215805054,0.005361360440848668,0.01539401399076144,10,0,0,0.001152351348872092
Roman-empire,hidden_mixing_finetune,combined - fixed,10,0.012336748838424682,0.007511305434036462,0.0171621922428129,10,0,0,0.00026491937663605157
Roman-empire,hidden_mixing_finetune,shuffled_reliability - fixed,10,0.0015354752540588379,-0.0004652662922451853,0.003536216800362861,6,2,2,0.11656335572402333
Roman-empire,hidden_mixing_finetune,constant_reliability - fixed,10,0.0018884599208831786,-0.001727434645659942,0.005504354487426299,5,1,4,0.267701255416335
Roman-empire,hidden_mixing_finetune,zero_reliability - fixed,10,0.0016237258911132812,-0.000589471151365322,0.0038369229335918843,6,1,3,0.13135761025756496
Roman-empire,hidden_mixing_finetune,combined_shuffled - fixed,10,0.0008648037910461426,-0.002025573632934577,0.003755181215026862,5,1,4,0.5155251302907373
Roman-empire,hidden_mixing_finetune,combined_constant - fixed,10,0.0011295437812805175,-0.001210012314874883,0.003469099877435918,4,1,5,0.30312822524978394
Roman-empire,hidden_mixing_finetune,reliability_only - feature_only,10,0.008612781763076782,0.005332984329268978,0.011892579196884585,10,0,0,0.00021789286456083947
Roman-empire,hidden_mixing_finetune,true reliability - shuffled reliability,10,0.008842211961746217,0.005039441064332174,0.01264498285916026,10,0,0,0.0005207524297510486
Roman-empire,hidden_mixing_finetune,true reliability - constant reliability,10,0.008489227294921875,0.005289432999483058,0.011689021590360692,10,0,0,0.00020209613337883057
Roman-empire,hidden_mixing_finetune,true reliability - zero reliability,10,0.008753961324691773,0.004961089728562549,0.012546832920820997,10,0,0,0.0005484173295908599
Roman-empire,hidden_mixing_finetune,combined - feature_only,10,0.010571843385696411,0.007408793394766195,0.013734893376626627,10,0,0,3.465221500785113e-05
Roman-empire,hidden_mixing_finetune,combined - combined_shuffled,10,0.01147194504737854,0.008804950636579623,0.014138939458177456,10,0,0,4.489538178014247e-06
Roman-empire,hidden_mixing_finetune,combined - combined_constant,10,0.011207205057144166,0.007343073542045352,0.01507133657224298,10,0,0,0.00010384533866732603
Amazon-ratings,hidden_mixing_frozen,feature_only - fixed,10,-0.0004246324300765991,-0.0015814640828417412,0.0007321992226885431,4,4,2,0.4278126375744272
Amazon-ratings,hidden_mixing_frozen,reliability_only - fixed,10,-0.00034297406673431394,-0.0010094695374349896,0.00032352140396636167,3,2,5,0.2743171166732303
Amazon-ratings,hidden_mixing_frozen,combined - fixed,10,-0.000359305739402771,-0.0011627159617355319,0.0004441044829299898,3,2,5,0.3381083718588032
Amazon-ratings,hidden_mixing_frozen,shuffled_reliability - fixed,10,-0.00045729577541351316,-0.0012454607176790298,0.00033086916685200337,3,3,4,0.2218306987111988
Amazon-ratings,hidden_mixing_frozen,constant_reliability - fixed,10,-0.00017965435981750488,-0.0009357020799433087,0.0005763933603082988,4,2,4,0.6039290423644281
Amazon-ratings,hidden_mixing_frozen,zero_reliability - fixed,10,-0.00016332268714904785,-0.0009323970790427697,0.0006057517047446739,4,2,4,0.6424060696718168
Amazon-ratings,hidden_mixing_frozen,combined_shuffled - fixed,10,-0.00035930275917053225,-0.0008983598172023633,0.00017975429886129884,2,2,6,0.16587314732535086
Amazon-ratings,hidden_mixing_frozen,combined_constant - fixed,10,-0.0006042808294296264,-0.001660872686828531,0.000452311027969278,3,3,4,0.22796192776805196
Amazon-ratings,hidden_mixing_frozen,reliability_only - feature_only,10,8.165836334228516e-05,-0.0004913589256152485,0.0006546756522998188,2,4,4,0.7545343130624586
Amazon-ratings,hidden_mixing_frozen,true reliability - shuffled reliability,10,0.00011432170867919922,-0.00039657133494522083,0.0006252147523036193,2,5,3,0.6248832380201454
Amazon-ratings,hidden_mixing_frozen,true reliability - constant reliability,10,-0.0001633197069168091,-0.0006528321540315877,0.0003261927401979695,2,5,3,0.4696925834278346
Amazon-ratings,hidden_mixing_frozen,true reliability - zero reliability,10,-0.00017965137958526612,-0.0006705559523277741,0.0003112531931572418,2,5,3,0.429155434555509
Amazon-ratings,hidden_mixing_frozen,combined - feature_only,10,6.532669067382812e-05,-0.0007593231578388407,0.000889976539186497,3,3,4,0.8617481998300873
Amazon-ratings,hidden_mixing_frozen,combined - combined_shuffled,10,-2.9802322387695314e-09,-0.0008655717860389743,0.0008655658255744969,4,4,2,0.9999939553371902
Amazon-ratings,hidden_mixing_frozen,combined - combined_constant,10,0.00024497509002685547,-0.00047574732230381623,0.0009656975023575272,4,4,2,0.4616458804256244
Amazon-ratings,hidden_mixing_finetune,feature_only - fixed,10,0.0029070675373077393,-0.0019250302030626686,0.007739165277678147,5,2,3,0.20662950253756326
Amazon-ratings,hidden_mixing_finetune,reliability_only - fixed,10,0.001992484927177429,-0.0018732759603877535,0.005858245814742612,6,3,1,0.27359927353641295
Amazon-ratings,hidden_mixing_finetune,combined - fixed,10,0.0017311751842498779,-0.0008556953642513342,0.00431804573275109,6,2,2,0.16435550696400358
Amazon-ratings,hidden_mixing_finetune,shuffled_reliability - fixed,10,0.0007839262485504151,-0.0007726562214614663,0.0023405087185622963,6,3,1,0.28400513378671544
Amazon-ratings,hidden_mixing_finetune,constant_reliability - fixed,10,0.0004899531602859497,-0.002209828875276769,0.003189735195848669,5,3,2,0.6910161135069003
Amazon-ratings,hidden_mixing_finetune,zero_reliability - fixed,10,0.0014045357704162598,-0.0044240781617216375,0.007233149702554157,5,2,3,0.5989192046197331
Amazon-ratings,hidden_mixing_finetune,combined_shuffled - fixed,10,0.0031193822622299196,-7.563895504270664e-05,0.006314403479502546,7,3,0,0.054569478712790886
Amazon-ratings,hidden_mixing_finetune,combined_constant - fixed,10,0.002678421139717102,6.413991950976862e-05,0.0052927023599244356,6,2,2,0.045660542515526176
Amazon-ratings,hidden_mixing_finetune,reliability_only - feature_only,10,-0.00091458261013031,-0.005232317351051739,0.0034031521307911193,3,5,2,0.6432457362363394
Amazon-ratings,hidden_mixing_finetune,true reliability - shuffled reliability,10,0.0012085586786270142,-0.00325494497389389,0.005672062331147918,2,5,3,0.5553571144267269
Amazon-ratings,hidden_mixing_finetune,true reliability - constant reliability,10,0.0015025317668914794,-0.0025080318608480664,0.005513095394631026,3,5,2,0.4186818144229948
Amazon-ratings,hidden_mixing_finetune,true reliability - zero reliability,10,0.0005879491567611694,-0.005365269593845326,0.006541167907367664,3,4,3,0.8282018090724443
Amazon-ratings,hidden_mixing_finetune,combined - feature_only,10,-0.0011758923530578614,-0.005197028491431692,0.0028452437853159693,3,4,3,0.5248526958181267
Amazon-ratings,hidden_mixing_finetune,combined - combined_shuffled,10,-0.0013882070779800415,-0.003773804122087434,0.0009973899661273509,2,4,4,0.22058404163146936
Amazon-ratings,hidden_mixing_finetune,combined - combined_constant,10,-0.0009472459554672241,-0.0034334290456434374,0.001538937134708989,1,4,5,0.41112299925476925
Cora,hidden_mixing_frozen,feature_only - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,reliability_only - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,combined - fixed,10,-0.00020000338554382324,-0.0005016294465132735,0.00010162267542562699,0,8,2,0.167850656268817
Cora,hidden_mixing_frozen,shuffled_reliability - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,constant_reliability - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,zero_reliability - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,combined_shuffled - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,combined_constant - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,reliability_only - feature_only,10,0.0,0.0,0.0,0,10,0,nan
Cora,hidden_mixing_frozen,true reliability - shuffled reliability,10,0.0,0.0,0.0,0,10,0,nan
Cora,hidden_mixing_frozen,true reliability - constant reliability,10,0.0,0.0,0.0,0,10,0,nan
Cora,hidden_mixing_frozen,true reliability - zero reliability,10,0.0,0.0,0.0,0,10,0,nan
Cora,hidden_mixing_frozen,combined - feature_only,10,-0.00010000467300415039,-0.00032623096035937113,0.00012622161435107038,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,combined - combined_shuffled,10,-0.00010000467300415039,-0.00032623096035937113,0.00012622161435107038,0,9,1,0.34343639613791355
Cora,hidden_mixing_frozen,combined - combined_constant,10,-0.00010000467300415039,-0.00032623096035937113,0.00012622161435107038,0,9,1,0.34343639613791355
Cora,hidden_mixing_finetune,feature_only - fixed,10,-0.00690000057220459,-0.01901868235233586,0.005218681207926681,2,2,6,0.22987372799690586
Cora,hidden_mixing_finetune,reliability_only - fixed,10,-0.006800001859664917,-0.018601831106593254,0.00500182738726342,2,2,6,0.224787904432341
Cora,hidden_mixing_finetune,combined - fixed,10,-0.0025000035762786864,-0.020033143577399447,0.015033136424842075,2,2,6,0.7543993935297211
Cora,hidden_mixing_finetune,shuffled_reliability - fixed,10,-0.0062000036239624025,-0.018525016551266458,0.006125009303341652,2,2,6,0.28452267463549463
Cora,hidden_mixing_finetune,constant_reliability - fixed,10,-0.004199999570846558,-0.01880137951427163,0.010401380372578515,2,2,6,0.5315015467037288
Cora,hidden_mixing_finetune,zero_reliability - fixed,10,-0.00690000057220459,-0.018819996882618217,0.0050199957382090375,2,2,6,0.22281534078569526
Cora,hidden_mixing_finetune,combined_shuffled - fixed,10,-0.006600004434585571,-0.018599632761244888,0.0053996238920737466,2,2,6,0.24484382020215895
Cora,hidden_mixing_finetune,combined_constant - fixed,10,-0.007099997997283935,-0.018582657931322858,0.004382661936754988,2,2,6,0.19539260994704863
Cora,hidden_mixing_finetune,reliability_only - feature_only,10,9.999871253967285e-05,-0.00042783116310521487,0.0006278285881845606,1,8,1,0.6783097418055797
Cora,hidden_mixing_finetune,true reliability - shuffled reliability,10,-0.0005999982357025146,-0.00195728854229678,0.0007572920708917509,0,9,1,0.34343639613791366
Cora,hidden_mixing_finetune,true reliability - constant reliability,10,-0.0026000022888183595,-0.008234740592221559,0.00303473601458484,0,8,2,0.3237969484998644
Cora,hidden_mixing_finetune,true reliability - zero reliability,10,9.999871253967285e-05,-0.0001262140913081361,0.0003262115163874818,1,9,0,0.34343639613791355
Cora,hidden_mixing_finetune,combined - feature_only,10,0.004399996995925903,-0.0048117979441313465,0.013611791935983154,3,7,0,0.30801529112493603
Cora,hidden_mixing_finetune,combined - combined_shuffled,10,0.004100000858306885,-0.005174845451019988,0.013374847167633758,1,9,0,0.34343639613791355
Cora,hidden_mixing_finetune,combined - combined_constant,10,0.004599994421005249,-0.006059649641015982,0.01525963848302648,1,8,1,0.35447450746683895
Citeseer,hidden_mixing_frozen,feature_only - fixed,10,9.999871253967285e-05,-0.00042783116310521487,0.0006278285881845606,1,8,1,0.6783097418055797
Citeseer,hidden_mixing_frozen,reliability_only - fixed,10,9.999871253967285e-05,-0.0007564291405924621,0.0009564265656718079,2,6,2,0.7976245209721027
Citeseer,hidden_mixing_frozen,combined - fixed,10,0.0004000008106231689,-0.00043967607528013093,0.0012396776965264687,2,7,1,0.30923209707563065
Citeseer,hidden_mixing_frozen,shuffled_reliability - fixed,10,0.0,-0.0007540426794926967,0.0007540426794926967,2,6,2,1.0
Citeseer,hidden_mixing_frozen,constant_reliability - fixed,10,-9.999871253967285e-05,-0.0008113611536496232,0.0006113637285702774,1,7,2,0.7577400727729552
Citeseer,hidden_mixing_frozen,zero_reliability - fixed,10,0.0,-0.0007540426794926967,0.0007540426794926967,2,6,2,1.0
Citeseer,hidden_mixing_frozen,combined_shuffled - fixed,10,9.999275207519531e-05,-0.0005263680913745821,0.0007263535955249728,2,6,2,0.7263322360241995
Citeseer,hidden_mixing_frozen,combined_constant - fixed,10,0.0001999974250793457,-0.0003642764472539872,0.0007642712974126785,2,7,1,0.44333185016966015
Citeseer,hidden_mixing_frozen,reliability_only - feature_only,10,0.0,-0.0006744362757127024,0.0006744362757127024,1,8,1,1.0
Citeseer,hidden_mixing_frozen,true reliability - shuffled reliability,10,9.999871253967285e-05,-0.0001262140913081361,0.0003262115163874818,1,9,0,0.34343639613791355
Citeseer,hidden_mixing_frozen,true reliability - constant reliability,10,0.0001999974250793457,-0.0002524281826162722,0.0006524230327749636,1,9,0,0.34343639613791355
Citeseer,hidden_mixing_frozen,true reliability - zero reliability,10,9.999871253967285e-05,-0.0001262140913081361,0.0003262115163874818,1,9,0,0.34343639613791355
Citeseer,hidden_mixing_frozen,combined - feature_only,10,0.0003000020980834961,-0.00037864979696734265,0.0009786539931343349,1,9,0,0.34343639613791355
Citeseer,hidden_mixing_frozen,combined - combined_shuffled,10,0.00030000805854797364,-0.00045781066117473406,0.0010578267782706814,2,7,1,0.3938138928368089
Citeseer,hidden_mixing_frozen,combined - combined_constant,10,0.00020000338554382324,-0.00025243570565920643,0.000652442476746853,1,9,0,0.34343639613791355
Citeseer,hidden_mixing_finetune,feature_only - fixed,10,-0.0012000024318695069,-0.008708785805528375,0.006308780941789362,3,4,3,0.7260506744800348
Citeseer,hidden_mixing_finetune,reliability_only - fixed,10,-0.0009000003337860107,-0.009080334758792582,0.00728033409122056,3,4,3,0.8090382499662785
Citeseer,hidden_mixing_finetune,combined - fixed,10,-0.002799999713897705,-0.008979549967028527,0.0033795505392331168,2,5,3,0.3321227844480018
Citeseer,hidden_mixing_finetune,shuffled_reliability - fixed,10,-0.00020000338554382324,-0.009203269145114221,0.008803262374026575,3,4,3,0.961018567041642
Citeseer,hidden_mixing_finetune,constant_reliability - fixed,10,0.0004000008106231689,-0.007488412142149887,0.008288413763396224,3,4,3,0.9111948670625113
Citeseer,hidden_mixing_finetune,zero_reliability - fixed,10,0.0001999974250793457,-0.00736912233586729,0.007769117186025981,3,4,3,0.9536429953192195
Citeseer,hidden_mixing_finetune,combined_shuffled - fixed,10,-0.002799999713897705,-0.008979549967028527,0.0033795505392331168,2,5,3,0.3321227844480018
