dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,hidden_mixing_finetune,combined,10,0.469998362660408,0.008435466379791033,0.37465984225393895,0.46539277732372286,0.00460558533668518,0.775,0.7798050761222839,0.015969849564135073,0.04027029084973037,0.06039780443534255,-0.10836654066972454,-0.43112189248974353,-0.4408962322205638,129801.0,34948.0,94853.0
Amazon-ratings,hidden_mixing_finetune,combined_constant,10,0.47094560861587526,0.008455487490120147,0.37445886722726984,0.46539277732372286,0.005552831292152405,0.775,0.7820183455944061,0.008645071135833859,0.02801432306878269,0.053663416486233476,0.06525444460771042,-0.19799267600143317,nan,129801.0,34948.0,94853.0
Amazon-ratings,hidden_mixing_finetune,combined_shuffled,10,0.47138656973838805,0.009098196802092194,0.37527415537778813,0.46539277732372286,0.005993792414665222,0.775,0.7815426766872406,0.007759205624461174,0.03466731471708044,0.050499199773184955,0.018154485761437945,-0.12725391226099073,-0.1685506782879711,129801.0,34948.0,94853.0
Amazon-ratings,hidden_mixing_finetune,constant_reliability,10,0.4687571406364441,0.008790671405351837,0.36843538450577507,0.46539277732372286,0.0033643633127212525,0.775,0.7776104807853699,0.0029227460850961505,0.012257326929830014,0.023451146832667292,nan,nan,nan,129801.0,26372.0,94853.0
Amazon-ratings,hidden_mixing_finetune,feature_only,10,0.4711742550134659,0.00834108548665076,0.37717185871604203,0.46539277732372286,0.005781477689743042,0.775,0.7828286945819855,0.009839621558785438,0.03517563971690833,0.060016616340726615,0.027689810242517692,-0.24519885336454494,nan,129801.0,25348.0,94853.0
Amazon-ratings,hidden_mixing_finetune,fixed,10,0.46826718747615814,0.008077521184917237,0.36552748964719944,0.46539277732372286,0.0028744101524353026,0.775,0.775,0.0,0.0,0.0,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,hidden_mixing_finetune,reliability_only,10,0.47025967240333555,0.00885005945301245,0.37428617762854366,0.46539277732372286,0.004866895079612732,0.775,0.7768879473209381,0.011446909978985786,0.027670232334639878,0.050435231323353945,-0.07625034128074158,-0.2801271955333064,-0.2572702417420326,129801.0,26372.0,94853.0
Amazon-ratings,hidden_mixing_finetune,shuffled_reliability,10,0.46905111372470853,0.008094741562134727,0.36902190542339075,0.46539277732372286,0.0036583364009857176,0.775,0.7802349328994751,0.0052913202904164795,0.02453879446256906,0.04059623801149428,0.00045977016969639525,0.002936034652145719,-0.2238009742643512,129801.0,26372.0,94853.0
Amazon-ratings,hidden_mixing_finetune,zero_reliability,10,0.4696717232465744,0.007123311062738154,0.3728346818338433,0.46539277732372286,0.004278945922851563,0.775,0.7801316201686859,0.005444529509986751,0.017137773043941706,0.03330958763835952,nan,nan,nan,129801.0,26372.0,94853.0
Amazon-ratings,hidden_mixing_frozen,combined,10,0.46503347158432007,0.0050270304832134675,0.3574790786108742,0.46539277732372286,-0.000359305739402771,0.775,0.7709458827972412,0.010945097712101415,0.01667264084680937,0.03616509228013456,-0.08776582143790916,0.14196030977664853,0.1375456119778805,34948.0,34948.0,0.0
Amazon-ratings,hidden_mixing_frozen,combined_constant,10,0.4647884964942932,0.005492195380010573,0.35719003534138954,0.46539277732372286,-0.0006042808294296264,0.775,0.7703748106956482,0.009119523885146918,0.012296819593757391,0.028080670710187404,-0.13982346891357733,0.05639774363805236,nan,34948.0,34948.0,0.0
Amazon-ratings,hidden_mixing_frozen,combined_shuffled,10,0.4650334745645523,0.005623096116325362,0.3578200794090365,0.46539277732372286,-0.00035930275917053225,0.775,0.7683180868625641,0.009951594335143454,0.008512268553022295,0.03072837311774492,-0.15059493389796003,0.04803898227169807,-0.21451433705015135,34948.0,34948.0,0.0
Amazon-ratings,hidden_mixing_frozen,constant_reliability,10,0.4652131229639053,0.005528881562267367,0.3578617318006252,0.46539277732372286,-0.00017965435981750488,0.775,0.7724789917469025,0.002704619677456321,0.005366866651456803,0.008681642578449101,nan,nan,nan,34948.0,26372.0,0.0
Amazon-ratings,hidden_mixing_frozen,feature_only,10,0.46496814489364624,0.005672586236973247,0.3575692503051467,0.46539277732372286,-0.0004246324300765991,0.775,0.7683298051357269,0.009958743229799439,0.009589173644781113,0.032172879902645946,-0.10598133839289726,0.05987734428023244,nan,34948.0,25348.0,0.0
Amazon-ratings,hidden_mixing_frozen,fixed,10,0.46539277732372286,0.005470657614905762,0.35779977635954147,0.46539277732372286,0.0,0.775,0.775,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,hidden_mixing_frozen,reliability_only,10,0.4650498032569885,0.005552472078958707,0.3577445247200862,0.46539277732372286,-0.00034297406673431394,0.775,0.7727622568607331,0.006345018288993742,0.009662762354128062,0.026419066335074605,0.030287433857120204,0.23433119641960884,0.2930003507480375,34948.0,26372.0,0.0
Amazon-ratings,hidden_mixing_frozen,shuffled_reliability,10,0.4649354815483093,0.005797141843458795,0.35781926949520615,0.46539277732372286,-0.00045729577541351316,0.775,0.7734734117984772,0.002494992277934216,0.00581569048226811,0.011099820618983357,-0.0021033114310313183,0.0019071432290294298,-0.4880668254444068,34948.0,26372.0,0.0
Amazon-ratings,hidden_mixing_frozen,zero_reliability,10,0.4652294546365738,0.005511462747644105,0.35788616654699623,0.46539277732372286,-0.00016332268714904785,0.775,0.7725312113761902,0.0026982630202837753,0.00527916757564526,0.008631297427928075,nan,nan,nan,34948.0,26372.0,0.0
Citeseer,hidden_mixing_finetune,combined,10,0.6119000375270843,0.019750694139817726,0.57783642585973,0.6137000381946563,-0.0018000006675720215,0.775,0.7772423386573791,0.0025095394295931326,0.005891344472183846,0.010916608991101385,-0.22921769109489634,0.051187906908054956,-0.32333119470136157,347658.0,34948.0,312710.0
Citeseer,hidden_mixing_finetune,combined_constant,10,0.612600040435791,0.019935895934440905,0.5744631633116002,0.6137000381946563,-0.0010999977588653565,0.775,0.7747448682785034,1.3786513591185212e-05,0.0009522700653178618,0.0010142117971554399,0.041224514928988404,0.1123953563459778,nan,347658.0,34948.0,312710.0
Citeseer,hidden_mixing_finetune,combined_shuffled,10,0.6119000375270843,0.019750694139817726,0.5778277131612101,0.6137000381946563,-0.0018000006675720215,0.775,0.7772413492202759,0.0025102309547946787,0.005892707064049318,0.010910644882824273,0.023502907274633937,0.04163555238429312,-0.021660046840527677,347658.0,34948.0,312710.0
