dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Chameleon,residual_alpha,feature_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,reliability_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,shuffled_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,constant_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,zero_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined_shuffled - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined_constant - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,reliability_only - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,true reliability - shuffled reliability,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,true reliability - constant reliability,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,true reliability - zero reliability,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined - combined_shuffled,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,residual_alpha,combined - combined_constant,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,feature_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,reliability_only - fixed,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,combined - fixed,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,shuffled_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,constant_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,zero_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,combined_shuffled - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,combined_constant - fixed,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_mixing_frozen,reliability_only - feature_only,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,true reliability - shuffled reliability,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,true reliability - constant reliability,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,true reliability - zero reliability,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,combined - feature_only,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,combined - combined_shuffled,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_frozen,combined - combined_constant,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,feature_only - fixed,3,-0.004385968049367269,-0.03321230434538164,0.024440368246647103,1,1,1,0.5799154150970061
Chameleon,hidden_mixing_finetune,reliability_only - fixed,3,-0.0036549766858418784,-0.029399648027488557,0.022089694655804803,1,1,1,0.6034734750871369
Chameleon,hidden_mixing_finetune,combined - fixed,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,shuffled_reliability - fixed,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,constant_reliability - fixed,3,0.0007309913635253906,-0.002414210622131436,0.0038761933491822174,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,zero_reliability - fixed,3,0.0,-0.005447649639224143,0.005447649639224143,1,1,1,1.0
Chameleon,hidden_mixing_finetune,combined_shuffled - fixed,3,-0.0036549766858418784,-0.029399648027488557,0.022089694655804803,1,1,1,0.6034734750871369
Chameleon,hidden_mixing_finetune,combined_constant - fixed,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,reliability_only - feature_only,3,0.0007309913635253906,-0.002414210622131436,0.0038761933491822174,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,true reliability - shuffled reliability,3,-0.005116959412892659,-0.027133458798519628,0.01689953997273431,0,2,1,0.42264973081037427
Chameleon,hidden_mixing_finetune,true reliability - constant reliability,3,-0.004385968049367269,-0.028131807228321943,0.019359871129587407,1,1,1,0.5101016963690841
Chameleon,hidden_mixing_finetune,true reliability - zero reliability,3,-0.0036549766858418784,-0.02427953009053421,0.016969576718850455,1,1,1,0.5254205140567982
Chameleon,hidden_mixing_finetune,combined - feature_only,3,0.00584795077641805,-0.019313750594865748,0.031009652147701846,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,combined - combined_shuffled,3,0.005116959412892659,-0.01689953997273431,0.027133458798519628,1,2,0,0.42264973081037427
Chameleon,hidden_mixing_finetune,combined - combined_constant,3,0.0,0.0,0.0,0,3,0,nan
Squirrel,residual_alpha,feature_only - fixed,3,-0.006404091914494832,-0.032142189784139186,0.01933400595514952,1,0,2,0.3964282522760456
Squirrel,residual_alpha,reliability_only - fixed,3,0.0,-0.004772616080156333,0.004772616080156333,1,1,1,1.0
Squirrel,residual_alpha,combined - fixed,3,-0.007044504086176555,-0.027893354720326755,0.013804346547973644,0,1,2,0.28320153671547343
Squirrel,residual_alpha,shuffled_reliability - fixed,3,-0.005123277505238851,-0.02996067607820923,0.01971412106773153,1,0,2,0.4684358094289852
Squirrel,residual_alpha,constant_reliability - fixed,3,-0.006083895762761434,-0.028256366708438823,0.016088575182915957,0,1,2,0.35914569122877726
Squirrel,residual_alpha,zero_reliability - fixed,3,-0.006083895762761434,-0.028256366708438823,0.016088575182915957,0,1,2,0.35914569122877726
Squirrel,residual_alpha,combined_shuffled - fixed,3,-0.005763689676920573,-0.028776326577995337,0.01724894722415419,1,0,2,0.39390838799202865
Squirrel,residual_alpha,combined_constant - fixed,3,-0.005123277505238851,-0.025418505917315384,0.015171950906837685,1,0,2,0.39089030719666695
Squirrel,residual_alpha,reliability_only - feature_only,3,0.006404091914494832,-0.019111800188724052,0.03191998401771372,2,1,0,0.39310273053180844
Squirrel,residual_alpha,true reliability - shuffled reliability,3,0.005123277505238851,-0.019016514778452013,0.029263069788929712,1,1,1,0.45754932767406287
Squirrel,residual_alpha,true reliability - constant reliability,3,0.006083895762761434,-0.016088575182915957,0.028256366708438823,2,1,0,0.35914569122877726
Squirrel,residual_alpha,true reliability - zero reliability,3,0.006083895762761434,-0.016088575182915957,0.028256366708438823,2,1,0,0.35914569122877726
Squirrel,residual_alpha,combined - feature_only,3,-0.000640412171681722,-0.006645748832002473,0.0053649244886390295,1,0,2,0.6913898806663139
Squirrel,residual_alpha,combined - combined_shuffled,3,-0.0012808144092559814,-0.004925919762643675,0.002364290944131712,0,1,2,0.2697021238125803
Squirrel,residual_alpha,combined - combined_constant,3,-0.0019212265809377034,-0.004307497604575102,0.0004650444426996952,0,0,3,0.07417853248016651
Squirrel,hidden_mixing_frozen,feature_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
