dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Cora,hidden_mixing_frozen,feature_only - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,reliability_only - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,shuffled_reliability - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,constant_reliability - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,zero_reliability - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined_shuffled - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined_constant - fixed,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,reliability_only - feature_only,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,true reliability - shuffled reliability,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,true reliability - constant reliability,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,true reliability - zero reliability,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined - feature_only,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined - combined_shuffled,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_frozen,combined - combined_constant,5,0.0,0.0,0.0,0,5,0,nan
Cora,hidden_mixing_finetune,feature_only - fixed,5,-0.005600011348724366,-0.03099501743653335,0.019794994739084623,2,0,3,0.5734649067672779
Cora,hidden_mixing_finetune,reliability_only - fixed,5,-0.004200017452239991,-0.02995372502011827,0.021553690115638284,2,0,3,0.6741698053230083
Cora,hidden_mixing_finetune,combined - fixed,5,-0.0024000167846679687,-0.030885344005995612,0.026085310436659678,2,0,3,0.8265258718833097
Cora,hidden_mixing_finetune,shuffled_reliability - fixed,5,-0.004000020027160644,-0.030089764889842382,0.02208972483552109,2,0,3,0.6922467542013571
Cora,hidden_mixing_finetune,constant_reliability - fixed,5,-0.0040000081062316895,-0.029325091710605194,0.021325075498141815,2,0,3,0.6836470988066048
Cora,hidden_mixing_finetune,zero_reliability - fixed,5,-0.005600011348724366,-0.030333784702731834,0.019133762005283106,2,0,3,0.5637084156048254
Cora,hidden_mixing_finetune,combined_shuffled - fixed,5,-0.0026000142097473145,-0.0330093810500772,0.027809352630582564,2,0,3,0.8240193054145064
Cora,hidden_mixing_finetune,combined_constant - fixed,5,-0.005400013923645019,-0.02924513530091571,0.01844510745362567,2,0,3,0.563625366920323
Cora,hidden_mixing_finetune,reliability_only - feature_only,5,0.001399993896484375,-0.0013203510050343046,0.0041203387980030546,2,3,0,0.22624623580409364
Cora,hidden_mixing_finetune,true reliability - shuffled reliability,5,-0.0001999974250793457,-0.0007552792969930586,0.00035528444683436723,0,4,1,0.373900966300059
Cora,hidden_mixing_finetune,true reliability - constant reliability,5,-0.00020000934600830078,-0.0007553243157268603,0.00035530562371025867,0,4,1,0.373900966300059
Cora,hidden_mixing_finetune,true reliability - zero reliability,5,0.001399993896484375,-0.0018378606250323386,0.004637848418001089,2,3,0,0.29618168235094156
Cora,hidden_mixing_finetune,combined - feature_only,5,0.0031999945640563965,-0.0036797748564718477,0.010079763984584642,3,2,0,0.26613390345770843
Cora,hidden_mixing_finetune,combined - combined_shuffled,5,0.0001999974250793457,-0.002021130062575506,0.0024211249127341974,1,3,1,0.8149020114591812
Cora,hidden_mixing_finetune,combined - combined_constant,5,0.0029999971389770507,-0.006039479156942831,0.012039473434896933,1,3,1,0.4089666369794911
Citeseer,hidden_mixing_frozen,feature_only - fixed,5,0.0003999948501586914,-0.00028008377464434957,0.0010800734749617325,2,3,0,0.17780780835622126
Citeseer,hidden_mixing_frozen,reliability_only - fixed,5,-0.0007999897003173828,-0.002160146949923465,0.0005601675492886991,0,3,2,0.17780780835622126
Citeseer,hidden_mixing_frozen,combined - fixed,5,-0.0001999974250793457,-0.0007552792969930586,0.00035528444683436723,0,4,1,0.373900966300059
Citeseer,hidden_mixing_frozen,shuffled_reliability - fixed,5,-0.0004000067710876465,-0.0018157130581775893,0.0010156995160022963,1,2,2,0.47661123609082734
Citeseer,hidden_mixing_frozen,constant_reliability - fixed,5,0.0,-0.0015207020351041742,0.0015207020351041742,2,2,1,1.0
Citeseer,hidden_mixing_frozen,zero_reliability - fixed,5,-0.0001999974250793457,-0.0015601546746854278,0.0011601598245267362,1,3,1,0.7040000000000001
Citeseer,hidden_mixing_frozen,combined_shuffled - fixed,5,0.0001999974250793457,-0.00035528444683436723,0.0007552792969930586,1,4,0,0.373900966300059
Citeseer,hidden_mixing_frozen,combined_constant - fixed,5,0.0001999974250793457,-0.00035528444683436723,0.0007552792969930586,1,4,0,0.373900966300059
Citeseer,hidden_mixing_frozen,reliability_only - feature_only,5,-0.0011999845504760743,-0.002818895492080329,0.00041892639112818043,0,2,3,0.10870095132492352
Citeseer,hidden_mixing_frozen,true reliability - shuffled reliability,5,-0.00039998292922973635,-0.002283052453944116,0.0014830865954846436,1,3,1,0.5870635990256092
Citeseer,hidden_mixing_frozen,true reliability - constant reliability,5,-0.0007999897003173828,-0.0024189006419216377,0.0008189212412868719,0,3,2,0.24198153056802077
Citeseer,hidden_mixing_frozen,true reliability - zero reliability,5,-0.0005999922752380372,-0.001710556019065463,0.0005105714685893887,0,3,2,0.20799999999999982
Citeseer,hidden_mixing_frozen,combined - feature_only,5,-0.0005999922752380372,-0.001710556019065463,0.0005105714685893887,0,3,2,0.20799999999999982
Citeseer,hidden_mixing_frozen,combined - combined_shuffled,5,-0.0003999948501586914,-0.0015105585939861172,0.0007105688936687345,0,4,1,0.373900966300059
Citeseer,hidden_mixing_frozen,combined - combined_constant,5,-0.0003999948501586914,-0.0015105585939861172,0.0007105688936687345,0,4,1,0.373900966300059
Citeseer,hidden_mixing_finetune,feature_only - fixed,5,-0.0004000067710876465,-0.013558121063726314,0.01275810752155102,1,2,2,0.9367908134587584
Citeseer,hidden_mixing_finetune,reliability_only - fixed,5,0.0003999948501586914,-0.014720795232544466,0.015520784932861848,1,2,2,0.9449772087620962
