dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Actor,hidden_mixing_finetune,combined,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,34948.0,135301.0
Actor,hidden_mixing_finetune,combined_constant,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,34948.0,135301.0
Actor,hidden_mixing_finetune,combined_shuffled,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,34948.0,135301.0
Actor,hidden_mixing_finetune,constant_reliability,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,26372.0,135301.0
Actor,hidden_mixing_finetune,feature_only,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,25348.0,135301.0
Actor,hidden_mixing_finetune,fixed,5,0.3647368669509888,0.007438573447645362,0.3308354330085516,0.3647368669509888,0.0,0.85,0.8499999403953552,0.0,0.0,0.0,nan,nan,nan,135301.0,0.0,135301.0
Actor,hidden_mixing_finetune,reliability_only,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,26372.0,135301.0
Actor,hidden_mixing_finetune,shuffled_reliability,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,26372.0,135301.0
Actor,hidden_mixing_finetune,zero_reliability,5,0.36447370052337646,0.006925102488536316,0.33052392253383484,0.3647368669509888,-0.0002631664276123047,0.85,0.8496500492095947,0.0,0.0010000001639127731,0.0010000001639127731,nan,nan,nan,170249.0,26372.0,135301.0
Actor,hidden_mixing_frozen,combined,5,0.36368423104286196,0.006504844559834221,0.32943085811406825,0.3647368669509888,-0.001052635908126831,0.85,0.844252073764801,0.007300509745255113,0.006734110927209258,0.02128002103418112,0.07248836692519259,0.08211557176994994,0.05303898340106257,34948.0,34948.0,0.0
