dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Amazon-ratings,reliability_only,ok,,undirected,0:0,0,0,5,86,0.7295454545454545,0.6772727272727272,0.5879480838775635,0.5879480838775635,0.0,local,0.3692634329577005,0.36942675159235666,0.0,1,208,105,103,0.8616736014794267,0.7562182154415165,0.7548076923076923,31,20,11,0.6772727272727272,0.7295454545454545,0.6774193548387096,22,18,4,0.5416666666666667,0.4583333333333333,0.2727272727272727,0.3682835102081299,0.625,0.5454545454545454,0.3692634403705597,0.5,0.8181818181818182,0.3702433407306671,0.0,23,0.3498358726501465,0.36975338886166914,0.369916707277298,0.17017801105976105,local,0.8181818181818182,0.5,0.3702433407306671,local,0.3692634403705597,0.3702433407306671,1.0,0.3692634403705597,0.3702433407306671,0.3708966076374054,0.3702433407306671,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,49.4960196018219
Amazon-ratings,node_feature_only,ok,,undirected,0:0,0,0,5,156,0.6886363636363637,0.5590909090909091,0.3567456901073456,0.3567456901073456,0.0,local,0.3692634329577005,0.36942675159235666,0.0,1,208,105,103,0.999953767914933,0.9951456310679612,0.9951923076923077,31,20,11,0.5590909090909091,0.6886363636363637,0.6774193548387096,22,18,4,0.3055555555555556,0.4444444444444444,0.4090909090909091,0.3687734603881836,0.4444444444444444,0.4090909090909091,0.3687734603881836,0.5,0.8181818181818182,0.3702433407306671,0.0,45,0.07355216145515442,0.36942675159235666,0.3702433407306671,0.018291687592864037,local,0.8181818181818182,0.5,0.3702433407306671,local,0.3692634403705597,0.3702433407306671,1.0,0.3692634403705597,0.3702433407306671,0.3708966076374054,0.3702433407306671,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,60.6560275554657
Amazon-ratings,combined,ok,,undirected,0:0,0,0,5,0,0.759090909090909,0.7272727272727273,0.4972788095474243,0.4972788095474243,0.48740532994270325,local,0.3695900702270129,0.36975338886166914,0.18895966029723993,1,208,105,103,0.5510864539990753,0.4988441978733241,0.5,31,20,11,0.7272727272727273,0.759090909090909,0.7419354838709677,22,18,4,0.625,0.5555555555555556,0.5909090909090909,0.36942675709724426,0.5277777777777778,0.5454545454545454,0.3692634403705597,0.5833333333333333,0.6363636363636364,0.36959007382392883,0.17867058515548706,1,0.42432546615600586,0.3695900702270129,0.3702433407306671,0.04785235971212387,local,0.8181818181818182,0.5,0.3702433407306671,local,0.3692634403705597,0.3702433407306671,1.0,0.3692634403705597,0.3702433407306671,0.3708966076374054,0.3702433407306671,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,64.39193868637085
Amazon-ratings,reliability_only,ok,,undirected,1:0,1,0,5,118,0.75,0.71875,0.6066934466362,0.6066934466362,0.10829669237136841,local,0.36861015841907563,0.3687734770537318,0.162338722848277,1,160,88,72,0.9264520202020202,0.8074494949494949,0.79375,20,12,8,0.71875,0.75,0.7,27,22,5,0.6,0.6363636363636364,0.4074074074074074,0.36893677711486816,0.6818181818181819,0.48148148148148145,0.3692634403705597,0.5318181818181819,0.7407407407407407,0.3704066574573517,0.16119548678398132,76,0.19352427124977112,0.3687734770537318,0.3702433407306671,0.13653437793254852,local,0.8148148148148148,0.5,0.3707332909107208,local,0.36844682693481445,0.3707332909107208,1.0,0.36844682693481445,0.3707332909107208,0.37154990434646606,0.3707332909107208,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,50.36969828605652
Amazon-ratings,node_feature_only,ok,,undirected,1:0,1,0,5,21,0.8333333333333333,0.8229166666666667,0.4952019453048706,0.4952019453048706,0.4879627227783203,local,0.36910011432304424,0.3692634329577005,0.5993793891883064,1,160,88,72,0.7624684343434343,0.7121212121212122,0.7,20,12,8,0.8229166666666667,0.8333333333333333,0.85,27,22,5,0.5909090909090909,0.5727272727272728,0.5555555555555556,0.36959007382392883,0.55,0.5185185185185185,0.36942675709724426,0.5954545454545455,0.5925925925925926,0.3697533905506134,0.5859872698783875,20,0.4989940822124481,0.36910011432304424,0.369916707277298,0.5750449299812317,local,0.8148148148148148,0.5,0.3707332909107208,local,0.36844682693481445,0.3707332909107208,1.0,0.36844682693481445,0.3707332909107208,0.37154990434646606,0.3707332909107208,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,55.06926679611206
Amazon-ratings,combined,ok,,undirected,1:0,1,0,5,0,0.8125,0.8333333333333333,0.5347558856010437,0.5347558856010437,0.46824055910110474,local,0.36893679568838805,0.36910011432304424,0.09358157765801078,1,160,88,72,0.5415088383838383,0.4816919191919192,0.45625,20,12,8,0.8333333333333333,0.8125,0.8,27,22,5,0.6,0.5136363636363637,0.3333333333333333,0.368610143661499,0.5045454545454545,0.4444444444444444,0.3691001236438751,0.5545454545454546,0.7777777777777778,0.37056997418403625,0.10191082954406738,1,0.4569634199142456,0.36893679568838805,0.37056997418403625,0.060427892953157425,local,0.8148148148148148,0.5,0.3707332909107208,local,0.36844682693481445,0.3707332909107208,1.0,0.36844682693481445,0.3707332909107208,0.37154990434646606,0.3707332909107208,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,58.82839393615723
Amazon-ratings,reliability_only,ok,,undirected,2:0,2,0,5,20,0.7633928571428572,0.6964285714285714,0.31432271003723145,0.31432271003723145,0.12591809034347534,local,0.36942675159235666,0.3695900702270129,0.039196472317491425,1,37,21,16,0.8571428571428571,0.7574404761904762,0.7837837837837838,23,16,7,0.6964285714285714,0.7633928571428572,0.782608695652174,28,19,9,0.47368421052631576,0.45029239766081874,0.5714285714285714,0.3691001236438751,0.40350877192982454,0.42857142857142855,0.36844682693481445,0.5,0.6785714285714286,0.36959007382392883,0.03739996626973152,3,0.3711899518966675,0.36942675159235666,0.36959007382392883,0.009962436743080616,local,0.6785714285714286,0.5,0.36959007382392883,local,0.3692634403705597,0.36959007382392883,1.0,0.3692634403705597,0.36959007382392883,0.37105992436408997,0.36959007382392883,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,44.43297863006592
Amazon-ratings,node_feature_only,ok,,undirected,2:0,2,0,5,22,0.59375,0.3526785714285715,0.8185439109802246,0.8185439109802246,0.0,local,0.3692634329577005,0.3692634329577005,0.0,1,37,21,16,0.9672619047619048,0.7142857142857143,0.6756756756756757,23,16,7,0.3526785714285715,0.59375,0.43478260869565216,28,19,9,0.5730994152046784,0.5,0.32142857142857145,0.36795687675476074,0.48245614035087714,0.5357142857142857,0.36893677711486816,0.5,0.6785714285714286,0.36959007382392883,0.0,-1,0.0,0.3692634329577005,0.36959007382392883,0.0,local,0.6785714285714286,0.5,0.36959007382392883,local,0.3692634403705597,0.36959007382392883,1.0,0.3692634403705597,0.36959007382392883,0.37105992436408997,0.36959007382392883,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,49.47154235839844
Amazon-ratings,combined,ok,,undirected,2:0,2,0,5,2,0.65625,0.5089285714285714,0.5389533042907715,0.5389533042907715,0.0,local,0.3692634329577005,0.3692634329577005,0.0,1,37,21,16,0.7708333333333333,0.6354166666666666,0.5945945945945946,23,16,7,0.5089285714285714,0.65625,0.5217391304347826,28,19,9,0.47368421052631576,0.5730994152046783,0.5,0.3687734603881836,0.5701754385964912,0.5357142857142857,0.36893677711486816,0.5,0.6785714285714286,0.36959007382392883,0.0,-1,0.0,0.3692634329577005,0.36959007382392883,0.0,local,0.6785714285714286,0.5,0.36959007382392883,local,0.3692634403705597,0.36959007382392883,1.0,0.3692634403705597,0.36959007382392883,0.37105992436408997,0.36959007382392883,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,53.221856117248535
Amazon-ratings,reliability_only,ok,,undirected,3:0,3,0,5,7,0.6666666666666666,0.45833333333333326,0.6111786365509033,0.6111786365509033,0.0,local,0.37008002613098157,0.37008002613098157,0.0,1,101,58,43,0.7129109863672815,0.5629510825982358,0.504950495049505,22,18,4,0.45833333333333326,0.6666666666666666,0.45454545454545453,27,13,14,0.7032967032967034,0.6181318681318682,0.6296296296296297,0.36844682693481445,0.6703296703296704,0.6666666666666666,0.368610143661499,0.5,0.48148148148148145,0.36779356002807617,0.0,-1,0.0,0.37008002613098157,0.36779356002807617,0.0,local,0.48148148148148145,0.5,0.36779356002807617,local,0.37008002400398254,0.36779356002807617,1.0,0.37008002400398254,0.36779356002807617,0.37008002400398254,0.36779356002807617,0.36795687675476074,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,44.568591594696045
