dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Chameleon,reliability_only,ok,,undirected,0:0,0,0,5,170,0.6710840972499004,0.6850338780390594,0.548212468624115,0.548212468624115,0.09830311685800552,local,0.6625514403292181,0.663923182441701,0.024691358024691357,1,413,302,111,0.9189189189189191,0.8131078097965516,0.7433414043583535,271,193,78,0.6850338780390594,0.6710840972499004,0.6457564575645757,170,125,45,0.6446222222222222,0.6133333333333333,0.5882352941176471,0.5921052694320679,0.6111111111111112,0.6058823529411764,0.5986841917037964,0.5062222222222222,0.7235294117647059,0.6425438523292542,0.01315789483487606,126,0.24169453978538513,0.6707818930041153,0.6337719559669495,0.13377192616462708,local,0.7352941176470589,0.5,0.6469298005104065,local,0.6570644974708557,0.6469298005104065,1.0,0.6570644974708557,0.6469298005104065,0.7456140518188477,0.6469298005104065,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,80.46794152259827
Chameleon,node_feature_only,ok,,undirected,0:0,0,0,5,31,0.633187192772685,0.633187192772685,0.9938578009605408,0.9938578009605408,0.0008468751329928637,local,0.6584362139917695,0.6598079561042524,0.0013717421124828531,1,413,302,111,0.9883509337151721,0.9370860927152318,0.9079903147699758,271,193,78,0.633187192772685,0.633187192772685,0.5645756457564576,170,125,45,0.5022222222222222,0.4946666666666667,0.4764705882352941,0.5504385828971863,0.5315555555555556,0.6352941176470588,0.609649121761322,0.5,0.7352941176470589,0.6469298005104065,0.0,3,0.3613654673099518,0.6611796982167353,0.6469298005104065,0.00657894741743803,local,0.7352941176470589,0.5,0.6469298005104065,local,0.6570644974708557,0.6469298005104065,1.0,0.6570644974708557,0.6469298005104065,0.7456140518188477,0.6469298005104065,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,85.36744666099548
Chameleon,combined,ok,,undirected,0:0,0,0,5,52,0.6859638634250034,0.7098445595854923,0.9901621341705322,0.9901621341705322,0.0006319936364889145,local,0.6611796982167353,0.6625514403292181,0.03155006858710562,1,413,302,111,0.9997613507547282,0.9486754966887417,0.9249394673123487,271,193,78,0.7098445595854923,0.6859638634250034,0.6125461254612546,170,125,45,0.5733333333333334,0.5608888888888889,0.5529411764705883,0.5789473652839661,0.5720000000000001,0.6529411764705882,0.6162281036376953,0.492,0.7235294117647059,0.6425438523292542,0.02850877121090889,142,0.0020140712149441242,0.6694101508916324,0.6359649300575256,0.11403508484363556,local,0.7352941176470589,0.5,0.6469298005104065,local,0.6570644974708557,0.6469298005104065,1.0,0.6570644974708557,0.6469298005104065,0.7456140518188477,0.6469298005104065,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,95.32431221008301
Chameleon,reliability_only,ok,,undirected,1:0,1,0,5,3,0.6029656319290466,0.5592433481152994,0.5659182071685791,0.5659182071685791,0.0,local,0.5994513031550068,0.5994513031550068,0.0,1,409,289,120,0.6888119953863898,0.6188437139561707,0.5061124694376528,258,176,82,0.5592433481152994,0.6029656319290466,0.5116279069767442,158,115,43,0.6835187057633973,0.6171890798786653,0.5063291139240507,0.5657894611358643,0.5950455005055613,0.6012658227848101,0.5986841917037964,0.5,0.7278481012658228,0.6425438523292542,0.0,-1,0.0,0.5994513031550068,0.6425438523292542,0.0,local,0.7278481012658228,0.5,0.6425438523292542,local,0.5994513034820557,0.6425438523292542,1.0,0.5994513034820557,0.6425438523292542,0.7368420958518982,0.6425438523292542,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,71.53514385223389
Chameleon,node_feature_only,ok,,undirected,1:0,1,0,5,0,0.5922256097560976,0.5940271618625277,0.4108366072177887,0.4108366072177887,0.0,local,0.5994513031550068,0.6008230452674898,0.0,1,409,289,120,0.9040369088811995,0.8014561707035756,0.784841075794621,258,176,82,0.5940271618625277,0.5922256097560976,0.5813953488372093,158,115,43,0.5976744186046512,0.5413549039433772,0.5443037974683544,0.5789473652839661,0.5217391304347826,0.3037974683544304,0.49561405181884766,0.5,0.7278481012658228,0.6425438523292542,0.0,-1,0.0,0.5994513031550068,0.6425438523292542,0.0,local,0.7278481012658228,0.5,0.6425438523292542,local,0.5994513034820557,0.6425438523292542,1.0,0.5994513034820557,0.6425438523292542,0.7368420958518982,0.6425438523292542,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,74.61719751358032
Chameleon,combined,ok,,undirected,1:0,1,0,5,12,0.6065687361419069,0.6011640798226163,0.7209867835044861,0.7209867835044861,0.0,local,0.5994513031550068,0.6008230452674898,0.0,1,409,289,120,0.9917820069204153,0.9138119953863898,0.8850855745721271,258,176,82,0.6011640798226163,0.6065687361419069,0.5387596899224806,158,115,43,0.6719919110212337,0.5937310414560162,0.5569620253164557,0.5833333134651184,0.593427704752275,0.6518987341772152,0.6162281036376953,0.5,0.7278481012658228,0.6425438523292542,0.0,-1,0.0,0.5994513031550068,0.6425438523292542,0.0,local,0.7278481012658228,0.5,0.6425438523292542,local,0.5994513034820557,0.6425438523292542,1.0,0.5994513034820557,0.6425438523292542,0.7368420958518982,0.6425438523292542,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,78.12807011604309
Chameleon,reliability_only,ok,,undirected,2:0,2,0,5,3,0.6595319634703196,0.6865660024906599,0.45548197627067566,0.45548197627067566,0.357214093208313,local,0.6474622770919067,0.6488340192043895,0.02194787379972565,1,432,303,129,0.6728323995190217,0.6339319978509479,0.6550925925925926,307,219,88,0.6865660024906599,0.6595319634703196,0.6742671009771987,169,118,51,0.7387836490528416,0.6360086407444334,0.6627218934911243,0.5986841917037964,0.6662512462612163,0.6272189349112426,0.5855263471603394,0.5251744765702892,0.7100591715976331,0.6162281036376953,0.017543859779834747,7,0.294548898935318,0.6502057613168725,0.6184210777282715,0.03728070110082626,local,0.6982248520710059,0.5,0.6118420958518982,local,0.6447187662124634,0.6118420958518982,1.0,0.6447187662124634,0.6118420958518982,0.7236841917037964,0.6118420958518982,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,66.62491798400879
Chameleon,node_feature_only,ok,,undirected,2:0,2,0,5,2,0.6078767123287672,0.5904680365296804,0.541641354560852,0.541641354560852,0.0,local,0.644718792866941,0.644718792866941,0.0,1,432,303,129,0.9844705400772635,0.892163634968148,0.8518518518518519,307,219,88,0.5904680365296804,0.6078767123287672,0.5472312703583062,169,118,51,0.5451977401129944,0.5425390495181124,0.5088757396449705,0.5416666865348816,0.5074775672981057,0.6153846153846154,0.5811403393745422,0.5,0.6982248520710059,0.6118420958518982,0.0,-1,0.0,0.644718792866941,0.6118420958518982,0.0,local,0.6982248520710059,0.5,0.6118420958518982,local,0.6447187662124634,0.6118420958518982,1.0,0.6447187662124634,0.6118420958518982,0.7236841917037964,0.6118420958518982,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,68.91221070289612
Chameleon,combined,ok,,undirected,2:0,2,0,5,6,0.6832191780821918,0.6802615193026151,0.5378349423408508,0.5378349423408508,0.1739637851715088,local,0.6460905349794238,0.6474622770919067,0.0205761316872428,1,432,303,129,0.9009133471486683,0.7965691918029012,0.7708333333333334,307,219,88,0.6802615193026151,0.6832191780821918,0.6547231270358306,169,118,51,0.6889332003988036,0.6482220006646726,0.6331360946745562,0.5877193212509155,0.6148222000664673,0.6331360946745562,0.5877193212509155,0.4830508474576271,0.6745562130177515,0.6030701994895935,0.019736841320991516,-1,0.4221503436565399,0.6474622770919067,0.6118420958518982,0.010964912362396717,local,0.6982248520710059,0.5,0.6118420958518982,local,0.6447187662124634,0.6118420958518982,1.0,0.6447187662124634,0.6118420958518982,0.7236841917037964,0.6118420958518982,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,72.10267496109009
Chameleon,reliability_only,ok,,undirected,3:0,3,0,5,10,0.6646204620462046,0.6817821782178217,0.4425213038921356,0.4425213038921356,0.0,local,0.6419753086419753,0.6433470507544582,0.0,1,409,303,106,0.6784046329161217,0.62930443987795,0.687041564792176,277,202,75,0.6817821782178217,0.6646204620462046,0.7003610108303249,172,112,60,0.6257440476190476,0.5803571428571428,0.6046511627906976,0.6140350699424744,0.5666666666666667,0.5465116279069767,0.5921052694320679,0.5,0.6511627906976745,0.6315789222717285,0.0,93,0.21960517764091492,0.6502057613168725,0.6228070259094238,0.05263157933950424,local,0.6511627906976745,0.5,0.6315789222717285,local,0.6419752836227417,0.6315789222717285,0.75,0.6474622488021851,0.6381579041481018,0.7631579041481018,0.6315789222717285,0.5175438523292542,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,77.42940926551819
