dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Citeseer,reliability_only,ok,,undirected,0:0,0,0,5,-1,0.5788071326091413,0.5244927239188358,0.5733063220977783,0.5733063220977783,0.0,local,0.702,0.702,0.0,1,31,24,7,0.5119047619047619,0.48511904761904756,0.5161290322580645,160,119,41,0.5244927239188358,0.5788071326091413,0.5875,310,234,76,0.5403733693207378,0.5233355825461089,0.5419354838709678,0.6310000419616699,0.506578947368421,0.7580645161290323,0.6980000138282776,0.5,0.7548387096774194,0.6970000267028809,0.0,-1,0.0,0.702,0.6970000267028809,0.0,local,0.7548387096774194,0.5,0.6970000267028809,local,0.7020000219345093,0.6970000267028809,1.0,0.7020000219345093,0.6970000267028809,0.7730000615119934,0.6970000267028809,0.5390000343322754,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,70.46963763237
Citeseer,node_feature_only,ok,,undirected,0:0,0,0,5,-1,0.5736831317893011,0.4894445583111293,0.5358072519302368,0.5358072519302368,0.0,local,0.702,0.702,0.0,1,31,24,7,0.5654761904761905,0.5982142857142857,0.6129032258064516,160,119,41,0.4894445583111293,0.5736831317893011,0.675,310,234,76,0.6361054880791722,0.5707939721097616,0.6806451612903226,0.6740000247955322,0.5,0.7548387096774194,0.6970000267028809,0.5,0.7548387096774194,0.6970000267028809,0.0,-1,0.0,0.702,0.6970000267028809,0.0,local,0.7548387096774194,0.5,0.6970000267028809,local,0.7020000219345093,0.6970000267028809,1.0,0.7020000219345093,0.6970000267028809,0.7730000615119934,0.6970000267028809,0.5390000343322754,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,76.30184864997864
Citeseer,combined,ok,,undirected,0:0,0,0,5,0,0.6170321787251486,0.5876204140192662,0.4922739565372467,0.4922739565372467,0.0,local,0.702,0.702,0.0,1,31,24,7,0.7916666666666666,0.7113095238095238,0.7096774193548387,160,119,41,0.5876204140192662,0.6170321787251486,0.65625,310,234,76,0.5914304993252362,0.5810278902384166,0.6290322580645161,0.6580000519752502,0.5925551057130005,0.6129032258064516,0.6530000567436218,0.5,0.7548387096774194,0.6970000267028809,0.0,-1,0.43715229630470276,0.704,0.6970000267028809,0.015000000596046448,local,0.7548387096774194,0.5,0.6970000267028809,local,0.7020000219345093,0.6970000267028809,1.0,0.7020000219345093,0.6970000267028809,0.7730000615119934,0.6970000267028809,0.5390000343322754,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,81.29050326347351
Citeseer,reliability_only,ok,,undirected,0:1,0,1,5,-1,0.5666938775510204,0.5209795918367347,0.4490358829498291,0.4490358829498291,0.0,local,0.69,0.69,0.0,1,34,21,13,0.5897435897435898,0.6263736263736264,0.6470588235294118,174,125,49,0.5209795918367347,0.5666938775510204,0.6091954022988506,330,250,80,0.5351750000000001,0.562,0.6454545454545455,0.6550000309944153,0.52225,0.42424242424242425,0.5820000171661377,0.5,0.7575757575757576,0.6920000314712524,0.0,-1,0.0,0.69,0.6920000314712524,0.0,local,0.7575757575757576,0.5,0.6920000314712524,local,0.690000057220459,0.6920000314712524,0.75,0.6940000057220459,0.690000057220459,0.7720000147819519,0.6920000314712524,0.5220000147819519,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,67.99598813056946
Citeseer,node_feature_only,ok,,undirected,0:1,0,1,5,6,0.595265306122449,0.5680000000000001,0.5575195550918579,0.5575195550918579,0.0,local,0.69,0.69,0.0,1,34,21,13,1.0,1.0,1.0,174,125,49,0.5680000000000001,0.595265306122449,0.7126436781609196,330,250,80,0.5381,0.55175,0.6878787878787879,0.6690000295639038,0.53125,0.7212121212121212,0.6800000071525574,0.5,0.7575757575757576,0.6920000314712524,0.0,20,0.03699944168329239,0.694,0.6880000233650208,0.0430000014603138,local,0.7575757575757576,0.5,0.6920000314712524,local,0.690000057220459,0.6920000314712524,0.75,0.6940000057220459,0.690000057220459,0.7720000147819519,0.6920000314712524,0.5220000147819519,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,74.33630800247192
Citeseer,combined,ok,,undirected,0:1,0,1,5,5,0.6185306122448979,0.561469387755102,0.5818821787834167,0.5818821787834167,0.0,local,0.69,0.69,0.0,1,34,21,13,0.978021978021978,0.9285714285714286,0.9117647058823529,174,125,49,0.561469387755102,0.6185306122448979,0.603448275862069,330,250,80,0.5056999999999999,0.51525,0.5424242424242425,0.6210000514984131,0.48950000000000005,0.6515151515151515,0.6570000052452087,0.5,0.7575757575757576,0.6920000314712524,0.0,-1,0.40389078855514526,0.692,0.6910000443458557,0.003000000026077032,local,0.7575757575757576,0.5,0.6920000314712524,local,0.690000057220459,0.6920000314712524,0.75,0.6940000057220459,0.690000057220459,0.7720000147819519,0.6920000314712524,0.5220000147819519,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,81.05887627601624
Citeseer,reliability_only,ok,,undirected,0:2,0,2,5,0,0.6107142857142858,0.5873469387755103,0.5043725371360779,0.5043725371360779,0.0,local,0.71,0.712,0.0,1,37,29,8,0.685344827586207,0.5948275862068966,0.6486486486486487,175,140,35,0.5873469387755103,0.6107142857142858,0.6685714285714286,323,244,79,0.591279311060386,0.5620460676488898,0.6099071207430341,0.6360000371932983,0.5700612160199212,0.628482972136223,0.6420000195503235,0.5,0.7554179566563467,0.6830000281333923,0.0,-1,0.0,0.71,0.6830000281333923,0.0,local,0.7554179566563467,0.5,0.6830000281333923,local,0.7100000381469727,0.6830000281333923,1.0,0.7100000381469727,0.6830000281333923,0.7620000243186951,0.6830000281333923,0.5180000066757202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,77.85356092453003
Citeseer,node_feature_only,ok,,undirected,0:2,0,2,5,16,0.6214285714285714,0.5716326530612245,0.8593679070472717,0.8593679070472717,0.0,local,0.71,0.71,0.0,1,37,29,8,1.0,1.0,1.0,175,140,35,0.5716326530612245,0.6214285714285714,0.7028571428571428,323,244,79,0.4918551566715086,0.5319049595351732,0.6160990712074303,0.6380000114440918,0.47577298194646195,0.7058823529411765,0.6670000553131104,0.5,0.7554179566563467,0.6830000281333923,0.0,-1,0.0,0.71,0.6830000281333923,0.0,local,0.7554179566563467,0.5,0.6830000281333923,local,0.7100000381469727,0.6830000281333923,1.0,0.7100000381469727,0.6830000281333923,0.7620000243186951,0.6830000281333923,0.5180000066757202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,85.7559564113617
Citeseer,combined,ok,,undirected,0:2,0,2,5,-1,0.6464285714285714,0.6040816326530613,0.485538512468338,0.485538512468338,0.0,local,0.71,0.71,0.0,1,37,29,8,0.45258620689655177,0.41163793103448276,0.43243243243243246,175,140,35,0.6040816326530613,0.6464285714285714,0.6228571428571429,323,244,79,0.5741336376841669,0.550295704503009,0.5727554179566563,0.6240000128746033,0.5563913675036315,0.5108359133126935,0.6040000319480896,0.5,0.7554179566563467,0.6830000281333923,0.0,-1,0.0,0.71,0.6830000281333923,0.0,local,0.7554179566563467,0.5,0.6830000281333923,local,0.7100000381469727,0.6830000281333923,1.0,0.7100000381469727,0.6830000281333923,0.7620000243186951,0.6830000281333923,0.5180000066757202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,91.61537098884583
Citeseer,reliability_only,ok,,undirected,0:3,0,3,5,0,0.6601111111111111,0.6167777777777778,0.4978138208389282,0.4978138208389282,0.43733811378479004,local,0.73,0.732,0.022,1,42,28,14,0.7346938775510204,0.5714285714285714,0.6666666666666666,161,125,36,0.6167777777777778,0.6601111111111111,0.7639751552795031,314,239,75,0.49129707112970716,0.5110739191073919,0.6178343949044586,0.6430000066757202,0.5177405857740586,0.6210191082802548,0.6440000534057617,0.5070571827057183,0.7579617834394905,0.687000036239624,0.02500000037252903,2,0.3803600072860718,0.732,0.6820000410079956,0.05400000140070915,local,0.7611464968152867,0.5,0.6880000233650208,local,0.7240000367164612,0.6880000233650208,1.0,0.7240000367164612,0.6880000233650208,0.7630000114440918,0.6880000233650208,0.5240000486373901,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",5fe85bd5adea457ee0f7a515b045f6f3383f2ff197fabe04843f371fbce7707b,9f9d1ce40cab8e6e,False,79.39502048492432
