dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Cora,reliability_only,ok,,undirected,0:0,0,0,5,97,0.6710351692103517,0.6162906436629065,0.9986349940299988,0.9986349940299988,0.006872468627989292,local,0.794,0.796,0.004,1,53,49,4,1.0,0.8265306122448979,0.6792452830188679,159,137,22,0.6162906436629065,0.6710351692103517,0.5974842767295597,362,316,46,0.6683750687947166,0.6292652724270775,0.56353591160221,0.6990000605583191,0.5673500275178867,0.8121546961325967,0.7890000343322754,0.495253164556962,0.8646408839779005,0.8080000281333923,0.00800000037997961,44,0.036529459059238434,0.794,0.8090000152587891,0.006000000052154064,local,0.8729281767955801,0.5,0.8110000491142273,local,0.7920000553131104,0.8110000491142273,1.0,0.7920000553131104,0.8110000491142273,0.8570000529289246,0.8110000491142273,0.5410000085830688,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,55.27287149429321
Cora,node_feature_only,ok,,undirected,0:0,0,0,5,8,0.6070006635700067,0.517584605175846,0.8465897440910339,0.8465897440910339,0.0,local,0.792,0.792,0.0,1,53,49,4,1.0,0.9591836734693877,0.9245283018867925,159,137,22,0.517584605175846,0.6070006635700067,0.42138364779874216,362,316,46,0.48479636763896533,0.4983489268024216,0.3674033149171271,0.628000020980835,0.5138277380297194,0.8646408839779005,0.8080000281333923,0.5,0.8729281767955801,0.8110000491142273,0.0,-1,0.0,0.792,0.8110000491142273,0.0,local,0.8729281767955801,0.5,0.8110000491142273,local,0.7920000553131104,0.8110000491142273,1.0,0.7920000553131104,0.8110000491142273,0.8570000529289246,0.8110000491142273,0.5410000085830688,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,58.78534150123596
Cora,combined,ok,,undirected,0:0,0,0,5,9,0.6673855341738553,0.6078301260783012,0.7012528777122498,0.7012528777122498,0.0,local,0.792,0.792,0.0,1,53,49,4,0.9795918367346939,0.8571428571428572,0.7358490566037735,159,137,22,0.6078301260783012,0.6673855341738553,0.5911949685534591,362,316,46,0.6399972482113374,0.5780820033021464,0.5552486187845304,0.6960000395774841,0.5536598789212989,0.7071823204419889,0.7510000467300415,0.5,0.8729281767955801,0.8110000491142273,0.0,-1,0.0,0.792,0.8110000491142273,0.0,local,0.8729281767955801,0.5,0.8110000491142273,local,0.7920000553131104,0.8110000491142273,1.0,0.7920000553131104,0.8110000491142273,0.8570000529289246,0.8110000491142273,0.5410000085830688,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,62.554535150527954
Cora,reliability_only,ok,,undirected,0:1,0,1,5,141,0.6606929510155317,0.66415770609319,0.9977580904960632,0.9977580904960632,0.020535139366984367,local,0.79,0.792,0.03,1,48,42,6,1.0,0.8809523809523809,0.7916666666666666,166,135,31,0.66415770609319,0.6606929510155317,0.7108433734939759,375,306,69,0.5316377758833002,0.5320403523728332,0.6026666666666667,0.706000030040741,0.5290565501562944,0.7626666666666667,0.7660000324249268,0.5191815856777493,0.8106666666666666,0.784000039100647,0.024000000208616257,171,0.003477454651147127,0.792,0.7850000262260437,0.018000001087784767,local,0.816,0.5,0.7860000133514404,local,0.7880000472068787,0.7860000133514404,1.0,0.7880000472068787,0.7860000133514404,0.8550000190734863,0.7860000133514404,0.5490000247955322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,54.08737921714783
Cora,node_feature_only,ok,,undirected,0:1,0,1,5,11,0.6103942652329749,0.5369175627240144,0.9216903448104858,0.9216903448104858,0.0,local,0.788,0.788,0.0,1,48,42,6,1.0,0.9761904761904762,0.9583333333333334,166,135,31,0.5369175627240144,0.6103942652329749,0.5481927710843374,375,306,69,0.4750402576489533,0.507814720090935,0.5173333333333333,0.6740000247955322,0.5004973003694232,0.7893333333333333,0.7760000228881836,0.5,0.816,0.7860000133514404,0.0,-1,0.0,0.788,0.7860000133514404,0.0,local,0.816,0.5,0.7860000133514404,local,0.7880000472068787,0.7860000133514404,1.0,0.7880000472068787,0.7860000133514404,0.8550000190734863,0.7860000133514404,0.5490000247955322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,58.09862470626831
Cora,combined,ok,,undirected,0:1,0,1,5,56,0.7193548387096774,0.6637992831541218,0.9989355206489563,0.9989355206489563,0.0,local,0.788,0.788,0.0,1,48,42,6,1.0,0.9642857142857143,0.9375,166,135,31,0.6637992831541218,0.7193548387096774,0.6445783132530121,375,306,69,0.5389315146348395,0.5049730036942313,0.5493333333333333,0.6860000491142273,0.501207729468599,0.7813333333333333,0.7730000615119934,0.5,0.816,0.7860000133514404,0.0,1,0.4098306894302368,0.79,0.7880000472068787,0.015000000596046448,local,0.816,0.5,0.7860000133514404,local,0.7880000472068787,0.7860000133514404,1.0,0.7880000472068787,0.7860000133514404,0.8550000190734863,0.7860000133514404,0.5490000247955322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,64.39156579971313
Cora,reliability_only,ok,,undirected,0:2,0,2,5,1,0.7065217391304348,0.6619407687460617,0.526107668876648,0.526107668876648,0.41603052616119385,local,0.802,0.804,0.018,1,50,43,7,0.7508305647840532,0.6843853820598007,0.56,161,138,23,0.6619407687460617,0.7065217391304348,0.5900621118012422,356,306,50,0.5642483660130718,0.5656862745098039,0.4691011235955056,0.6710000038146973,0.5357516339869282,0.5758426966292135,0.7090000510215759,0.5001960784313725,0.8455056179775281,0.8050000667572021,0.015000000596046448,1,0.41603052616119385,0.802,0.8050000667572021,0.015000000596046448,local,0.8595505617977528,0.5,0.8100000619888306,local,0.7980000376701355,0.8100000619888306,1.0,0.7980000376701355,0.8100000619888306,0.8600000143051147,0.8100000619888306,0.5540000200271606,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,52.96098852157593
Cora,node_feature_only,ok,,undirected,0:2,0,2,5,-1,0.5760869565217391,0.5078764965343415,0.4096558392047882,0.4096558392047882,0.0,local,0.798,0.798,0.0,1,50,43,7,0.25913621262458475,0.3488372093023256,0.6,161,138,23,0.5078764965343415,0.5760869565217391,0.6459627329192547,356,306,50,0.4851633986928104,0.5051633986928105,0.6095505617977528,0.7210000157356262,0.5016339869281046,0.14325842696629212,0.5550000071525574,0.5,0.8595505617977528,0.8100000619888306,0.0,-1,0.0,0.798,0.8100000619888306,0.0,local,0.8595505617977528,0.5,0.8100000619888306,local,0.7980000376701355,0.8100000619888306,1.0,0.7980000376701355,0.8100000619888306,0.8600000143051147,0.8100000619888306,0.5540000200271606,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,56.471076011657715
Cora,combined,ok,,undirected,0:2,0,2,5,5,0.605072463768116,0.5847511027095148,0.40415939688682556,0.40415939688682556,0.0,local,0.798,0.798,0.0,1,50,43,7,0.920265780730897,0.7757475083056479,0.82,161,138,23,0.5847511027095148,0.605072463768116,0.7267080745341615,356,306,50,0.6007843137254903,0.5105228758169935,0.7050561797752809,0.7550000548362732,0.5547712418300653,0.651685393258427,0.7360000610351562,0.5,0.8595505617977528,0.8100000619888306,0.0,-1,0.0,0.798,0.8100000619888306,0.0,local,0.8595505617977528,0.5,0.8100000619888306,local,0.7980000376701355,0.8100000619888306,1.0,0.7980000376701355,0.8100000619888306,0.8600000143051147,0.8100000619888306,0.5540000200271606,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,59.672183990478516
Cora,reliability_only,ok,,undirected,0:3,0,3,5,30,0.641025641025641,0.6235897435897436,0.5408881902694702,0.5408881902694702,0.0,local,0.79,0.792,0.0,1,49,42,7,0.935374149659864,0.8571428571428572,0.7551020408163265,160,130,30,0.6235897435897436,0.641025641025641,0.6875,369,324,45,0.5063100137174211,0.5141975308641975,0.6341463414634146,0.7240000367164612,0.4895061728395062,0.6747967479674797,0.7390000224113464,0.5,0.8780487804878049,0.8140000104904175,0.0,81,0.021777227520942688,0.792,0.8130000233650208,0.007000000216066837,local,0.8780487804878049,0.5,0.8140000104904175,local,0.7900000214576721,0.8140000104904175,1.0,0.7900000214576721,0.8140000104904175,0.859000027179718,0.8140000104904175,0.5350000262260437,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",b1b454ab1e4565619c24ee5251bb8a356262a72fbbc91d3875917dbfe4026068,9f9d1ce40cab8e6e,False,56.569326639175415
