dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Minesweeper,reliability_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,0:0,0,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,7,13,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,33.10090732574463
Minesweeper,node_feature_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,0:0,0,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,7,13,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,35.03539180755615
Minesweeper,combined,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,0:0,0,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,7,13,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,36.77040243148804
Minesweeper,reliability_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,1:0,1,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,13,7,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,38.87530970573425
Minesweeper,node_feature_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,1:0,1,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,13,7,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,40.67120027542114
Minesweeper,combined,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,1:0,1,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,20,13,7,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,42.13408422470093
Minesweeper,reliability_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,2:0,2,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,9,7,2,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,36.83703327178955
Minesweeper,node_feature_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,2:0,2,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,9,7,2,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,38.562960386276245
Minesweeper,combined,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,2:0,2,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,9,7,2,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,40.166916847229004
Minesweeper,reliability_only,ok_utility_only,validation preference labels contain one class; preference checkpoint selected by validation BCE,undirected,3:0,3,0,5,-1,nan,nan,nan,nan,0.0,local,0.8,0.8,0.0,1,10,8,2,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0.7999999523162842,nan,nan,0.7999999523162842,0.0,-1,0.0,0.8,0.7999999523162842,0.0,unavailable,nan,nan,nan,local,0.7999999523162842,0.7999999523162842,1.0,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,37.05633759498596
