dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Pubmed,reliability_only,ok,,undirected,0:0,0,0,5,3,0.5454741379310345,0.39008620689655177,0.4183512330055237,0.4183512330055237,0.4106770157814026,local,0.788,0.79,0.002,1,15,12,3,0.888888888888889,0.5,0.8,109,80,29,0.39008620689655177,0.5454741379310345,0.7522935779816514,209,135,74,0.4621621621621622,0.4925925925925926,0.6363636363636364,0.7660000324249268,0.47962962962962963,0.47368421052631576,0.7320000529289246,0.5,0.645933014354067,0.7680000066757202,0.007000000216066837,2,0.434978723526001,0.788,0.7670000195503235,0.01100000087171793,local,0.645933014354067,0.5,0.7680000066757202,local,0.7860000133514404,0.7680000066757202,1.0,0.7860000133514404,0.7680000066757202,0.8420000672340393,0.7680000066757202,0.7070000171661377,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,131.4056580066681
Pubmed,node_feature_only,ok,,undirected,0:0,0,0,5,28,0.5650862068965516,0.5064655172413792,0.9918973445892334,0.9918973445892334,0.0,local,0.786,0.786,0.0,1,15,12,3,1.0,1.0,1.0,109,80,29,0.5064655172413792,0.5650862068965516,0.5229357798165137,209,135,74,0.5162162162162163,0.5008008008008008,0.44976076555023925,0.7270000576972961,0.5096096096096097,0.6267942583732058,0.7640000581741333,0.5,0.645933014354067,0.7680000066757202,0.0,-1,0.0,0.786,0.7680000066757202,0.0,local,0.645933014354067,0.5,0.7680000066757202,local,0.7860000133514404,0.7680000066757202,1.0,0.7860000133514404,0.7680000066757202,0.8420000672340393,0.7680000066757202,0.7070000171661377,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,140.27149653434753
Pubmed,combined,ok,,undirected,0:0,0,0,5,-1,0.6120689655172413,0.5077586206896552,0.5262028574943542,0.5262028574943542,0.0,local,0.786,0.788,0.0,1,15,12,3,0.3055555555555556,0.3333333333333333,0.3333333333333333,109,80,29,0.5077586206896552,0.6120689655172413,0.5596330275229358,209,135,74,0.4781781781781782,0.4613113113113113,0.47368421052631576,0.7320000529289246,0.45605605605605604,0.5023923444976076,0.7380000352859497,0.5,0.645933014354067,0.7680000066757202,0.0,-1,0.0,0.786,0.7680000066757202,0.0,local,0.645933014354067,0.5,0.7680000066757202,local,0.7860000133514404,0.7680000066757202,1.0,0.7860000133514404,0.7680000066757202,0.8420000672340393,0.7680000066757202,0.7070000171661377,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,146.472341299057
Pubmed,reliability_only,ok,,undirected,0:1,0,1,5,-1,0.6022063595068138,0.5094094743672939,0.48018351197242737,0.48018351197242737,0.0,local,0.788,0.788,0.0,1,10,7,3,0.28571428571428575,0.23809523809523808,0.2,90,67,23,0.5094094743672939,0.6022063595068138,0.5777777777777777,200,126,74,0.5296010296010296,0.4565637065637066,0.505,0.7420000433921814,0.49635349635349635,0.52,0.7450000643730164,0.5,0.63,0.7670000195503235,0.0,-1,0.0,0.788,0.7670000195503235,0.0,local,0.63,0.5,0.7670000195503235,local,0.7880000472068787,0.7670000195503235,1.0,0.7880000472068787,0.7670000195503235,0.8410000205039978,0.7670000195503235,0.7150000333786011,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,113.07758736610413
Pubmed,node_feature_only,ok,,undirected,0:1,0,1,5,0,0.600584036340039,0.4561972744970798,0.4599815309047699,0.4599815309047699,0.41347336769104004,local,0.79,0.792,0.002,1,10,7,3,1.0,1.0,1.0,90,67,23,0.4561972744970798,0.600584036340039,0.7666666666666667,200,126,74,0.5023595023595023,0.4945302445302445,0.595,0.7600000500679016,0.4791934791934792,0.4,0.7210000157356262,0.5,0.63,0.7670000195503235,0.0010000000474974513,-1,0.4159136414527893,0.79,0.7670000195503235,0.0010000000474974513,local,0.63,0.5,0.7670000195503235,local,0.7880000472068787,0.7670000195503235,1.0,0.7880000472068787,0.7670000195503235,0.8410000205039978,0.7670000195503235,0.7150000333786011,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,119.22734642028809
Pubmed,combined,ok,,undirected,0:1,0,1,5,15,0.5580791693705387,0.4964308890330954,0.4167992174625397,0.4167992174625397,0.0,local,0.788,0.788,0.0,1,10,7,3,1.0,1.0,1.0,90,67,23,0.4964308890330954,0.5580791693705387,0.5333333333333333,200,126,74,0.4428356928356928,0.40347490347490345,0.41,0.7230000495910645,0.42578292578292576,0.41,0.7230000495910645,0.5,0.63,0.7670000195503235,0.0,-1,0.0,0.788,0.7670000195503235,0.0,local,0.63,0.5,0.7670000195503235,local,0.7880000472068787,0.7670000195503235,1.0,0.7880000472068787,0.7670000195503235,0.8410000205039978,0.7670000195503235,0.7150000333786011,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,126.70423030853271
Pubmed,reliability_only,ok,,undirected,0:2,0,2,5,0,0.5769927536231884,0.5320048309178744,0.5093264579772949,0.5093264579772949,0.0,local,0.79,0.79,0.0,1,13,9,4,0.8888888888888888,0.8888888888888888,0.8461538461538461,95,72,23,0.5320048309178744,0.5769927536231884,0.5157894736842106,222,137,85,0.544182052382997,0.5155431515671962,0.481981981981982,0.7410000562667847,0.532546157148991,0.536036036036036,0.753000020980835,0.5,0.6171171171171171,0.7710000276565552,0.0,-1,0.0,0.79,0.7710000276565552,0.0,local,0.6171171171171171,0.5,0.7710000276565552,local,0.7900000214576721,0.7710000276565552,1.0,0.7900000214576721,0.7710000276565552,0.8560000658035278,0.7710000276565552,0.7190000414848328,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,93.30720615386963
Pubmed,node_feature_only,ok,,undirected,0:2,0,2,5,21,0.6035628019323671,0.5314009661835749,0.2097661793231964,0.2097661793231964,0.0,local,0.79,0.79,0.0,1,13,9,4,1.0,1.0,1.0,95,72,23,0.5314009661835749,0.6035628019323671,0.7578947368421053,222,137,85,0.522284242164019,0.4975955345641906,0.581081081081081,0.7630000114440918,0.48647488192357236,0.5315315315315315,0.7520000338554382,0.5,0.6171171171171171,0.7710000276565552,0.0,-1,0.0,0.79,0.7710000276565552,0.0,local,0.6171171171171171,0.5,0.7710000276565552,local,0.7900000214576721,0.7710000276565552,1.0,0.7900000214576721,0.7710000276565552,0.8560000658035278,0.7710000276565552,0.7190000414848328,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,102.58548164367676
Pubmed,combined,ok,,undirected,0:2,0,2,5,65,0.5890700483091788,0.5356280193236715,0.9970377683639526,0.9970377683639526,0.0,local,0.79,0.79,0.0,1,13,9,4,1.0,1.0,1.0,95,72,23,0.5356280193236715,0.5890700483091788,0.5789473684210527,222,137,85,0.5434950622584801,0.5293258909403177,0.5045045045045045,0.7460000514984131,0.5325032202662087,0.5855855855855856,0.7640000581741333,0.5,0.6171171171171171,0.7710000276565552,0.0,-1,0.47146356105804443,0.794,0.7700000405311584,0.003000000026077032,local,0.6171171171171171,0.5,0.7710000276565552,local,0.7900000214576721,0.7710000276565552,1.0,0.7900000214576721,0.7710000276565552,0.8560000658035278,0.7710000276565552,0.7190000414848328,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,116.98814511299133
Pubmed,reliability_only,ok,,undirected,0:3,0,3,5,-1,0.531650641025641,0.4655448717948718,0.5646151304244995,0.5646151304244995,0.0,local,0.782,0.782,0.0,1,11,9,2,0.2222222222222222,0.5555555555555556,0.2727272727272727,110,78,32,0.4655448717948718,0.531650641025641,0.42727272727272725,217,153,64,0.617749183006536,0.5180759803921569,0.41013824884792627,0.7070000171661377,0.5428921568627452,0.7142857142857143,0.7730000615119934,0.5,0.7050691244239631,0.7710000276565552,0.0,-1,0.0,0.782,0.7710000276565552,0.0,local,0.7050691244239631,0.5,0.7710000276565552,local,0.7820000648498535,0.7710000276565552,1.0,0.7820000648498535,0.7710000276565552,0.8350000381469727,0.7710000276565552,0.6820000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,False,120.57319688796997
