dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Roman-empire,reliability_only,ok,,undirected,0:0,0,0,5,126,0.6631845479909035,0.707910427870706,0.5083526968955994,0.5083526968955994,0.8228672742843628,global,0.6631950573698147,0.6633715798764342,0.01147396293027361,1,5356,460,4896,0.7813128285734584,0.7141854930377949,0.6305078416728902,2731,399,2332,0.707910427870706,0.6631845479909035,0.619919443427316,2658,393,2265,0.7177617129793461,0.6601789596077043,0.6072234762979684,0.5453582406044006,0.6618522824933016,0.5993227990970654,0.5416519641876221,0.5125659302697875,0.8502633559066968,0.6593716740608215,0.010412989184260368,100,0.7906930446624756,0.6640776699029126,0.6599011421203613,0.01711966097354889,global,0.8521444695259593,0.5,0.6602541208267212,global,0.6617828607559204,0.6602541208267212,0.5,0.6755515933036804,0.6773737668991089,0.7296152114868164,0.3298623263835907,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,148.49156618118286
Roman-empire,node_feature_only,ok,,undirected,0:0,0,0,5,29,0.7302395138790372,0.7834111436395449,0.2934825122356415,0.2934825122356415,1.0000000000000002,global,0.6617828773168579,0.6617828773168579,0.0,1,5356,460,4896,0.8322350543478261,0.7436008098891731,0.5834578043315908,2731,399,2332,0.7834111436395449,0.7302395138790372,0.6173562797510069,2658,393,2265,0.7830774761415276,0.7199989889287701,0.6106094808126411,0.5469467043876648,0.6952597610501661,0.7118133935289691,0.5944228768348694,0.5,0.8521444695259593,0.6602541208267212,0.0,5,0.5882842540740967,0.6621359223300971,0.6599011421203613,0.0024708788841962814,global,0.8521444695259593,0.5,0.6602541208267212,global,0.6617828607559204,0.6602541208267212,0.5,0.6755515933036804,0.6773737668991089,0.7296152114868164,0.3298623263835907,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,153.74771070480347
Roman-empire,combined,ok,,undirected,0:0,0,0,5,43,0.7941374663072776,0.8497648495165874,0.3785640299320221,0.3785640299320221,0.7991559505462646,global,0.6672550750220653,0.6674315975286849,0.08490732568402472,1,5356,460,4896,0.9068081308610401,0.8153790139244104,0.7290888722927558,2731,399,2332,0.8497648495165874,0.7941374663072776,0.749542292200659,2658,393,2265,0.8507984654185554,0.7774109836037949,0.7317531978931527,0.6037768721580505,0.765099506260216,0.7806621519939805,0.6267207860946655,0.6429823231046627,0.8664409330323551,0.6669607758522034,0.08912812918424606,122,0.8760457634925842,0.671315092674316,0.6674902439117432,0.08242145925760269,global,0.8521444695259593,0.5,0.6602541208267212,global,0.6617828607559204,0.6602541208267212,0.5,0.6755515933036804,0.6773737668991089,0.7296152114868164,0.3298623263835907,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,164.29068994522095
Roman-empire,reliability_only,ok,,undirected,1:0,1,0,5,153,0.6512456062619997,0.6968388716585439,0.5382609367370605,0.5382609367370605,0.8509515523910522,global,0.6635481023830538,0.6637246248896734,0.011297440423654015,1,5514,565,4949,0.7911965767644129,0.7197951852255842,0.6813565469713456,2632,375,2257,0.6968388716585439,0.6512456062619997,0.6344984802431611,2647,366,2281,0.7104142560424319,0.6566564372351308,0.6494144314318095,0.5665372014045715,0.6577919760051554,0.6157914620324896,0.5508294701576233,0.5301564599938192,0.8662636947487722,0.6678432822227478,0.012177903205156326,174,0.8599418997764587,0.6642541924095322,0.6676667928695679,0.009354040957987309,global,0.8617302606724594,0.5,0.6657253503799438,global,0.662135899066925,0.6657253503799438,0.25,0.6751985549926758,0.6761383414268494,0.7303211688995361,0.32774442434310913,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,166.2242772579193
Roman-empire,node_feature_only,ok,,undirected,1:0,1,0,5,24,0.7453989071038252,0.8085033229951263,0.47663456201553345,0.47663456201553345,0.8435454964637756,global,0.6623124448367167,0.6624889673433363,0.00088261253309797,1,5514,565,4949,0.8069821918077666,0.733056468009091,0.66575988393181,2632,375,2257,0.8085033229951263,0.7453989071038252,0.6930091185410334,2647,366,2281,0.7991976963416006,0.7411522604168912,0.6803928976199471,0.5810095071792603,0.7378600364618145,0.7004155647903286,0.5903635621070862,0.5027831480296965,0.8605969021533811,0.665195882320404,0.0024708788841962814,21,0.8393781781196594,0.6630185348631951,0.6634309887886047,0.02770914137363434,global,0.8617302606724594,0.5,0.6657253503799438,global,0.662135899066925,0.6657253503799438,0.25,0.6751985549926758,0.6761383414268494,0.7303211688995361,0.32774442434310913,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,171.21221923828125
Roman-empire,combined,ok,,undirected,1:0,1,0,5,47,0.786094816127603,0.854422684980062,0.6222532391548157,0.6222532391548157,0.8750805258750916,global,0.6697263901147397,0.6699029126213593,0.05419240953221536,1,5514,565,4949,0.9030325246720086,0.8191176549477235,0.8075807036634023,2632,375,2257,0.854422684980062,0.786094816127603,0.7933130699088146,2647,366,2281,0.84610095754187,0.7566718891867482,0.7684170759350207,0.6221320033073425,0.7706780651760924,0.7253494522100491,0.6020119786262512,0.6117715123507809,0.876463921420476,0.672608494758606,0.054888807237148285,57,0.8967677354812622,0.6720211827007944,0.6713730692863464,0.05118248984217644,global,0.8617302606724594,0.5,0.6657253503799438,global,0.662135899066925,0.6657253503799438,0.25,0.6751985549926758,0.6761383414268494,0.7303211688995361,0.32774442434310913,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,178.11490845680237
Roman-empire,reliability_only,ok,,undirected,2:0,2,0,5,188,0.6823285394850991,0.7329993524028299,0.45554491877555847,0.45554491877555847,0.9435105323791504,global,0.660017652250662,0.6601941747572816,0.001588702559576346,1,5569,568,5001,0.7854853325109625,0.699391283715088,0.5483928892081164,2597,367,2230,0.7329993524028299,0.6823285394850991,0.5521755872160184,2594,361,2233,0.7173051420830578,0.6616770849744391,0.5354664610639939,0.5079420804977417,0.6673394424851107,0.5851966075558982,0.5307095050811768,0.5025461690854756,0.8612181958365459,0.6570773124694824,0.0019414047710597515,137,0.915009617805481,0.6603706972639012,0.6572538018226624,0.002823861548677087,global,0.8608326908249807,0.5,0.6569007635116577,global,0.6589584946632385,0.6569007635116577,0.5,0.6744924783706665,0.67454993724823,0.7206141948699951,0.3265089988708496,0.6569007635116577,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,154.96764492988586
Roman-empire,node_feature_only,ok,,undirected,2:0,2,0,5,23,0.7196490756466807,0.7681400520521499,0.26711001992225647,0.26711001992225647,0.8670269250869751,global,0.6593115622241836,0.6594880847308032,0.011650485436893204,1,5569,568,5001,0.8143651199337597,0.7127345657629038,0.554138983659544,2597,367,2230,0.7681400520521499,0.7196490756466807,0.5791297651135926,2594,361,2233,0.7898148274497497,0.7212406945428247,0.5840400925212028,0.5301799774169922,0.7101460961428485,0.7108712413261372,0.5882456302642822,0.5107156192742208,0.8592906707787201,0.656194806098938,0.010412989184260368,2,0.45861634612083435,0.6598411297440424,0.6570773124694824,0.004941757768392563,global,0.8608326908249807,0.5,0.6569007635116577,global,0.6589584946632385,0.6569007635116577,0.5,0.6744924783706665,0.67454993724823,0.7206141948699951,0.3265089988708496,0.6569007635116577,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,159.89038372039795
Roman-empire,combined,ok,,undirected,2:0,2,0,5,44,0.7864994318251244,0.8450519910558277,0.3235589861869812,0.3235589861869812,0.86850905418396,global,0.6626654898499559,0.6628420123565755,0.0559576345984113,1,5569,568,5001,0.9125101036130803,0.8102483376564124,0.6886335069132699,2597,367,2230,0.8450519910558277,0.7864994318251244,0.6900269541778976,2594,361,2233,0.8394803209971803,0.7641651976832032,0.6719352351580571,0.5704200267791748,0.7660439665406711,0.7571318427139553,0.6094245910644531,0.5864705072365786,0.8677717810331534,0.6600776314735413,0.05630074068903923,30,0.8524094223976135,0.6651368049426302,0.6599011421203613,0.046240732073783875,global,0.8608326908249807,0.5,0.6569007635116577,global,0.6589584946632385,0.6569007635116577,0.5,0.6744924783706665,0.67454993724823,0.7206141948699951,0.3265089988708496,0.6569007635116577,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,166.05534029006958
Roman-empire,reliability_only,ok,,undirected,3:0,3,0,5,77,0.6726008743162122,0.6983453693314555,0.5102106332778931,0.5102106332778931,0.8553268909454346,global,0.6616063548102383,0.6617828773168579,0.008649602824360106,1,5407,526,4881,0.7574680436206819,0.6861111955023864,0.5986683928241169,2648,401,2247,0.6983453693314555,0.6726008743162122,0.6095166163141994,2654,377,2277,0.7188573545395136,0.6784405000297055,0.6096458176337604,0.541828453540802,0.6771666614245325,0.5979653353428787,0.5363572239875793,0.5121734004792475,0.8579502637528259,0.658136248588562,0.009883515536785126,116,0.8408868908882141,0.6628420123565755,0.6567242741584778,0.018178608268499374,global,0.8579502637528259,0.5,0.658136248588562,global,0.6594880819320679,0.658136248588562,0.25,0.6743159890174866,0.6713730692863464,0.7246734499931335,0.32280266284942627,0.658136248588562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,153.0770561695099
