dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,preference_threshold,utility_threshold,utility_default_choice,utility_validation_accuracy,utility_validation_best_accuracy,utility_validation_switch_rate,utility_epsilon_nodes,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,test_fixed_050_balanced_accuracy,test_fixed_050_routing_accuracy,test_fixed_050_routed_node_accuracy,test_utility_balanced_accuracy,test_utility_routing_accuracy,test_utility_routed_node_accuracy,test_utility_switch_rate,utility_checkpoint_epoch,utility_checkpoint_threshold,utility_checkpoint_validation_accuracy,test_utility_checkpoint_routed_node_accuracy,test_utility_checkpoint_switch_rate,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,validation_best_expert_choice,validation_best_expert_accuracy,validation_best_expert_test_accuracy,validation_selected_fixed_alpha,validation_selected_fixed_alpha_accuracy,validation_selected_fixed_alpha_test_accuracy,test_oracle_union_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Squirrel,reliability_only,ok,,undirected,0:0,0,0,5,16,0.5979324894514768,0.599451476793249,0.4861372709274292,0.4861372709274292,0.3172626495361328,local,0.43689903846153844,0.4375,0.001201923076923077,1,1013,675,338,0.6075783475783476,0.5788954635108481,0.6080947680157947,687,450,237,0.599451476793249,0.5979324894514768,0.6171761280931587,418,274,144,0.6230991484184916,0.60566200324412,0.6363636363636364,0.43419787287712097,0.5914689781021898,0.6004784688995215,0.419788658618927,0.5,0.6555023923444976,0.44188278913497925,0.0009606147650629282,8,0.3801007866859436,0.4387019230769231,0.44092217087745667,0.005763688590377569,local,0.6555023923444976,0.5,0.44188278913497925,local,0.43629810214042664,0.44188278913497925,1.0,0.43629810214042664,0.44188278913497925,0.580211341381073,0.44188278913497925,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,85.03831028938293
Squirrel,node_feature_only,ok,,undirected,0:0,0,0,5,9,0.5654149085794655,0.5520206282231599,0.4618055820465088,0.4618055820465088,0.0,local,0.4362980769230769,0.43689903846153844,0.0,1,1013,675,338,0.9849222003068158,0.9430067937760246,0.9437314906219151,687,450,237,0.5520206282231599,0.5654149085794655,0.6098981077147017,418,274,144,0.5153588807785887,0.5327453365774534,0.5861244019138756,0.4140249490737915,0.5250912408759124,0.5717703349282297,0.4082612693309784,0.5,0.6555023923444976,0.44188278913497925,0.0,1,0.4280383586883545,0.4387019230769231,0.44092217087745667,0.01921229436993599,local,0.6555023923444976,0.5,0.44188278913497925,local,0.43629810214042664,0.44188278913497925,1.0,0.43629810214042664,0.44188278913497925,0.580211341381073,0.44188278913497925,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,88.9793860912323
Squirrel,combined,ok,,undirected,0:0,0,0,5,1,0.6139381153305203,0.6159868729488982,0.5063815116882324,0.5063815116882324,0.4594612717628479,local,0.4405048076923077,0.4411057692307692,0.06850961538461539,1,1013,675,338,0.6518650010957703,0.5966973482358098,0.6426456071076012,687,450,237,0.6159868729488982,0.6139381153305203,0.6433770014556041,418,274,144,0.5782390510948905,0.5891879562043796,0.6363636363636364,0.43419787287712097,0.5687094484995945,0.6267942583732058,0.430355429649353,0.5197688564476886,0.6555023923444976,0.44188278913497925,0.06436119228601456,14,0.2767195701599121,0.44290865384615385,0.43419787287712097,0.1671469658613205,local,0.6555023923444976,0.5,0.44188278913497925,local,0.43629810214042664,0.44188278913497925,1.0,0.43629810214042664,0.44188278913497925,0.580211341381073,0.44188278913497925,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,93.29805159568787
Squirrel,reliability_only,ok,,undirected,1:0,1,0,5,4,0.6097318007662835,0.6038620689655172,0.43770188093185425,0.43770188093185425,0.0,local,0.4453125,0.44591346153846156,0.0,1,1031,670,361,0.5943668086161988,0.5783044610741308,0.6013579049466538,660,435,225,0.6038620689655172,0.6097318007662835,0.6439393939393939,421,294,127,0.615190958273073,0.5751914939204028,0.6128266033254157,0.4380403459072113,0.5747897584230542,0.5154394299287411,0.39865511655807495,0.5,0.6983372921615202,0.47262245416641235,0.0,48,0.3891375660896301,0.4501201923076923,0.47166183590888977,0.06628242135047913,local,0.6983372921615202,0.5,0.47262245416641235,local,0.4453125298023224,0.47262245416641235,1.0,0.4453125298023224,0.47262245416641235,0.5946205258369446,0.47262245416641235,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,90.07396984100342
Squirrel,node_feature_only,ok,,undirected,1:0,1,0,5,7,0.5720306513409962,0.5382068965517242,0.40364935994148254,0.40364935994148254,0.0,local,0.4453125,0.44591346153846156,0.0,1,1031,670,361,0.966798280067805,0.8953508082854427,0.9030067895247332,660,435,225,0.5382068965517242,0.5720306513409962,0.6196969696969697,421,294,127,0.5760083560983449,0.5600728480368525,0.6104513064133017,0.4370797276496887,0.5641705501098078,0.5724465558194775,0.42170989513397217,0.5,0.6983372921615202,0.47262245416641235,0.0,1,0.43059730529785156,0.4465144230769231,0.4707012474536896,0.018251679837703705,local,0.6983372921615202,0.5,0.47262245416641235,local,0.4453125298023224,0.47262245416641235,1.0,0.4453125298023224,0.47262245416641235,0.5946205258369446,0.47262245416641235,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,93.76966309547424
Squirrel,combined,ok,,undirected,1:0,1,0,5,2,0.5923371647509579,0.5914584929757344,0.4855829179286957,0.4855829179286957,0.41436073184013367,local,0.4501201923076923,0.45072115384615385,0.10036057692307693,1,1031,670,361,0.6857154669863976,0.6175280109149544,0.6440349175557711,660,435,225,0.5914584929757344,0.5923371647509579,0.6393939393939394,421,294,127,0.6121913332262039,0.5696475440569928,0.6175771971496437,0.4399615526199341,0.5706251004338743,0.6033254156769596,0.43419787287712097,0.5430258717660292,0.6959619952494062,0.47166183590888977,0.09221901744604111,4,0.37462764978408813,0.45132211538461536,0.4707012474536896,0.12103746086359024,local,0.6983372921615202,0.5,0.47262245416641235,local,0.4453125298023224,0.47262245416641235,1.0,0.4453125298023224,0.47262245416641235,0.5946205258369446,0.47262245416641235,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,97.74184370040894
Squirrel,reliability_only,ok,,undirected,2:0,2,0,5,-1,0.5744314037530668,0.5445167523942142,0.558489203453064,0.558489203453064,0.0,local,0.46334134615384615,0.4639423076923077,0.0,1,1020,680,340,0.5087478373702422,0.5220588235294118,0.5833333333333334,688,457,231,0.5445167523942142,0.5744314037530668,0.6337209302325582,414,294,120,0.550453514739229,0.5196428571428572,0.6014492753623188,0.4149855673313141,0.5,0.7101449275362319,0.4582132399082184,0.5,0.7101449275362319,0.4582132399082184,0.0,9,0.29720163345336914,0.4645432692307692,0.4572526216506958,0.0019212295301258564,local,0.7101449275362319,0.5,0.4582132399082184,local,0.4633413553237915,0.4582132399082184,1.0,0.4633413553237915,0.4582132399082184,0.5734870433807373,0.4582132399082184,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,86.82307982444763
Squirrel,node_feature_only,ok,,undirected,2:0,2,0,5,-1,0.5300804228594163,0.49874487292430403,0.49468907713890076,0.49468907713890076,0.3783300518989563,local,0.4645432692307692,0.4651442307692308,0.001201923076923077,1,1020,680,340,0.4769982698961938,0.5029411764705882,0.4372549019607843,688,457,231,0.49874487292430403,0.5300804228594163,0.4738372093023256,414,294,120,0.5130385487528345,0.5151360544217687,0.4444444444444444,0.3525456190109253,0.5099489795918367,0.39855072463768115,0.334293931722641,0.5083333333333333,0.714975845410628,0.46013447642326355,0.0019212295301258564,-1,0.3783300518989563,0.4645432692307692,0.46013447642326355,0.0019212295301258564,local,0.7101449275362319,0.5,0.4582132399082184,local,0.4633413553237915,0.4582132399082184,1.0,0.4633413553237915,0.4582132399082184,0.5734870433807373,0.4582132399082184,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,90.34635424613953
Squirrel,combined,ok,,undirected,2:0,2,0,5,1,0.5681747136889369,0.5512044483598094,0.4651738703250885,0.4651738703250885,0.3939472436904907,local,0.4651442307692308,0.4657451923076923,0.019230769230769232,1,1020,680,340,0.6552422145328719,0.5764705882352941,0.6529411764705882,688,457,231,0.5512044483598094,0.5681747136889369,0.6438953488372093,414,294,120,0.647562358276644,0.5937925170068027,0.678743961352657,0.4457252621650696,0.6043367346938775,0.6376811594202898,0.42939481139183044,0.5255952380952381,0.714975845410628,0.46013447642326355,0.02401536889374256,1,0.3939472436904907,0.4651442307692308,0.46013447642326355,0.02401536889374256,local,0.7101449275362319,0.5,0.4582132399082184,local,0.4633413553237915,0.4582132399082184,1.0,0.4633413553237915,0.4582132399082184,0.5734870433807373,0.4582132399082184,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,93.72114562988281
Squirrel,reliability_only,ok,,undirected,3:0,3,0,5,6,0.6345518513751234,0.6123804007379757,0.42755383253097534,0.42755383253097534,0.0,local,0.45913461538461536,0.4597355769230769,0.0,1,997,687,310,0.6386955909282998,0.6096727238578203,0.6670010030090271,661,457,204,0.6123804007379757,0.6345518513751234,0.6822995461422088,421,276,145,0.6200274862568715,0.6176661669165417,0.6532066508313539,0.4438040256500244,0.6228760619690155,0.6128266033254157,0.4274735748767853,0.5,0.6555819477434679,0.444764643907547,0.0,2,0.3797174096107483,0.4621394230769231,0.4457252621650696,0.25648415088653564,local,0.6555819477434679,0.5,0.444764643907547,local,0.45913463830947876,0.444764643907547,1.0,0.45913463830947876,0.444764643907547,0.5840537548065186,0.444764643907547,0.31892409920692444,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,83.69900751113892
