dataset,comparison,metric,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Cora,reliability_only - node_feature_only,test_preference_auc,10,0.04276496796848026,-0.011184888492470603,0.09671482442943113,7,0,3
Cora,reliability_only - node_feature_only,test_balanced_accuracy,10,0.03217295639598851,-0.003089457320731244,0.06743537011270825,8,0,2
Cora,reliability_only - node_feature_only,test_routing_accuracy,10,0.06980715044860519,-0.023768530673440882,0.16338283157065125,7,0,3
Cora,combined - node_feature_only,test_preference_auc,10,0.05176347740962045,0.008666410083721002,0.0948605447355199,7,0,3
Cora,combined - node_feature_only,test_balanced_accuracy,10,0.02401168790573152,0.0005512370586640766,0.047472138752798966,7,0,3
Cora,combined - node_feature_only,test_routing_accuracy,10,0.13283288009000876,0.0527725305132431,0.21289322966677443,8,0,2
Citeseer,reliability_only - node_feature_only,test_preference_auc,10,-0.024564059857565552,-0.06387660791865227,0.014748488203521155,3,0,7
Citeseer,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.01795342863612931,-0.044045055111276696,0.008138197839018074,4,0,6
Citeseer,reliability_only - node_feature_only,test_routing_accuracy,10,0.020634322275934692,-0.05485617878645618,0.09612482333832556,4,0,6
Citeseer,combined - node_feature_only,test_preference_auc,10,-0.01004146207952164,-0.04241724837233975,0.022334324213296466,3,0,7
Citeseer,combined - node_feature_only,test_balanced_accuracy,10,-0.011499506206356947,-0.030997638828990266,0.007998626416276371,5,0,5
Citeseer,combined - node_feature_only,test_routing_accuracy,10,0.02557631308453172,-0.06626177738570062,0.11741440355476405,5,0,5
Pubmed,reliability_only - node_feature_only,test_preference_auc,10,0.02619310151405786,-0.027580304511404818,0.07996650753952053,5,0,5
Pubmed,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.005021901221030351,-0.029382725823967573,0.019338923381906875,4,0,6
Pubmed,reliability_only - node_feature_only,test_routing_accuracy,10,-0.05183132140354853,-0.1489787156061147,0.04531607279901764,4,0,6
Pubmed,combined - node_feature_only,test_preference_auc,10,0.011976540510449985,-0.03893593508213587,0.06288901610303585,6,0,4
Pubmed,combined - node_feature_only,test_balanced_accuracy,10,-0.006449010774327963,-0.045804715946996616,0.032906694398340694,6,0,4
Pubmed,combined - node_feature_only,test_routing_accuracy,10,-0.09859677793048346,-0.1528189802139115,-0.04437457564705542,1,0,9
Chameleon,reliability_only - node_feature_only,test_preference_auc,10,0.083312870629053,0.04591377702350949,0.12071196423459651,10,0,0
Chameleon,reliability_only - node_feature_only,test_balanced_accuracy,10,0.07066278867728464,0.04294637386371873,0.09837920349085054,9,0,1
Chameleon,reliability_only - node_feature_only,test_routing_accuracy,10,0.06764487006907569,0.022564142145532713,0.11272559799261866,9,0,1
Chameleon,combined - node_feature_only,test_preference_auc,10,0.060706791828871495,0.033730079952125624,0.08768350370561737,10,0,0
Chameleon,combined - node_feature_only,test_balanced_accuracy,10,0.05537798400066316,0.02943107259284938,0.08132489540847694,9,0,1
Chameleon,combined - node_feature_only,test_routing_accuracy,10,0.06515907882890878,0.027467371307620933,0.10285078635019664,9,0,1
Squirrel,reliability_only - node_feature_only,test_preference_auc,10,0.06042918020296752,0.03337823982827178,0.08748012057766325,10,0,0
Squirrel,reliability_only - node_feature_only,test_balanced_accuracy,10,0.0407722141017872,0.011471169104866157,0.07007325909870823,10,0,0
Squirrel,reliability_only - node_feature_only,test_routing_accuracy,10,0.045763283503549426,0.006751655791399726,0.08477491121569913,8,0,2
Squirrel,combined - node_feature_only,test_preference_auc,10,0.05185583248119546,0.016515009024616778,0.08719665593777415,9,0,1
Squirrel,combined - node_feature_only,test_balanced_accuracy,10,0.04115680787860311,0.012602918517386697,0.06971069723981953,8,0,2
Squirrel,combined - node_feature_only,test_routing_accuracy,10,0.033429708183694715,-0.028441272834031132,0.09530068920142057,6,0,4
Actor,reliability_only - node_feature_only,test_preference_auc,10,0.0005711116107594838,-0.02714075642850133,0.028282979650020298,4,0,6
